Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2414	1.0000	0.0000	0.0000	0.0000	0.1777	0.0000	0.4991	0.9425	0.5608	0.9410	1.0000
sample3_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3908	1.0000	0.0000	0.0131	0.3605	0.4366	0.0000	0.4503	0.9480	0.8039	1.0000	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4885	0.9997	0.1188	0.0046	0.3372	1.0000	0.0000	0.6513	0.9036	0.6514	0.9528	0.9999
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7356	0.9998	0.0856	0.0022	0.4535	0.4058	0.0000	0.5735	0.6513	0.5382	0.8847	0.5338
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0632	0.9996	0.1685	0.3947	0.0000	0.1330	0.1777	0.1295	0.9682	0.7795	0.9588	0.2232
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1897	0.9995	0.2196	0.3083	0.7326	0.0949	0.3807	0.1787	0.7253	0.7336	0.7804	0.0882
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	0.9998	0.0884	1.0000	0.7326	0.2280	0.2030	0.5612	0.7075	0.4522	0.7409	0.5713
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5230	0.9998	0.1865	0.2888	0.7326	0.2787	0.2335	0.5969	0.2725	0.2768	0.4368	0.3754
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6552	0.9998	0.1519	0.9532	0.7326	0.3294	0.2030	0.6351	0.1622	0.5501	0.4810	0.2713
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5460	0.9996	0.2555	0.2697	1.0000	0.2724	0.2208	0.6616	0.5524	0.3850	0.7115	0.3759
sample12_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4943	0.9996	0.3273	0.3081	0.6395	0.3738	0.4543	0.5593	0.7365	0.4973	0.8506	0.5324
sample13_group1	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2989	0.9995	0.2099	0.2325	0.3605	0.2420	0.2589	0.4788	0.8432	0.6468	0.8848	0.6463
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.4368	0.9996	0.2017	0.4680	0.3605	0.2863	0.4365	0.5885	0.8098	0.4610	0.8756	0.3586
