               index         classified?        descriptor_1
                   1                  NO    0.0000000000E+00
                   2                  NO    0.3126199560E-03
                   3                 YES   -0.5386283191E-01
                   4                 YES   -0.1648559120E-01
                   5                 YES   -0.1553171760E-01
                   6                 YES   -0.9208346793E-01
                   7                  NO    0.4924972800E-03
                   8                  NO   -0.2500412160E-02
                   9                  NO   -0.5187212990E-02
                  10                 YES   -0.2235483479E-01
                  11                  NO   -0.1077836085E-01
                  12                 YES   -0.3246579567E-01
                  13                 YES   -0.2271060000E-01
                  14                 YES   -0.2758000000E-01
                  15                 YES   -0.1976298390E-01
                  16                  NO   -0.7779992800E-02
                  17                  NO   -0.7674762200E-02
                  18                  NO   -0.1291089508E-01
                  19                 YES   -0.2078698776E-01
                  20                  NO    0.5586504000E-03
                  21                 YES   -0.1502397707E-01
                  22                 YES   -0.4968769311E-01
                  23                 YES   -0.1034952347E+00
                  24                 YES   -0.1098873065E+00
                  25                 YES   -0.8171342061E-01
                  26                 YES   -0.2104696579E-01
                  27                 YES   -0.1784586258E-01
                  28                 YES   -0.5316355350E-01
                  29                  NO   -0.6638261292E-02
                  30                  NO   -0.1282356600E-03
                  31                  NO    0.0000000000E+00
                  32                  NO    0.9962813700E-02
                  33                 YES   -0.6873558226E-01
                  34                  NO   -0.9256364565E-02
                  35                 YES   -0.1208548405E+00
                  36                 YES   -0.3051506765E-01
                  37                  NO   -0.7286394420E-03
                  38                  NO   -0.9805000000E-02
                  39                  NO   -0.5089797000E-04
                  40                  NO    0.3994974200E-03
                  41                  NO   -0.8592453000E-04
                  42                  NO   -0.1355009340E-02
                  43                  NO   -0.9991491840E-02
                  44                  NO   -0.1285909319E-01
                  45                  NO   -0.8444645000E-04
                  46                 YES    0.1935724339E+00
                  47                  NO   -0.9630546640E-02
                  48                  NO   -0.2595240000E-02
                  49                  NO   -0.8095521448E-02
                  50                  NO   -0.7464934260E-02
                  51                 YES    0.2620857595E-01
                  52                 YES    0.6089920339E-01
                  53                 YES    0.1956899354E-01
                  54                 YES    0.1219939271E+00
                  55                  NO   -0.6818311890E-02
                  56                 YES    0.7575771667E-01
                  57                 YES    0.1166905956E-01
                  58                  NO    0.1250262016E-02
                  59                  NO   -0.4295877768E-02
                  60                 YES    0.1817249244E-01
                  61                  NO   -0.8966227608E-02
                  62                 YES    0.2490355903E-01
                  63                 YES    0.8962831157E-01
                  64                  NO    0.1005266808E-01
                  65                 YES    0.2040787094E-01
                  66                  NO   -0.5170772200E-02
