Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1221	0.0141	0.4535	0.2280	0.0000	0.0987	0.9666	0.9178	0.9819	0.9998
sample3_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3953	0.0131	0.3605	0.4366	0.0000	0.4617	0.9454	0.8039	1.0000	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4942	0.0046	0.3372	1.0000	0.0000	0.6677	0.8989	0.6514	0.9528	0.9999
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7442	0.0022	0.4535	0.4058	0.0000	0.5879	0.6343	0.5382	0.8847	0.5369
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1919	0.3083	0.7326	0.0949	0.3807	0.1832	0.7120	0.7336	0.7804	0.0944
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4128	0.9796	0.0000	0.2217	0.1777	0.6367	0.9054	0.3253	0.9297	0.5620
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3895	1.0000	0.7326	0.2280	0.2030	0.5754	0.6933	0.4522	0.7409	0.5742
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5291	0.2888	0.7326	0.2787	0.2335	0.6120	0.2372	0.2768	0.4368	0.3796
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3895	0.3357	0.7326	0.2724	0.3807	0.5729	0.0617	0.8326	0.1500	0.4244
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5523	0.2697	1.0000	0.2724	0.2208	0.6783	0.5307	0.3850	0.7115	0.3801
sample12_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3663	0.3291	0.6395	0.2762	0.3934	0.5428	0.7290	0.5008	0.8684	0.4564
sample13_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.3081	0.6395	0.3738	0.4543	0.5734	0.7237	0.4973	0.8506	0.5356
sample14_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6105	0.2549	0.6395	0.4727	0.3934	0.6143	0.7853	0.4939	0.8632	0.5005
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3023	0.2325	0.3605	0.2420	0.2589	0.4908	0.8356	0.6468	0.8848	0.6486
