Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3022	0.0000	0.0000	0.0000	0.1777	0.0000	0.5243	0.9425	0.5566	0.9410	1.0000
sample3	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9784	0.1125	0.0000	0.7326	0.3805	0.0000	0.7114	0.1967	0.3574	0.3956	0.4762
sample4	4.6600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4892	0.0000	0.0131	0.3605	0.4366	0.0000	0.4731	0.9480	0.8020	1.0000	0.9998
sample5	6.6500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6115	0.0520	0.0046	0.3372	1.0000	0.0000	0.6843	0.9036	0.6480	0.9528	0.9999
sample6	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0791	0.0738	0.3947	0.0000	0.1330	0.2160	0.1360	0.9682	0.7773	0.9588	0.2284
sample7	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2374	0.0961	0.3083	0.7326	0.0949	0.4630	0.1878	0.7253	0.7310	0.7804	0.0944
sample8	23.0900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6978	0.1608	0.2167	0.7326	0.2851	0.4630	0.5418	0.1806	0.5608	0.4810	0.2820
sample9	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5108	1.0000	0.9796	0.0000	0.2217	0.2160	0.6525	0.9098	0.3188	0.9297	0.5620
sample10	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4820	0.0387	1.0000	0.7326	0.2280	0.2469	0.5896	0.7075	0.4469	0.7409	0.5742
sample11	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8201	0.0665	0.9532	0.7326	0.3294	0.2469	0.6673	0.1622	0.5458	0.4810	0.2762
sample12	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4820	0.0308	0.3357	0.7326	0.2724	0.4630	0.5871	0.1051	0.8310	0.1500	0.4244
sample13	14.7000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6835	0.1119	0.2697	1.0000	0.2724	0.2685	0.6951	0.5524	0.3790	0.7115	0.3801
sample14	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4532	0.1548	0.3291	0.6395	0.2762	0.4784	0.5563	0.7416	0.4960	0.8684	0.4564
