               index         classified?        descriptor_1
                   1                  NO    0.0000000000E+00
                   2                  NO    0.1930000000E-01
                   3                 YES    0.2077000000E+00
                   4                  NO    0.7030000000E-01
                   5                 YES    0.2530000000E+00
                   6                  NO    0.1190000000E-01
                   7                 YES    0.3111000000E+00
                   8                  NO    0.4060000000E-01
                   9                 YES    0.1740000000E+00
                  10                  NO    0.4820000000E-01
                  11                 YES    0.1461000000E+00
                  12                 YES    0.1329000000E+00
                  13                 YES    0.8720000000E-01
                  14                 YES    0.8430000000E-01
                  15                 YES    0.8520000000E-01
                  16                  NO    0.7480000000E-01
                  17                  NO    0.8130000000E-01
                  18                 YES    0.8690000000E-01
                  19                 YES    0.2187000000E+00
                  20                 YES    0.2212000000E+00
                  21                 YES    0.3360000000E+00
                  22                 YES    0.4508000000E+00
                  23                  NO   -0.2647000000E+00
                  24                 YES    0.2905000000E+00
                  25                 YES    0.2274000000E+00
                  26                 YES    0.8610000000E-01
                  27                 YES    0.3272000000E+00
                  28                  NO   -0.2506000000E+00
                  29                  NO    0.2210000000E-01
                  30                  NO    0.7010000000E-01
                  31                  NO   -0.1356000000E+00
                  32                  NO   -0.1455000000E+00
                  33                 YES    0.1881000000E+00
                  34                 YES    0.9680000000E-01
                  35                 YES    0.4176000000E+00
                  36                 YES    0.1718000000E+00
                  37                  NO    0.6920000000E-01
                  38                  NO    0.3950000000E-01
                  39                  NO    0.2270000000E-01
                  40                  NO    0.1820000000E-01
                  41                  NO    0.2270000000E-01
                  42                  NO    0.5630000000E-01
                  43                  NO    0.8130000000E-01
                  44                 YES   -0.9143000000E+00
                  45                  NO    0.1880000000E-01
                  46                  NO   -0.2600000000E+00
                  47                  NO    0.2820000000E-01
                  48                  NO    0.5410000000E-01
                  49                  NO    0.5750000000E-01
                  50                  NO    0.6870000000E-01
                  51                  NO    0.1850000000E-01
                  52                 YES   -0.8839000000E+00
                  53                 YES   -0.4120000000E+00
                  54                  NO   -0.2514000000E+00
                  55                  NO   -0.1259000000E+00
                  56                  NO   -0.2633000000E+00
                  57                  NO    0.6600000000E-01
                  58                  NO   -0.2577000000E+00
                  59                  NO   -0.3110000000E-01
                  60                  NO   -0.8400000000E-02
                  61                  NO    0.6680000000E-01
                  62                  NO   -0.2653000000E+00
                  63                  NO   -0.2384000000E+00
                  64                 YES   -0.2687000000E+00
                  65                 YES   -0.2821000000E+00
                  66                  NO    0.6590000000E-01
