Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.9783	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2979	0.0000	0.0000	0.3395	0.0000	0.5243	0.9425	0.9410	1.0000
sample3	1.5600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1489	0.0144	0.4535	0.4357	0.0000	0.1011	0.9682	0.9819	0.9998
sample4	4.6600	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4823	0.0133	0.3605	0.8341	0.0000	0.4731	0.9480	1.0000	0.9998
sample5	13.1600	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9078	0.0022	0.4535	0.7752	0.0000	0.6025	0.6513	0.8847	0.5369
sample6	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0780	0.4029	0.0000	0.2541	0.2160	0.1360	0.9682	0.9588	0.2284
sample7	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2340	0.3148	0.7326	0.1814	0.4630	0.1878	0.7253	0.7804	0.0944
sample8	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5035	1.0000	0.0000	0.4236	0.2160	0.6525	0.9098	0.9297	0.5620
sample9	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6454	0.2949	0.7326	0.5326	0.2840	0.6272	0.2725	0.4368	0.3796
sample10	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8085	0.9731	0.7326	0.6295	0.2469	0.6673	0.1622	0.4810	0.2762
sample11	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4468	0.3360	0.6395	0.5277	0.4784	0.5563	0.7416	0.8684	0.4564
