               index         classified?        descriptor_1
                   1                  NO    0.4340000000E-01
                   2                  NO    0.2334900000E-02
                   3                  NO   -0.2626016000E-01
                   4                 YES   -0.9369360000E-01
                   5                 YES   -0.8107668000E-01
                   6                 YES   -0.2499013800E+00
                   7                  NO    0.9453580000E-02
                   8                 YES   -0.2531771200E+00
                   9                  NO   -0.3410474000E-01
                  10                 YES   -0.1066964200E+00
                  11                 YES   -0.1207728100E+00
                  12                 YES   -0.1207643200E+00
                  13                 YES   -0.1173062100E+00
                  14                 YES   -0.6728600000E-01
                  15                  NO   -0.3917780000E-01
                  16                 YES   -0.6985412000E-01
                  17                  NO   -0.3727312000E-01
                  18                  NO   -0.3816135000E-01
                  19                  NO    0.1382370000E-02
                  20                 YES   -0.7921883000E-01
                  21                 YES   -0.1159514400E+00
                  22                 YES   -0.3160666500E+00
                  23                 YES   -0.4727520000E+00
                  24                  NO    0.7848355000E-01
                  25                 YES   -0.1701779400E+00
                  26                 YES   -0.6988518000E-01
                  27                  NO   -0.5370222000E-01
                  28                 YES   -0.2998771800E+00
                  29                 YES   -0.6613142000E-01
                  30                  NO    0.2211096000E+00
                  31                  NO   -0.2586870000E-02
                  32                  NO   -0.2386717000E-01
                  33                  NO    0.1104731100E+00
                  34                 YES   -0.1539439000E+00
                  35                 YES   -0.3745471800E+00
                  36                 YES   -0.1624875200E+00
                  37                  NO   -0.1264554000E-01
                  38                  NO   -0.2511922000E-01
                  39                  NO   -0.1155200000E-02
                  40                  NO    0.1967220000E-02
                  41                  NO   -0.1155200000E-02
                  42                  NO   -0.3662640000E-01
                  43                  NO   -0.6310514000E-01
                  44                  NO   -0.4077450000E-02
                  45                 YES    0.2603258700E+00
                  46                  NO   -0.3375414000E-01
                  47                  NO   -0.1526395000E-01
                  48                  NO   -0.1467540000E-01
                  49                  NO    0.1030524000E+00
                  50                  NO   -0.5599490000E-01
                  51                  NO   -0.8070480000E-02
                  52                  NO   -0.2491142000E-01
                  53                  NO    0.4882371000E-01
                  54                 YES    0.2246384700E+00
                  55                  NO    0.9425268000E-01
                  56                 YES    0.3771241500E+00
                  57                 YES    0.2532780900E+00
                  58                  NO   -0.3291684000E-01
                  59                  NO    0.4934680000E-01
                  60                  NO    0.1059876000E-01
                  61                  NO   -0.2744170000E-01
                  62                  NO   -0.2504124000E-01
                  63                  NO    0.1932862800E+00
                  64                 YES    0.3435184600E+00
                  65                  NO    0.7368480000E-01
                  66                  NO   -0.2103678000E-01
