               index         classified?        descriptor_1
                   1                 YES   -0.4067918263E-01
                   2                 YES   -0.3468435000E-01
                   3                 YES   -0.5721234330E-01
                   4                  NO   -0.3258504942E-02
                   5                  NO   -0.9156422880E-02
                   6                 YES   -0.2013147864E-01
                   7                 YES   -0.5788254902E-01
                   8                 YES   -0.1887614490E-01
                   9                 YES   -0.2716420379E-01
                  10                 YES   -0.3361944465E-01
                  11                 YES   -0.3506945442E-01
                  12                 YES   -0.1882342103E-01
                  13                  NO   -0.1092587370E-01
                  14                 YES   -0.2016029400E-01
                  15                  NO   -0.1228506345E-01
                  16                  NO   -0.5854494300E-02
                  17                  NO   -0.5661015858E-02
                  18                  NO    0.2725963200E-02
                  19                 YES   -0.2631621762E-01
                  20                  NO   -0.7445255454E-02
                  21                 YES   -0.3769567308E-01
                  22                 YES   -0.8979278671E-01
                  23                 YES   -0.1278397299E+00
                  24                  NO    0.3121322688E-02
                  25                 YES   -0.2937633189E-01
                  26                  NO   -0.1796102400E-01
                  27                 YES   -0.6201890457E-01
                  28                  NO   -0.9693663210E-02
                  29                 YES   -0.1982947179E-01
                  30                  NO    0.0000000000E+00
                  31                  NO    0.2451816640E-03
                  32                  NO    0.0000000000E+00
                  33                  NO    0.7839297774E-02
                  34                 YES   -0.5768327746E-01
                  35                  NO   -0.1558070640E-01
                  36                 YES   -0.1048258529E+00
                  37                  NO   -0.7122154875E-02
                  38                  NO    0.2950010000E-03
                  39                  NO    0.2950010000E-03
                  40                  NO   -0.1075372200E-03
                  41                  NO   -0.2982970650E-02
                  42                  NO   -0.2649005730E-03
                  43                  NO   -0.5489651712E-02
                  44                  NO   -0.3997493220E-02
                  45                  NO   -0.2711429688E-02
                  46                  NO   -0.1153497600E-02
                  47                 YES    0.2343922885E-01
                  48                  NO   -0.1741661916E-01
                  49                  NO   -0.1510181946E-02
                  50                  NO   -0.7815404460E-02
                  51                  NO   -0.1240743416E-02
                  52                  NO    0.8133768808E-02
                  53                 YES    0.2024403120E-01
                  54                 YES    0.1596635448E+00
                  55                  NO   -0.2117583104E-02
                  56                 YES    0.3160704881E-01
                  57                  NO   -0.2629815990E-02
                  58                 YES    0.1466769115E-01
                  59                  NO    0.9184872200E-03
                  60                  NO   -0.3543914759E-02
                  61                 YES    0.4160417818E-01
                  62                 YES    0.1183087765E+00
                  63                 YES    0.9052615872E-02
                  64                 YES    0.9818552064E-02
                  65                  NO    0.5451051816E-02
                  66                  NO   -0.1561376000E-02
