Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2414	0.0000	0.0000	0.0000	0.1777	0.0000	0.4991	0.9425	0.5487	0.9410	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7816	0.0977	0.0000	0.7326	0.3805	0.0000	0.6772	0.1967	0.3460	0.3956	0.4727
sample4_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3908	0.0000	0.0131	0.3605	0.4366	0.0000	0.4503	0.9480	0.7985	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4885	0.0452	0.0046	0.3372	1.0000	0.0000	0.6513	0.9036	0.6418	0.9528	0.9999
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7356	0.0326	0.0022	0.4535	0.4058	0.0000	0.5735	0.6513	0.5255	0.8847	0.5338
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0632	0.0641	0.3947	0.0000	0.1330	0.1777	0.1295	0.9682	0.7734	0.9588	0.2232
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1897	0.0836	0.3083	0.7326	0.0949	0.3807	0.1787	0.7253	0.7263	0.7804	0.0882
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5575	0.1398	0.2167	0.7326	0.2851	0.3807	0.5157	0.1806	0.5530	0.4810	0.2771
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	0.0336	1.0000	0.7326	0.2280	0.2030	0.5612	0.7075	0.4372	0.7409	0.5713
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6552	0.0578	0.9532	0.7326	0.3294	0.2030	0.6351	0.1622	0.5377	0.4810	0.2713
sample12_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3851	0.0268	0.3357	0.7326	0.2724	0.3807	0.5588	0.1051	0.8280	0.1500	0.4205
sample13_group1	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4943	0.1245	0.3081	0.6395	0.3738	0.4543	0.5593	0.7365	0.4835	0.8506	0.5324
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2989	0.0799	0.2325	0.3605	0.2420	0.2589	0.4788	0.8432	0.6371	0.8848	0.6463
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3563	0.0604	0.1691	0.3605	0.3713	0.2589	0.4593	0.8784	0.6838	0.9418	0.4085
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.4368	0.0767	0.4680	0.3605	0.2863	0.4365	0.5885	0.8098	0.4462	0.8756	0.3586
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6207	0.1161	0.4911	0.3605	0.3966	0.5051	0.7117	0.8193	0.4615	0.8747	0.1965
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.2989	0.0504	0.2178	0.4070	0.2344	0.2284	0.5344	0.8617	0.6092	0.8606	0.6383
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7989	0.1377	0.0180	0.7326	0.3738	0.0254	0.7533	0.1619	0.0432	0.3723	0.4879
sample20_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.0946	0.1450	0.7326	0.4372	0.2284	0.6994	0.1220	0.2926	0.3357	0.4767
sample21_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.0599	0.2489	0.7326	0.4892	0.4365	0.7987	0.0463	0.3967	0.3740	0.5543
sample22_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7874	0.0904	0.2464	0.7326	0.4245	0.1777	0.6971	0.0000	0.3064	0.4410	0.7520
sample23_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6264	0.0536	0.1566	1.0000	0.3332	0.1904	0.5960	0.2647	0.0204	0.0000	0.2541
sample24_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7931	0.0578	0.0087	1.0000	0.3776	0.0127	0.7197	0.1419	0.3617	0.4230	0.2274
