               index         classified?        descriptor_1        descriptor_2
                   1                 YES   -0.4110000000E-01   -0.2650000000E-01
                   2                 YES    0.1051000000E+00   -0.2730000000E+00
                   3                 YES   -0.2080000000E-01    0.2000000000E-03
                   4                 YES    0.2090000000E-01   -0.2070000000E-01
                   5                 YES    0.1270000000E-01   -0.6660000000E-01
                   6                 YES    0.1953000000E+00    0.1358000000E+00
                   7                  NO   -0.2010000000E-01    0.3777000000E+00
                   8                 YES    0.2384000000E+00   -0.1086000000E+00
                   9                 YES   -0.8130000000E-01   -0.3158000000E+00
                  10                 YES    0.9920000000E-01    0.1905000000E+00
                  11                 YES    0.6830000000E-01    0.2251000000E+00
                  12                 YES    0.2210000000E-01    0.3209000000E+00
                  13                 YES   -0.2700000000E-02    0.2223000000E+00
                  14                  NO   -0.9200000000E-02    0.4322000000E+00
                  15                 YES    0.2610000000E-01    0.4948000000E+00
                  16                 YES    0.1050000000E-01    0.6443000000E+00
                  17                 YES    0.1710000000E-01    0.6482000000E+00
                  18                 YES    0.9505000000E+00    0.2493000000E+00
                  19                 YES    0.2390000000E-01    0.2559000000E+00
                  20                 YES    0.1144000000E+00   -0.3241000000E+00
                  21                 YES    0.1137000000E+00   -0.3542000000E+00
                  22                 YES    0.3602000000E+00   -0.7536000000E+00
                  23                 YES    0.1430000000E+00    0.6600000000E-02
                  24                 YES   -0.3000000000E-03    0.4500000000E-02
                  25                 YES    0.4000000000E-02    0.2528000000E+00
                  26                 YES    0.2518000000E+00   -0.3771000000E+00
                  27                  NO   -0.5600000000E-02    0.4744000000E+00
                  28                 YES    0.1190000000E-01    0.1393000000E+00
                  29                  NO   -0.3878000000E+00    0.4429000000E+00
                  30                 YES    0.9537000000E+00    0.4434000000E+00
                  31                  NO    0.8900000000E-02    0.4123000000E+00
                  32                  NO   -0.2803000000E+00   -0.3580000000E-01
                  33                 YES    0.1043000000E+00    0.8950000000E-01
                  34                 YES    0.1164000000E+00    0.3310000000E-01
                  35                 YES    0.1990000000E-01    0.1189000000E+00
                  36                 YES    0.3565000000E+00   -0.1015000000E+00
                  37                 YES    0.8000000000E-02    0.6514000000E+00
                  38                  NO   -0.2670000000E-01    0.1671000000E+00
                  39                 YES   -0.3690000000E-01    0.8649000000E+00
                  40                 YES   -0.4210000000E-01    0.8426000000E+00
                  41                 YES   -0.3690000000E-01    0.8649000000E+00
                  42                 YES   -0.4900000000E-02    0.8819000000E+00
                  43                  NO   -0.2330000000E-01    0.2759000000E+00
                  44                  NO    0.1260000000E-01    0.3043000000E+00
                  45                  NO   -0.8370000000E-01    0.8780000000E-01
                  46                 YES   -0.4058000000E+00    0.2004000000E+00
                  47                 YES   -0.3225000000E+00    0.6375000000E+00
                  48                  NO   -0.4850000000E-01    0.1317000000E+00
                  49                  NO   -0.6800000000E-02    0.5181000000E+00
                  50                  NO   -0.2373000000E+00   -0.4910000000E-01
                  51                  NO    0.3800000000E-02    0.2790000000E+00
                  52                 YES   -0.7810000000E-01    0.1126500000E+01
                  53                 YES   -0.9467000000E+00    0.5870000000E+00
                  54                 YES   -0.5150000000E+00    0.3714000000E+00
                  55                 YES   -0.3888000000E+00    0.4358000000E+00
                  56                  NO   -0.2464000000E+00    0.6640000000E-01
                  57                 YES   -0.4034000000E+00   -0.1863000000E+00
                  58                 YES   -0.8900000000E-02    0.6512000000E+00
                  59                 YES   -0.1289000000E+00    0.1281600000E+01
                  60                  NO   -0.1158000000E+00   -0.7500000000E-01
                  61                  NO   -0.1040000000E-01    0.3293000000E+00
                  62                 YES   -0.3481000000E+00    0.4737000000E+00
                  63                 YES   -0.3735000000E+00   -0.1082600000E+01
                  64                 YES   -0.3259000000E+00   -0.2630000000E-01
                  65                 YES   -0.2526000000E+00   -0.5453000000E+00
                  66                 YES   -0.8300000000E-02    0.6591000000E+00
