Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample1	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1750	0.0000	0.0000	0.0000	0.0000	0.4708	0.9735	0.6110	0.9306	1.0000
sample2	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9583	0.0000	0.7326	0.2466	0.0000	0.6790	0.2032	0.3961	0.2890	0.4762
sample3	1.5600	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0144	0.4535	0.0612	0.0000	0.0000	1.0000	1.0000	0.9787	0.9998
sample4	4.6600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3917	0.0133	0.3605	0.3148	0.0000	0.4138	0.9791	0.8759	1.0000	0.9998
sample5	6.6500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5333	0.0047	0.3372	1.0000	0.0000	0.6488	0.9333	0.7097	0.9444	0.9999
sample6	13.1600	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8917	0.0022	0.4535	0.2773	0.0000	0.5578	0.6727	0.5864	0.8643	0.5369
sample7	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4167	1.0000	0.0000	0.0535	0.2160	0.6134	0.9397	0.3544	0.9173	0.5620
sample8	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7750	0.9731	0.7326	0.1845	0.2469	0.6298	0.1676	0.5993	0.3894	0.2762
sample9	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3833	0.3427	0.7326	0.1152	0.4630	0.5407	0.1086	0.9071	0.0000	0.4244
sample10	14.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6167	0.2753	1.0000	0.1152	0.2685	0.6608	0.5706	0.4194	0.6606	0.3801
sample11	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5417	0.3146	0.6395	0.2385	0.5525	0.5412	0.7607	0.5419	0.8242	0.5356
sample12	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7000	0.2602	0.6395	0.3587	0.4784	0.5879	0.8214	0.5381	0.8391	0.5005
sample13	6.1400	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2583	0.2373	0.3605	0.0782	0.3148	0.4471	0.8709	0.7047	0.8645	0.6486
sample14	5.9800	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3167	0.2236	0.3605	0.1568	0.3642	0.4459	0.8746	0.7205	0.8616	0.4424
sample15	6.9700	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3417	0.1726	0.3605	0.2354	0.3148	0.4243	0.9073	0.7543	0.9316	0.4125
sample16	3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.7250	0.5013	0.3605	0.2662	0.6142	0.7193	0.8462	0.5185	0.8526	0.2019
sample17	7.3500	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9917	0.2761	0.3605	0.3988	0.5309	0.8278	0.8405	0.4681	0.8537	0.1923
sample18	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.2583	0.2223	0.4070	0.0689	0.2778	0.5121	0.8900	0.6751	0.8360	0.6407
sample19	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.3833	0.2191	0.6395	0.0535	0.2160	0.4706	0.8459	0.6439	0.8662	0.5900
sample20	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9833	0.0184	0.7326	0.2385	0.0309	0.7679	0.1672	0.0750	0.2615	0.4913
sample21	19.2500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9667	0.1480	0.7326	0.3156	0.2778	0.7050	0.1261	0.3394	0.2185	0.4803
