               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.8834000000E+00   -0.4821745500E+00
                   2                 YES   -0.2356000000E+00    0.2392002125E-01
                   3                 YES    0.1095400000E+01   -0.9817036200E+00
                   4                 YES    0.1020400000E+01   -0.5953695223E+00
                   5                 YES    0.3113000000E+00   -0.1287941599E+00
                   6                 YES    0.1049900000E+01   -0.2106076400E+00
                   7                  NO    0.6213000000E+00   -0.4874331162E-01
                   8                 YES    0.7212000000E+00   -0.1843108786E+00
                   9                  NO    0.5438000000E+00   -0.9499018162E-01
                  10                 YES    0.4400000000E-02    0.1252368728E-01
                  11                 YES   -0.1936000000E+00    0.5337366136E-02
                  12                 YES   -0.2840000000E-01    0.1667991310E-01
                  13                 YES    0.3244000000E+00   -0.1359775796E+00
                  14                 YES   -0.3237000000E+00   -0.1260465406E+00
                  15                 YES    0.7918000000E+00   -0.2606855390E+00
                  16                 YES    0.8251000000E+00   -0.1780619830E+00
                  17                 YES    0.9121000000E+00   -0.2021385011E+00
                  18                  NO    0.6598000000E+00   -0.1004959692E+00
                  19                  NO    0.5973000000E+00   -0.3309321499E-01
                  20                 YES    0.8023000000E+00   -0.2142898034E+00
                  21                 YES    0.6519000000E+00   -0.2199949048E+00
                  22                 YES   -0.2751000000E+00    0.1074082061E-01
                  23                 YES   -0.3955000000E+00    0.0000000000E+00
                  24                 YES   -0.5290000000E-01    0.3918141331E-01
                  25                 YES   -0.3078000000E+00    0.9091450120E-02
                  26                 YES   -0.8640000000E-01    0.1853881344E-01
                  27                 YES   -0.1376000000E+00    0.4488876000E-03
                  28                 YES   -0.2909000000E+00   -0.1999321515E+00
                  29                 YES   -0.4320000000E-01   -0.1830797881E-01
                  30                 YES   -0.1368000000E+00   -0.1367996312E+00
                  31                  NO    0.2438000000E+00    0.0000000000E+00
                  32                  NO    0.8360000000E+00   -0.9221567910E-01
                  33                 YES   -0.1510000000E+00    0.6419292290E-01
                  34                  NO    0.7300000000E-01    0.3992885902E-01
                  35                 YES   -0.7730000000E-01   -0.1328798925E-01
                  36                  NO    0.4747000000E+00   -0.8695473125E-01
                  37                 YES    0.3337000000E+00    0.1285311866E-01
                  38                 YES    0.4777000000E+00    0.3055989222E-01
                  39                 YES    0.9481000000E+00   -0.8527512127E-01
                  40                 YES    0.8913000000E+00   -0.8122033034E-01
                  41                 YES    0.8806000000E+00   -0.8527512127E-01
                  42                 YES    0.6609000000E+00   -0.1226499523E-01
                  43                  NO    0.1534000000E+00   -0.4166131200E-02
                  44                  NO    0.5838000000E+00   -0.4612236460E-01
                  45                 YES    0.1300000000E-02    0.6125674275E-01
                  46                 YES    0.9760000000E-01    0.6135490665E-01
                  47                  NO    0.6802000000E+00   -0.1428690533E+00
                  48                  NO    0.4635000000E+00   -0.1857251292E-01
                  49                 YES    0.3174000000E+00    0.5884041180E-01
                  50                  NO    0.7522000000E+00   -0.1658925844E+00
                  51                 YES    0.8071000000E+00    0.2165464635E-01
                  52                 YES    0.3901000000E+00    0.1507701032E-01
                  53                  NO    0.3410000000E+00    0.2131655250E-03
                  54                 YES    0.1740000000E+00    0.1326915567E+00
                  55                 YES    0.3172000000E+00    0.1089852967E-01
                  56                 YES    0.6642000000E+00   -0.3195745929E-01
                  57                  NO    0.5191000000E+00   -0.2307104870E-01
                  58                 YES    0.6520000000E-01    0.6071819960E-01
                  59                  NO    0.3978000000E+00   -0.2483703576E-01
                  60                 YES    0.4239000000E+00    0.6395936560E-03
                  61                 YES    0.5092000000E+00    0.9622001340E-03
                  62                 YES    0.2615000000E+00    0.5965958645E-01
                  63                 YES    0.1671000000E+00    0.7105214329E-01
                  64                 YES    0.4813000000E+00   -0.2157375200E-03
                  65                  NO    0.3868000000E+00   -0.2941197168E-02
                  66                 YES    0.5725000000E+00   -0.2494976796E-01
