               index         classified?        descriptor_1
                   1                  NO   -0.3058250000E-01
                   2                 YES    0.7611344000E-01
                   3                  NO   -0.1777239000E-01
                   4                  NO    0.2090000000E-01
                   5                  NO    0.1857960000E-01
                   6                 YES    0.1875564000E+00
                   7                 YES    0.2434848000E-01
                   8                 YES    0.1416545000E+00
                   9                  NO    0.7557180000E-02
                  10                 YES    0.6783504000E-01
                  11                 YES    0.1002503500E+00
                  12                 YES    0.8901100000E-01
                  13                 YES    0.3608176000E-01
                  14                 YES    0.3249210000E-01
                  15                 YES    0.3432352000E-01
                  16                 YES    0.2492895000E-01
                  17                 YES    0.3073356000E-01
                  18                  NO   -0.2530164000E-01
                  19                 YES    0.3580652000E-01
                  20                 YES    0.7635873000E-01
                  21                 YES    0.7036272000E-01
                  22                 YES    0.1219988000E+00
                  23                 YES    0.1944810000E+00
                  24                  NO    0.0000000000E+00
                  25                 YES    0.1169595000E+00
                  26                 YES    0.1195463200E+00
                  27                  NO    0.1269560000E-01
                  28                 YES    0.1983100800E+00
                  29                  NO    0.6475200000E-02
                  30                 YES    0.2779596000E-01
                  31                  NO   -0.2080785000E-01
                  32                  NO    0.1970352000E-01
                  33                  NO   -0.1900800000E-02
                  34                  NO   -0.2582253000E-01
                  35                 YES    0.9832000000E-01
                  36                 YES    0.4311110000E-01
                  37                  NO    0.1871855000E-01
                  38                  NO   -0.6502500000E-02
                  39                  NO   -0.2809632000E-01
                  40                 YES   -0.3185988000E-01
                  41                  NO   -0.2809632000E-01
                  42                  NO    0.6332820000E-02
                  43                  NO   -0.3029000000E-02
                  44                 YES   -0.3528552000E-01
                  45                  NO    0.1448966000E-01
                  46                  NO   -0.9637120000E-02
                  47                 YES   -0.4835100000E-01
                  48                  NO    0.1945006000E-01
                  49                  NO   -0.5761800000E-02
                  50                  NO   -0.8654900000E-02
                  51                  NO   -0.1486850000E-02
                  52                  NO   -0.1768536000E-01
                  53                 YES   -0.4663314000E-01
                  54                 YES   -0.4677659000E-01
                  55                 YES   -0.4097863000E-01
                  56                  NO    0.1961316000E-01
                  57                 YES   -0.4433472000E-01
                  58                  NO    0.1858030000E-01
                  59                  NO    0.2056600000E-01
                  60                 YES   -0.6863116000E-01
                  61                 YES   -0.4962670000E-01
                  62                 YES   -0.4218312000E-01
                  63                 YES   -0.3538392000E-01
                  64                 YES   -0.1004327500E+00
                  65                 YES   -0.5843052000E-01
                  66                  NO    0.1940763000E-01
