               index         classified?        descriptor_1
                   1                  NO   -0.2170000000E-01
                   2                 YES    0.1012000000E+00
                   3                 YES   -0.1150000000E-01
                   4                 YES    0.5200000000E-01
                   5                 YES    0.2008000000E+00
                   6                  NO   -0.7350000000E-01
                   7                 YES   -0.2000000000E-03
                   8                 YES    0.9340000000E-01
                   9                 YES    0.2610000000E+00
                  10                 YES    0.1810000000E-01
                  11                 YES    0.6190000000E-01
                  12                 YES   -0.1040000000E-01
                  13                  NO   -0.3830000000E-01
                  14                  NO   -0.1850000000E-01
                  15                 YES    0.3000000000E-02
                  16                 YES   -0.1090000000E-01
                  17                  NO   -0.6260000000E-01
                  18                  NO   -0.5150000000E-01
                  19                 YES    0.3200000000E-02
                  20                 YES    0.7270000000E-01
                  21                 YES    0.2678000000E+00
                  22                 YES    0.3506000000E+00
                  23                  NO   -0.3183000000E+00
                  24                 YES    0.2233000000E+00
                  25                 YES    0.1270000000E+00
                  26                 YES   -0.1130000000E-01
                  27                  NO   -0.1211000000E+00
                  28                 YES    0.2464000000E+00
                  29                  NO   -0.6130000000E-01
                  30                  NO   -0.3218000000E+00
                  31                  NO   -0.3281000000E+00
                  32                  NO   -0.3890000000E-01
                  33                  NO   -0.1506000000E+00
                  34                 YES    0.2580000000E-01
                  35                 YES    0.3319000000E+00
                  36                 YES   -0.4800000000E-02
                  37                  NO   -0.1147000000E+00
                  38                  NO   -0.8410000000E-01
                  39                  NO   -0.6730000000E-01
                  40                 YES   -0.9984000000E+00
                  41                  NO   -0.7390000000E-01
                  42                  NO   -0.1810000000E-01
                  43                  NO   -0.1129000000E+00
                  44                 YES   -0.4149000000E+00
                  45                 YES   -0.3829000000E+00
                  46                  NO   -0.3470000000E-01
                  47                  NO   -0.7620000000E-01
                  48                  NO   -0.8050000000E-01
                  49                  NO   -0.2275000000E+00
                  50                  NO   -0.1790000000E-01
                  51                  NO   -0.1017000000E+00
                  52                 YES   -0.1027800000E+01
                  53                 YES   -0.5575000000E+00
                  54                  NO   -0.3241000000E+00
                  55                  NO   -0.1981000000E+00
                  56                 YES   -0.3548000000E+00
                  57                  NO   -0.2910000000E-01
                  58                 YES   -0.3322000000E+00
                  59                  NO   -0.1549000000E+00
                  60                  NO   -0.3880000000E-01
                  61                  NO   -0.2068000000E+00
                  62                 YES   -0.3526000000E+00
                  63                 YES   -0.3336000000E+00
                  64                 YES   -0.3844000000E+00
                  65                 YES   -0.3623000000E+00
                  66                  NO   -0.4670000000E-01
