               index         classified?        descriptor_1        descriptor_2
                   1                 YES   -0.2170000000E-01    0.1000000000E+01
                   2                 YES    0.1012000000E+00    0.1499683600E+00
                   3                 YES   -0.1150000000E-01    0.4629892500E+00
                   4                 YES    0.5200000000E-01    0.3562179600E+00
                   5                 YES    0.2008000000E+00   -0.7030620000E-02
                   6                 YES   -0.7350000000E-01    0.2067020000E+00
                   7                 YES   -0.2000000000E-03   -0.5106816000E-01
                   8                 YES    0.9340000000E-01    0.8842650000E-01
                   9                 YES    0.2610000000E+00    0.2250052000E+00
                  10                 YES    0.1810000000E-01    0.8629600000E-01
                  11                 YES    0.6190000000E-01   -0.3967360000E-02
                  12                 YES   -0.1040000000E-01   -0.2516458000E-01
                  13                 YES   -0.3830000000E-01    0.1568128300E+00
                  14                 YES   -0.1850000000E-01    0.4158063000E-01
                  15                 YES    0.3000000000E-02    0.2714920000E-01
                  16                 YES   -0.1090000000E-01    0.9325000000E-03
                  17                  NO   -0.6260000000E-01   -0.1530620000E-02
                  18                 YES   -0.5150000000E-01    0.1315263600E+00
                  19                 YES    0.3200000000E-02   -0.2147805000E-01
                  20                 YES    0.7270000000E-01    0.1537081000E+00
                  21                 YES    0.2678000000E+00    0.1299148300E+00
                  22                 YES    0.3506000000E+00   -0.1653540000E-01
                  23                 YES   -0.3183000000E+00    0.2679835300E+00
                  24                 YES    0.2233000000E+00    0.4997308800E+00
                  25                 YES    0.1270000000E+00    0.2661736000E+00
                  26                 YES   -0.1130000000E-01    0.3704142000E-01
                  27                  NO   -0.1211000000E+00   -0.1127910000E-01
                  28                 YES    0.2464000000E+00   -0.7017600000E-03
                  29                  NO   -0.6130000000E-01    0.5219200000E-01
                  30                  NO   -0.3218000000E+00   -0.2417440000E-02
                  31                  NO   -0.3281000000E+00   -0.2358972000E-01
                  32                 YES   -0.3890000000E-01    0.1375590800E+00
                  33                  NO   -0.1506000000E+00    0.1060000000E-01
                  34                 YES    0.2580000000E-01    0.2205600000E-01
                  35                 YES    0.3319000000E+00    0.7079448000E-01
                  36                 YES   -0.4800000000E-02   -0.1959165000E-01
                  37                 YES   -0.1147000000E+00   -0.4919042000E-01
                  38                  NO   -0.8410000000E-01    0.9745284000E-01
                  39                  NO   -0.6730000000E-01    0.1010992800E+00
                  40                 YES   -0.9984000000E+00    0.9025436000E-01
                  41                  NO   -0.7390000000E-01    0.1424190000E-01
                  42                 YES   -0.1810000000E-01   -0.9703029000E-01
                  43                  NO   -0.1129000000E+00    0.1187730600E+00
                  44                 YES   -0.4149000000E+00    0.2624928800E+00
                  45                 YES   -0.3829000000E+00   -0.3965687000E-01
                  46                  NO   -0.3470000000E-01   -0.2436406000E-01
                  47                  NO   -0.7620000000E-01    0.1303525800E+00
                  48                  NO   -0.8050000000E-01    0.4847470000E-01
                  49                  NO   -0.2275000000E+00    0.8924400000E-02
                  50                 YES   -0.1790000000E-01   -0.2248054900E+00
                  51                 YES   -0.1017000000E+00   -0.7760714000E-01
                  52                 YES   -0.1027800000E+01    0.1120325000E+00
                  53                 YES   -0.5575000000E+00    0.1381839800E+00
                  54                 YES   -0.3241000000E+00   -0.1232578200E+00
                  55                  NO   -0.1981000000E+00   -0.7705600000E-02
                  56                 YES   -0.3548000000E+00    0.1527526000E-01
                  57                 YES   -0.2910000000E-01   -0.2564480600E+00
                  58                 YES   -0.3322000000E+00   -0.6198972000E-01
                  59                 YES   -0.1549000000E+00   -0.1930637400E+00
                  60                 YES   -0.3880000000E-01   -0.4904520000E-01
                  61                 YES   -0.2068000000E+00   -0.8899528000E-01
                  62                 YES   -0.3526000000E+00   -0.1373700000E-01
                  63                 YES   -0.3336000000E+00   -0.1359320000E-01
                  64                 YES   -0.3844000000E+00   -0.2635340000E-01
                  65                 YES   -0.3623000000E+00   -0.2815266000E+00
                  66                 YES   -0.4670000000E-01   -0.3636177200E+00
