               index         classified?        descriptor_1
                   1                  NO    0.3250000000E-01
                   2                  NO    0.1810000000E-01
                   3                  NO   -0.2090000000E-01
                   4                  NO   -0.1950000000E-01
                   5                  NO    0.4120000000E-01
                   6                  NO   -0.3120000000E-01
                   7                 YES   -0.2945000000E+00
                   8                  NO    0.1000000000E-01
                   9                  NO   -0.1020000000E-01
                  10                 YES   -0.3134000000E+00
                  11                  NO   -0.4140000000E-01
                  12                 YES   -0.1409000000E+00
                  13                 YES   -0.4358000000E+00
                  14                 YES   -0.7566000000E+00
                  15                 YES   -0.1041800000E+01
                  16                  NO   -0.1390000000E-01
                  17                  NO   -0.7800000000E-02
                  18                  NO   -0.3450000000E-01
                  19                  NO   -0.2850000000E-01
                  20                  NO    0.2940000000E-01
                  21                  NO   -0.4040000000E-01
                  22                 YES   -0.2096000000E+00
                  23                 YES   -0.4410000000E+00
                  24                  NO    0.2734000000E+00
                  25                 YES   -0.2765000000E+00
                  26                 YES   -0.2018000000E+00
                  27                 YES   -0.3875000000E+00
                  28                 YES   -0.1013600000E+01
                  29                 YES   -0.3012000000E+00
                  30                 YES   -0.6991000000E+00
                  31                  NO    0.2450000000E-01
                  32                  NO   -0.2160000000E-01
                  33                  NO    0.1593000000E+00
                  34                 YES   -0.4933000000E+00
                  35                  NO   -0.5930000000E-01
                  36                 YES   -0.7208000000E+00
                  37                  NO   -0.2050000000E-01
                  38                  NO    0.7500000000E-02
                  39                  NO    0.2960000000E-01
                  40                  NO    0.3380000000E-01
                  41                  NO    0.2960000000E-01
                  42                  NO   -0.6900000000E-02
                  43                  NO   -0.6060000000E-01
                  44                  NO   -0.4550000000E-01
                  45                  NO    0.6500000000E-02
                  46                 YES    0.2796000000E+00
                  47                 YES    0.3076000000E+00
                  48                  NO    0.1280000000E-01
                  49                  NO   -0.4400000000E-02
                  50                  NO   -0.8300000000E-02
                  51                  NO    0.1420000000E+00
                  52                  NO   -0.2230000000E-01
                  53                  NO    0.1080000000E-01
                  54                 YES    0.9290000000E+00
                  55                 YES    0.5532000000E+00
                  56                 YES    0.4422000000E+00
                  57                  NO    0.2694000000E+00
                  58                  NO    0.1477000000E+00
                  59                 YES    0.2801000000E+00
                  60                  NO   -0.2580000000E-01
                  61                 YES    0.2752000000E+00
                  62                  NO    0.6200000000E-01
                  63                  NO    0.3210000000E-01
                  64                 YES    0.3003000000E+00
                  65                 YES    0.2856000000E+00
                  66                 YES    0.3095000000E+00
