               index         classified?        descriptor_1        descriptor_2
                   1                 YES   -0.9735000000E+00   -0.8098000000E+00
                   2                 YES   -0.1000000000E+01   -0.9382123200E+00
                   3                 YES   -0.9791000000E+00   -0.6501699400E+00
                   4                 YES   -0.9333000000E+00   -0.5456454300E+00
                   5                 YES   -0.1000000000E+01   -0.2231107200E+00
                   6                  NO   -0.7492000000E+00   -0.7624890000E-01
                   7                 YES   -0.1865000000E+00   -0.1306526500E+00
                   8                 YES   -0.9397000000E+00   -0.3507793400E+00
                   9                 YES   -0.7307000000E+00   -0.3748870600E+00
                  10                 YES   -0.1676000000E+00   -0.9981127000E-01
                  11                 YES   -0.1086000000E+00   -0.2758900500E+00
                  12                 YES    0.4294000000E+00   -0.1820483700E+00
                  13                  NO   -0.4326000000E+00   -0.3080398400E+00
                  14                 YES   -0.9400000000E-01   -0.2872298000E+00
                  15                 YES    0.1786000000E+00   -0.2096767800E+00
                  16                 YES   -0.8709000000E+00   -0.4834324000E+00
                  17                 YES   -0.8746000000E+00   -0.3093007200E+00
                  18                 YES   -0.9073000000E+00   -0.2805578000E+00
                  19                  NO   -0.8462000000E+00   -0.7946460000E-01
                  20                 YES   -0.8900000000E+00   -0.4775122300E+00
                  21                 YES   -0.8459000000E+00   -0.3852619200E+00
                  22                 YES   -0.1261000000E+00   -0.1081382400E+00
                  23                 YES    0.0000000000E+00   -0.1704032000E+00
                  24                 YES   -0.2734000000E+00   -0.1012080300E+00
                  25                 YES    0.3535000000E+00   -0.5016444000E-01
                  26                 YES    0.6094000000E+00   -0.7683354000E-01
                  27                 YES   -0.2352000000E+00   -0.1375256100E+00
                  28                 YES    0.8010000000E-01   -0.1994035100E+00
                  29                 YES    0.6428000000E+00   -0.1885455000E+00
                  30                 YES   -0.1588000000E+00   -0.1819706000E+00
                  31                 YES   -0.8738000000E+00   -0.3190220000E+00
                  32                 YES   -0.8906000000E+00   -0.2152764500E+00
                  33                 YES   -0.3214000000E+00   -0.1882721500E+00
                  34                 YES   -0.1212000000E+00   -0.1922170300E+00
                  35                 YES   -0.1677000000E+00   -0.3545958600E+00
                  36                 YES   -0.6500000000E-01   -0.1643084000E+00
                  37                 YES   -0.8926000000E+00   -0.3331371000E-01
                  38                 YES   -0.8745000000E+00   -0.8607100000E-02
                  39                 YES   -0.9788000000E+00   -0.1045335200E+00
                  40                 YES   -0.9764000000E+00   -0.1105823400E+00
                  41                 YES   -0.9788000000E+00   -0.9655971000E-01
                  42                 YES   -0.9109000000E+00   -0.1455552000E-01
                  43                 YES   -0.3584000000E+00   -0.5192215000E-01
                  44                  NO   -0.7268000000E+00   -0.2720062800E+00
                  45                  NO   -0.4725000000E+00   -0.8157920000E-01
                  46                 YES   -0.4058000000E+00   -0.2322000000E-01
                  47                  NO   -0.8714000000E+00   -0.1317769400E+00
                  48                  NO   -0.7657000000E+00   -0.3407574000E+00
                  49                  NO   -0.9182000000E+00   -0.1844568000E+00
                  50                 YES   -0.9061000000E+00   -0.8876408000E-01
                  51                  NO   -0.4825000000E+00   -0.2754020800E+00
                  52                  NO   -0.3499000000E+00   -0.4249208000E+00
                  53                 YES   -0.5443000000E+00    0.3845402100E+00
                  54                 YES   -0.8071000000E+00    0.6447000000E-04
                  55                 YES   -0.5401000000E+00   -0.8915760000E-02
                  56                 YES   -0.6046000000E+00   -0.3349320000E-01
                  57                 YES   -0.4425000000E+00    0.0000000000E+00
                  58                  NO   -0.4644000000E+00   -0.2366945100E+00
                  59                  NO   -0.4264000000E+00   -0.2991930400E+00
                  60                 YES   -0.7344000000E+00   -0.5618690000E-01
                  61                  NO   -0.4363000000E+00   -0.7987440000E-01
                  62                 YES   -0.5984000000E+00    0.5270611400E+00
                  63                  NO   -0.4520000000E+00   -0.1829633400E+00
                  64                 YES   -0.6363000000E+00   -0.6828288000E-01
                  65                 YES   -0.4333000000E+00    0.1402392900E+00
                  66                 YES   -0.6340000000E+00   -0.4863638000E-01
