               index         classified?        descriptor_1
                   1                 YES    0.9783000000E+00
                   2                 YES    0.9985000000E+00
                   3                 YES    0.6751000000E+00
                   4                  NO    0.5180000000E-01
                   5                 YES    0.1049100000E+01
                   6                  NO    0.2190000000E+00
                   7                  NO    0.1495000000E+00
                   8                 YES    0.5824000000E+00
                   9                 YES    0.5819000000E+00
                  10                 YES    0.6076000000E+00
                  11                 YES    0.5950000000E+00
                  12                  NO    0.4693000000E+00
                  13                 YES    0.5392000000E+00
                  14                 YES    0.5832000000E+00
                  15                 YES    0.5685000000E+00
                  16                  NO    0.4402000000E+00
                  17                 YES   -0.2741000000E+00
                  18                  NO    0.2573000000E+00
                  19                 YES    0.6396000000E+00
                  20                 YES    0.6573000000E+00
                  21                 YES    0.7017000000E+00
                  22                 YES    0.8850000000E+00
                  23                 YES    0.1194600000E+01
                  24                  NO   -0.5600000000E-02
                  25                 YES    0.6363000000E+00
                  26                 YES    0.7100000000E+00
                  27                  NO    0.4663000000E+00
                  28                 YES    0.7449000000E+00
                  29                 YES   -0.2545000000E+00
                  30                  NO    0.4337000000E+00
                  31                 YES    0.5282000000E+00
                  32                 YES    0.5755000000E+00
                  33                  NO    0.2081000000E+00
                  34                 YES    0.5395000000E+00
                  35                 YES    0.6294000000E+00
                  36                 YES    0.9000000000E+00
                  37                  NO    0.1155000000E+00
                  38                  NO    0.1155000000E+00
                  39                  NO    0.6490000000E-01
                  40                  NO    0.1545000000E+00
                  41                  NO    0.4911000000E+00
                  42                  NO    0.3932000000E+00
                  43                  NO   -0.6130000000E-01
                  44                  NO   -0.1045000000E+00
                  45                  NO    0.4337000000E+00
                  46                  NO    0.3317000000E+00
                  47                  NO    0.4050000000E+00
                  48                  NO    0.4244000000E+00
                  49                  NO    0.3168000000E+00
                  50                  NO    0.2584000000E+00
                  51                  NO    0.1435000000E+00
                  52                  NO   -0.2486000000E+00
                  53                  NO    0.2651000000E+00
                  54                  NO    0.3462000000E+00
                  55                  NO    0.1324000000E+00
                  56                  NO    0.1314000000E+00
                  57                  NO    0.2738000000E+00
                  58                  NO    0.5093000000E+00
                  59                  NO    0.4277000000E+00
                  60                  NO    0.4260000000E+00
                  61                  NO    0.2158000000E+00
                  62                  NO    0.2900000000E+00
                  63                  NO    0.1552000000E+00
                  64                  NO   -0.2169000000E+00
                  65                  NO   -0.7440000000E-01
                  66                  NO    0.1316000000E+00
