               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.2170000000E-01    0.1000000000E+01
                   2                 YES    0.8349000000E-03    0.5009000000E+00
                   3                 YES   -0.7108686000E-01   -0.2045000000E+00
                   4                 YES   -0.1256290000E-01    0.9035000000E+00
                   5                 YES   -0.4170400000E-01    0.5495000000E+00
                   6                 YES   -0.1245889200E+00   -0.3970000000E-01
                   7                 YES    0.7306620000E-02    0.9370000000E-01
                   8                 YES   -0.4027810000E-01   -0.9050000000E-01
                   9                 YES   -0.1684643200E+00   -0.2386000000E+00
                  10                 YES   -0.6344120000E-02   -0.6190000000E-01
                  11                 YES   -0.1492646000E-01    0.1010000000E-01
                  12                 YES   -0.4432814000E-01   -0.2215000000E+00
                  13                 YES   -0.1740010400E+00   -0.3638000000E+00
                  14                 YES   -0.3731190000E-01   -0.1383000000E+00
                  15                 YES   -0.5619425000E-01   -0.2690000000E-01
                  16                 YES   -0.3325200000E-01   -0.1022000000E+00
                  17                 YES   -0.2342836000E-01   -0.3920000000E-01
                  18                 YES   -0.4370162000E-01   -0.5080000000E-01
                  19                 YES   -0.4644164000E-01   -0.2299000000E+00
                  20                 YES   -0.5378786000E-01   -0.5152000000E+00
                  21                 YES   -0.7268298000E-01   -0.6177000000E+00
                  22                 YES   -0.3951183000E-01    0.8830000000E-01
                  23                  NO   -0.1258192000E-01   -0.2654000000E+00
                  24                 YES   -0.1334394400E+00   -0.2444000000E+00
                  25                 YES   -0.1404144000E+00    0.5490000000E-01
                  26                  NO    0.9899780000E-02   -0.3419000000E+00
                  27                 YES   -0.1047940800E+00   -0.1492300000E+01
                  28                 YES   -0.2910798000E-01   -0.9920000000E-01
                  29                 YES   -0.2508363000E-01    0.1930000000E-01
                  30                  NO   -0.1166550000E-02   -0.2157000000E+00
                  31                  NO    0.0000000000E+00   -0.4771000000E+00
                  32                 YES    0.1379385000E-01    0.7250000000E-01
                  33                  NO    0.1795164000E-01   -0.2042000000E+00
                  34                 YES   -0.1114985700E+00   -0.1905000000E+00
                  35                 YES   -0.1745272200E+00   -0.1565000000E+00
                  36                 YES   -0.7490256000E-01    0.5410000000E-01
                  37                 YES   -0.8508600000E-03   -0.7394000000E+00
                  38                  NO   -0.3105900000E-01   -0.2189000000E+00
                  39                  NO    0.1605960000E-02   -0.2584000000E+00
                  40                  NO   -0.9729600000E-03   -0.1549000000E+00
                  41                  NO   -0.3536150000E-02   -0.4837000000E+00
                  42                  NO   -0.3068640000E-01   -0.2713000000E+00
                  43                  NO   -0.3412164000E-01   -0.2399000000E+00
                  44                  NO   -0.8075000000E-03   -0.4414000000E+00
                  45                 YES   -0.2126388000E-01   -0.7647000000E+00
                  46                  NO   -0.6548640000E-02   -0.3421000000E+00
                  47                 YES   -0.3720000000E-02   -0.5701000000E+00
                  48                 YES   -0.2779244000E-01   -0.1007500000E+01
                  49                  NO   -0.5313000000E-02   -0.1737000000E+00
                  50                 YES   -0.3074093000E-01   -0.1785200000E+01
                  51                 YES   -0.8221030000E-02   -0.1429400000E+01
                  52                 YES    0.2790567000E-01   -0.8873000000E+00
                  53                 YES    0.2229279600E+00   -0.3177000000E+00
                  54                 YES    0.4135848000E-01   -0.3400000000E-01
                  55                 YES    0.2138396000E+00   -0.7740000000E-01
                  56                  NO   -0.2285340000E-01   -0.3527000000E+00
                  57                 YES   -0.2889964000E-01   -0.1387500000E+01
                  58                 YES    0.3572440000E-01   -0.1588000000E+00
                  59                  NO    0.1270860000E-02   -0.1823000000E+00
                  60                  NO   -0.8393100000E-02   -0.3029000000E+00
                  61                 YES   -0.1639092000E-01   -0.8860000000E+00
                  62                 YES    0.6399999000E-01    0.4620000000E-01
                  63                 YES    0.2273899700E+00   -0.9770000000E-01
                  64                 YES    0.1110044100E+00   -0.3192000000E+00
                  65                 YES    0.6366240000E-01   -0.2888000000E+00
                  66                 YES   -0.1699275000E-01   -0.1345500000E+01
