               index         classified?        descriptor_1
                   1                  NO    0.3250000000E-01
                   2                 YES   -0.9162088000E-01
                   3                  NO    0.1809638000E-01
                   4                 YES   -0.2089582000E-01
                   5                 YES   -0.1138228000E+00
                   6                  NO   -0.2945280000E-02
                   7                 YES   -0.8304900000E-01
                   8                  NO    0.5620000000E-02
                   9                 YES   -0.5895188000E-01
                  10                 YES   -0.8656108000E-01
                  11                  NO   -0.1757016000E-01
                  12                 YES   -0.5355609000E-01
                  13                 YES   -0.4678100000E-01
                  14                 YES   -0.2092090000E-01
                  15                  NO   -0.3450720000E-02
                  16                  NO   -0.1423125000E-01
                  17                 YES   -0.2729496000E-01
                  18                 YES   -0.4184973000E-01
                  19                 YES   -0.2383600000E-01
                  20                 YES   -0.1007656300E+00
                  21                 YES   -0.3323376000E+00
                  22                  NO    0.7086528000E-01
                  23                 YES   -0.6431390000E-01
                  24                 YES   -0.3056880000E-01
                  25                 YES   -0.2211711600E+00
                  26                  NO   -0.3056550000E-02
                  27                 YES   -0.2223288000E-01
                  28                  NO    0.0000000000E+00
                  29                  NO    0.1054480000E-01
                  30                  NO   -0.1033128000E-01
                  31                  NO    0.1001651200E+00
                  32                  NO    0.5690196000E-01
                  33                 YES   -0.5840000000E-01
                  34                 YES   -0.7336290000E-01
                  35                 YES   -0.3254384000E-01
                  36                 YES   -0.1936725000E+00
                  37                  NO   -0.4944600000E-02
                  38                  NO    0.3371440000E-02
                  39                  NO    0.4522440000E-02
                  40                  NO    0.3371440000E-02
                  41                  NO   -0.2001000000E-03
                  42                  NO   -0.4999500000E-02
                  43                  NO   -0.1922375000E-01
                  44                  NO    0.2500550000E-02
                  45                 YES    0.3370298400E+00
                  46                  NO   -0.6011230000E-02
                  47                  NO    0.8115200000E-02
                  48                  NO   -0.1760440000E-02
                  49                  NO    0.7548720000E-01
                  50                  NO   -0.1273107000E-01
                  51                  NO    0.4512240000E-02
                  52                  NO   -0.1562710000E-01
                  53                  NO    0.2539548000E-01
                  54                  NO    0.5878460000E-01
                  55                 YES    0.1716172700E+00
                  56                  NO   -0.2146560000E-02
                  57                  NO    0.3203328000E-01
                  58                  NO   -0.1784500000E-02
                  59                  NO    0.1964160000E-01
                  60                  NO   -0.1056160000E-01
                  61                  NO    0.8595002000E-01
                  62                 YES    0.1369039000E+00
                  63                 YES    0.1220083200E+00
                  64                  NO    0.8332542000E-01
                  65                  NO    0.2240780000E-01
                  66                  NO   -0.2092310000E-02
