               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.0000000000E+00   -0.9964000000E+00
                   2                 YES    0.1273197600E+00   -0.4328902500E+00
                   3                 YES    0.2010301300E+00    0.2569328052E-01
                   4                 YES   -0.1867890000E+00   -0.8747873475E+00
                   5                 YES    0.3270840000E-02   -0.1145211727E+00
                   6                 YES    0.1229895000E+00   -0.1873029374E+00
                   7                 YES    0.1662882800E+00    0.1313973360E-02
                   8                 YES    0.1137078800E+00   -0.1666351468E+00
                   9                  NO   -0.1610388000E+00   -0.7852744845E-01
                  10                 YES    0.1951787000E+00    0.6504907728E-02
                  11                 YES    0.1271760000E+00    0.1810940264E-01
                  12                  NO   -0.4618240000E-02   -0.1322793612E-01
                  13                  NO   -0.1355574000E+00   -0.1201555152E+00
                  14                 YES   -0.6236650000E-01   -0.1211021058E+00
                  15                 YES   -0.2999752000E-01   -0.1113995282E+00
                  16                 YES   -0.6161476000E-01   -0.2310103572E+00
                  17                 YES   -0.2391267000E-01   -0.1576793763E+00
                  18                 YES    0.9919900000E-02   -0.1811337660E+00
                  19                  NO   -0.2528940000E-01   -0.8915727942E-01
                  20                  NO    0.8917140000E-02   -0.2964266726E-01
                  21                 YES   -0.9426900000E-01   -0.1888703961E+00
                  22                 YES    0.2233322000E+00    0.2975646393E-01
                  23                 YES    0.1724539700E+00    0.1078048922E-01
                  24                 YES    0.2351963800E+00    0.0000000000E+00
                  25                 YES    0.2385049800E+00    0.4087592692E-01
                  26                 YES    0.3999019200E+00    0.9535416066E-02
                  27                 YES    0.2670378000E+00    0.2031750912E-01
                  28                 YES   -0.3404394000E-01   -0.1813251982E+00
                  29                 YES    0.3091200000E-01   -0.1501506438E+00
                  30                 YES   -0.1286349000E-01   -0.1209246343E+00
                  31                  NO   -0.1608390000E-01    0.0000000000E+00
                  32                  NO   -0.6680091000E-01   -0.8112557952E-01
                  33                 YES    0.1753000000E+00    0.6622503700E-01
                  34                 YES    0.1342745600E+00    0.4357497088E-01
                  35                  NO    0.2391000000E-01   -0.7467900000E-02
                  36                 YES   -0.8602005000E-01   -0.1435153226E+00
                  37                 YES   -0.1308240000E-02    0.9484249320E-02
                  38                 YES   -0.3791732000E-01    0.2479676101E-01
                  39                  NO    0.7751736000E-01   -0.7598387456E-01
                  40                  NO    0.7179144000E-01   -0.7598387456E-01
                  41                  NO    0.8898732000E-01   -0.1096404537E-01
                  42                  NO    0.8129840000E-02   -0.2264435250E-02
                  43                 YES   -0.1420878900E+00   -0.3805609600E-01
                  44                 YES    0.5920031000E-01    0.6029221019E-01
                  45                  NO   -0.7445123000E-01   -0.1203321856E+00
                  46                  NO    0.8858502000E-01   -0.7170688224E-01
                  47                  NO    0.5244156000E-01   -0.1847098110E-01
                  48                 YES    0.1585080000E-01    0.6567809022E-01
                  49                 YES   -0.4031410500E+00   -0.1469335835E+00
                  50                 YES   -0.9774274000E-01    0.9730135844E-02
                  51                 YES   -0.5845364000E-01    0.1817893500E-01
                  52                 YES    0.3893169000E-01    0.3782838409E-01
                  53                 YES   -0.9247308000E-01    0.4058575920E-03
                  54                 YES   -0.2150625400E+00   -0.2037896640E-01
                  55                 YES   -0.5022958000E-01    0.1335877171E-01
                  56                 YES   -0.3979318200E+00   -0.2815440012E-01
                  57                 YES   -0.2187638800E+00   -0.1382161018E-01
                  58                 YES    0.9448352000E-01    0.6420327168E-01
                  59                 YES   -0.6267960000E-01   -0.1860214608E-01
                  60                  NO   -0.5887630000E-02    0.2794962294E-02
                  61                 YES   -0.3353080000E-01    0.6655759422E-01
                  62                 YES   -0.3515780000E-01    0.6641565590E-01
                  63                 YES    0.9702163000E-01    0.7351077659E-01
                  64                 YES   -0.2453494000E+00    0.2435263776E-02
                  65                 YES   -0.1123640800E+00   -0.6465199680E-03
                  66                 YES   -0.3219957200E+00   -0.2134067380E-01
