               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.2170000000E-01    0.0000000000E+00
                   2                 YES    0.1500000000E-02    0.4991000000E+00
                   3                 YES   -0.1012000000E+00    0.6772000000E+00
                   4                 YES   -0.5200000000E-01    0.4503000000E+00
                   5                 YES   -0.4000000000E-02   -0.3487000000E+00
                   6                 YES    0.7350000000E-01    0.1295000000E+00
                   7                 YES    0.2850000000E-01    0.1787000000E+00
                   8                 YES   -0.1606000000E+00    0.5157000000E+00
                   9                 YES   -0.9340000000E-01    0.5969000000E+00
                  10                 YES   -0.2610000000E+00    0.6351000000E+00
                  11                 YES   -0.1810000000E-01    0.5588000000E+00
                  12                 YES   -0.6190000000E-01    0.6616000000E+00
                  13                 YES   -0.3256000000E+00    0.5295000000E+00
                  14                 YES   -0.8363000000E+00    0.5993000000E+00
                  15                 YES    0.1850000000E-01    0.4778000000E+00
                  16                 YES   -0.3000000000E-02    0.4593000000E+00
                  17                  NO    0.6070000000E-01    0.7117000000E+00
                  18                 YES   -0.7270000000E-01    0.7533000000E+00
                  19                 YES   -0.1191000000E+00    0.6994000000E+00
                  20                 YES   -0.2678000000E+00    0.7987000000E+00
                  21                 YES   -0.3506000000E+00    0.6971000000E+00
                  22                  NO    0.3183000000E+00    0.5960000000E+00
                  23                 YES   -0.2233000000E+00    0.7197000000E+00
                  24                 YES   -0.1270000000E+00    0.7433000000E+00
                  25                 YES   -0.3220000000E+00    0.6603000000E+00
                  26                 YES   -0.8789000000E+00    0.6455000000E+00
                  27                 YES   -0.2464000000E+00    0.6282000000E+00
                  28                 YES    0.6130000000E-01    0.2807000000E+00
                  29                 YES   -0.3449000000E+00    0.6533000000E+00
                  30                  NO    0.3281000000E+00    0.4343000000E+00
                  31                  NO    0.8600000000E-01    0.6422000000E+00
                  32                 YES    0.3890000000E-01   -0.4820000000E-01
                  33                  NO    0.1506000000E+00    0.6369000000E+00
                  34                  NO    0.2547000000E+00    0.5571000000E+00
                  35                  NO    0.1980000000E-01    0.5388000000E+00
                  36                 YES   -0.6652000000E+00    0.4029000000E+00
                  37                 YES   -0.4890000000E-01    0.9755000000E+00
                  38                 YES    0.1147000000E+00    0.9244000000E+00
                  39                  NO    0.6730000000E-01    0.3863000000E+00
                  40                 YES    0.9984000000E+00    0.2628000000E+00
                  41                  NO    0.7390000000E-01    0.5061000000E+00
                  42                  NO    0.4520000000E-01    0.3476000000E+00
                  43                 YES    0.1129000000E+00    0.8219000000E+00
                  44                 YES    0.4149000000E+00    0.8756000000E+00
                  45                  NO    0.3470000000E-01    0.5108000000E+00
                  46                 YES    0.7620000000E-01    0.7381000000E+00
                  47                 YES    0.8050000000E-01    0.8598000000E+00
                  48                  NO    0.1790000000E-01    0.5755000000E+00
                  49                 YES    0.1017000000E+00    0.1587600000E+01
                  50                 YES    0.2780000000E-01    0.1000000000E+01
                  51                 YES   -0.4600000000E-02    0.8845000000E+00
                  52                 YES    0.2242000000E+00    0.7820000000E+00
                  53                 YES    0.3241000000E+00    0.3177000000E+00
                  54                  NO    0.1981000000E+00    0.4279000000E+00
                  55                 YES    0.3548000000E+00    0.6875000000E+00
                  56                 YES    0.3322000000E+00    0.4358000000E+00
                  57                  NO    0.4200000000E-01    0.4643000000E+00
                  58                 YES    0.1549000000E+00    0.1471000000E+01
                  59                 YES    0.1207000000E+00    0.7061000000E+00
                  60                  NO    0.3880000000E-01    0.6759000000E+00
                  61                  NO    0.2068000000E+00    0.5023000000E+00
                  62                  NO    0.1930000000E-01    0.7096000000E+00
                  63                 YES    0.3336000000E+00    0.4834000000E+00
                  64                 YES    0.3303000000E+00    0.6720000000E+00
                  65                 YES    0.3623000000E+00    0.3853000000E+00
                  66                  NO    0.2265000000E+00    0.3520000000E+00
