               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.2480000000E-01    0.2000000000E+01
                   2                 YES    0.1010000000E-01    0.1556600000E+01
                   3                 YES   -0.5314392000E-01    0.8336000000E+00
                   4                 YES   -0.1099780000E-01    0.1916800000E+01
                   5                 YES   -0.5198960000E-01    0.1801800000E+01
                   6                 YES   -0.4239576000E-01    0.1647900000E+01
                   7                 YES   -0.1163462300E+00    0.1070700000E+01
                   8                  NO    0.3494520000E-02    0.1005700000E+01
                   9                  NO   -0.2208960000E-02    0.8254000000E+00
                  10                 YES   -0.6356280000E-01    0.8428000000E+00
                  11                  NO   -0.5507600000E-02    0.8808000000E+00
                  12                  NO    0.2354220000E-02    0.1021100000E+01
                  13                 YES   -0.3150680000E-01    0.6494000000E+00
                  14                 YES   -0.6733756000E-01    0.8220000000E+00
                  15                 YES   -0.4919992000E-01    0.9524000000E+00
                  16                 YES   -0.4954300000E-01    0.1028100000E+01
                  17                 YES   -0.2417415000E-01    0.9895000000E+00
                  18                 YES   -0.2268750000E-01    0.1101800000E+01
                  19                 YES   -0.2625106000E-01    0.6728000000E+00
                  20                 YES   -0.4136697000E-01    0.6165000000E+00
                  21                 YES   -0.5880861000E-01    0.5511000000E+00
                  22                 YES   -0.5657934000E-01    0.7852000000E+00
                  23                 YES   -0.1322472900E+00    0.9645000000E+00
                  24                 YES   -0.2714467200E+00    0.1072000000E+01
                  25                 YES   -0.4598502000E-01    0.6054000000E+00
                  26                  NO   -0.1003920000E-01    0.9666000000E+00
                  27                 YES   -0.2221443000E-01    0.1251800000E+01
                  28                  NO   -0.9985280000E-02    0.1028600000E+01
                  29                 YES   -0.2621284000E-01    0.1126600000E+01
                  30                  NO    0.0000000000E+00    0.8688000000E+00
                  31                 YES    0.7962400000E-02    0.1783900000E+01
                  32                 YES   -0.1779276000E-01    0.1478300000E+01
                  33                 YES   -0.5699733000E-01    0.1040400000E+01
                  34                 YES   -0.2261056000E-01    0.8533000000E+00
                  35                 YES   -0.1845261600E+00    0.9359000000E+00
                  36                 YES   -0.7571972000E-01    0.1063400000E+01
                  37                 YES   -0.8779680000E-02    0.2586000000E+00
                  38                  NO   -0.1878140000E-02    0.1237400000E+01
                  39                 YES    0.1471800000E-02    0.7286000000E+00
                  40                 YES    0.6492300000E-03    0.7220000000E+00
                  41                 YES   -0.6989000000E-03    0.1275000000E+00
                  42                 YES    0.9817500000E-03    0.5087000000E+00
                  43                  NO   -0.1508325000E-01    0.9199000000E+00
                  44                 YES    0.3753766600E+00    0.9761000000E+00
                  45                 YES   -0.9005150000E-02    0.6321000000E+00
                  46                 YES    0.1534280000E-01    0.1327300000E+01
                  47                 YES   -0.8962240000E-02    0.5950000000E+00
                  48                 YES   -0.7303600000E-02    0.3945000000E+00
                  49                 YES    0.1179620400E+00    0.8140000000E+00
                  50                  NO   -0.1764081000E-01    0.1133500000E+01
                  51                 YES    0.2536046000E-01    0.1222800000E+01
                  52                 YES   -0.1738790000E-01    0.5380000000E+00
                  53                 YES    0.3789500000E-01    0.5443000000E+00
                  54                 YES    0.9217680000E-01    0.7092000000E+00
                  55                 YES    0.2388304600E+00    0.1415100000E+01
                  56                 YES   -0.1206400000E-02    0.5477000000E+00
                  57                 YES    0.4451136000E-01    0.9693000000E+00
                  58                 YES   -0.2390400000E-02    0.6801000000E+00
                  59                 YES    0.3481632000E-01    0.1147600000E+01
                  60                 YES   -0.4564120000E-02    0.5434000000E+00
                  61                 YES    0.1199602300E+00    0.8943000000E+00
                  62                 YES    0.1687045000E+00    0.1263400000E+01
                  63                 YES    0.1268469900E+00    0.4986000000E+00
                  64                 YES    0.2800432000E-01    0.4561000000E+00
                  65                 YES    0.1641864000E-01    0.5117000000E+00
                  66                 YES   -0.1265310000E-02    0.4302000000E+00
