               index         classified?        descriptor_1
                   1                  NO    0.2480000000E-01
                   2                  NO    0.1010000000E-01
                   3                 YES   -0.5314392000E-01
                   4                  NO   -0.1099780000E-01
                   5                 YES   -0.5198960000E-01
                   6                 YES   -0.4239576000E-01
                   7                 YES   -0.1163462300E+00
                   8                  NO    0.3494520000E-02
                   9                  NO   -0.2208960000E-02
                  10                 YES   -0.6356280000E-01
                  11                  NO   -0.5507600000E-02
                  12                  NO    0.2354220000E-02
                  13                 YES   -0.3150680000E-01
                  14                 YES   -0.6733756000E-01
                  15                 YES   -0.4919992000E-01
                  16                 YES   -0.4954300000E-01
                  17                 YES   -0.2417415000E-01
                  18                 YES   -0.2268750000E-01
                  19                 YES   -0.2625106000E-01
                  20                 YES   -0.4136697000E-01
                  21                 YES   -0.5880861000E-01
                  22                 YES   -0.5657934000E-01
                  23                 YES   -0.1322472900E+00
                  24                 YES   -0.2714467200E+00
                  25                 YES   -0.4598502000E-01
                  26                  NO   -0.1003920000E-01
                  27                 YES   -0.2221443000E-01
                  28                  NO   -0.9985280000E-02
                  29                 YES   -0.2621284000E-01
                  30                  NO    0.0000000000E+00
                  31                  NO    0.7962400000E-02
                  32                  NO   -0.1779276000E-01
                  33                 YES   -0.5699733000E-01
                  34                 YES   -0.2261056000E-01
                  35                 YES   -0.1845261600E+00
                  36                 YES   -0.7571972000E-01
                  37                  NO   -0.8779680000E-02
                  38                  NO   -0.1878140000E-02
                  39                  NO    0.1471800000E-02
                  40                  NO    0.6492300000E-03
                  41                  NO   -0.6989000000E-03
                  42                  NO    0.9817500000E-03
                  43                  NO   -0.1508325000E-01
                  44                 YES    0.3753766600E+00
                  45                  NO   -0.9005150000E-02
                  46                  NO    0.1534280000E-01
                  47                  NO   -0.8962240000E-02
                  48                  NO   -0.7303600000E-02
                  49                 YES    0.1179620400E+00
                  50                  NO   -0.1764081000E-01
                  51                  NO    0.2536046000E-01
                  52                  NO   -0.1738790000E-01
                  53                 YES    0.3789500000E-01
                  54                 YES    0.9217680000E-01
                  55                 YES    0.2388304600E+00
                  56                  NO   -0.1206400000E-02
                  57                 YES    0.4451136000E-01
                  58                  NO   -0.2390400000E-02
                  59                 YES    0.3481632000E-01
                  60                  NO   -0.4564120000E-02
                  61                 YES    0.1199602300E+00
                  62                 YES    0.1687045000E+00
                  63                 YES    0.1268469900E+00
                  64                 YES    0.2800432000E-01
                  65                  NO    0.1641864000E-01
                  66                  NO   -0.1265310000E-02
