               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.0000000000E+00    0.0000000000E+00
                   2                 YES    0.0000000000E+00    0.0000000000E+00
                   3                 YES    0.1540729000E-01    0.0000000000E+00
                   4                 YES    0.2435832000E-01    0.0000000000E+00
                   5                  NO    0.4063028000E-01    0.0000000000E+00
                   6                 YES    0.2067818000E-01    0.0000000000E+00
                   7                  NO    0.6195906000E-01   -0.1780282051E+00
                   8                  NO    0.5952320000E-01   -0.1980890800E-01
                   9                 YES    0.1681748000E-01    0.3139784317E-01
                  10                 YES    0.7028480000E-02    0.2536109911E-01
                  11                 YES    0.1653560000E-02    0.3543737600E-01
                  12                 YES   -0.4561596000E-01    0.4629672288E-01
                  13                 YES   -0.1449252000E+00   -0.8956314325E-01
                  14                 YES   -0.6033459900E+00   -0.8710059439E-01
                  15                  NO    0.6676444000E-01   -0.1325398445E+00
                  16                 YES    0.5269900000E-01   -0.1562022669E+00
                  17                  NO    0.9409905000E-01   -0.2507734542E+00
                  18                  NO    0.1001851500E+00   -0.2173381791E+00
                  19                 YES    0.4309200000E-01   -0.9876402000E-01
                  20                  NO    0.5193382000E-01   -0.4433640700E-01
                  21                 YES    0.1668924000E-01    0.3578047776E-02
                  22                 YES    0.7511240000E-02    0.3205927920E-01
                  23                 YES    0.0000000000E+00    0.6144861251E-01
                  24                 YES    0.1227440000E-01    0.0000000000E+00
                  25                 YES   -0.2310844000E-01    0.3261311088E-02
                  26                 YES   -0.1319914200E+00    0.1248105600E-01
                  27                 YES   -0.7401108000E+00   -0.4146953400E-01
                  28                 YES    0.2078680000E-01    0.1219994865E-02
                  29                 YES   -0.2259549000E+00   -0.2862428992E-01
                  30                  NO    0.2951360000E-01    0.4258137600E-01
                  31                  NO    0.7487805000E-01   -0.9931981900E-01
                  32                 YES    0.7597728000E-01   -0.4556856480E+00
                  33                  NO    0.2932512000E-01    0.3308207760E-01
                  34                 YES   -0.7620288000E-01    0.2655372031E-01
                  35                 YES   -0.7343325000E-01    0.1843871568E-01
                  36                 YES    0.1297168000E-01    0.3791311867E-01
                  37                 YES    0.1132920000E+00    0.0000000000E+00
                  38                  NO    0.8099507000E-01   -0.2018956838E+00
                  39                  NO    0.6089842000E-01   -0.1720627200E+00
                  40                 YES    0.9451000000E+00   -0.3489243462E+00
                  41                 YES    0.9620676000E-01   -0.3775036493E+00
                  42                 YES    0.3695316000E-01    0.6029066611E-01
                  43                 YES    0.5976231000E-01   -0.1699085388E-01
                  44                 YES    0.5387070000E-01    0.4657611000E-02
                  45                  NO    0.3367056000E-01   -0.1539381672E-02
                  46                 YES    0.9701928000E-01   -0.1907357954E+00
                  47                 YES    0.1025520100E+00   -0.1619285861E+00
                  48                 YES    0.4452717000E-01    0.6171983647E-01
                  49                 YES    0.2114566000E-01    0.4974054504E-01
                  50                 YES    0.5458320000E-01    0.8861299333E-01
                  51                 YES    0.9596460000E-01   -0.1210805380E+00
                  52                 YES    0.6301217000E-01    0.4311019944E-01
                  53                 YES    0.7601940000E-01    0.9657121320E-01
                  54                 YES    0.2756816000E-01    0.5426527928E-01
                  55                 YES    0.2757308000E-01    0.5045840152E-01
                  56                  NO    0.3393369000E-01    0.1887823444E-01
                  57                 YES    0.2796296000E-01    0.4615098349E-01
                  58                  NO    0.4226090000E-01    0.3820887889E-02
                  59                 YES    0.5970598000E-01   -0.2672454400E-02
                  60                 YES    0.4070150000E-01    0.5159180208E-01
                  61                 YES    0.4331150000E-01    0.3469853000E-01
                  62                  NO    0.3712356000E-01    0.2164098711E-01
                  63                 YES    0.4559350000E-01    0.2775463268E-01
                  64                 YES    0.4343500000E-01    0.7257647800E-01
                  65                 YES    0.3990525000E-01    0.4400437832E-01
                  66                 YES    0.1955020000E-01    0.5421714936E-01
