Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1646	0.0000	0.0000	0.0000	0.1001	0.0000	0.4457	0.9735	0.6110	0.9402	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7595	0.0977	0.0000	0.7326	0.3281	0.0000	0.6428	0.2032	0.3961	0.3873	0.4762
sample3_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0316	0.0252	0.0141	0.4535	0.1567	0.0000	0.0000	1.0000	1.0000	0.9816	0.9998
sample4_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3291	0.0000	0.0131	0.3605	0.3910	0.0000	0.3918	0.9791	0.8759	1.0000	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1076	0.0836	0.3083	0.7326	0.0071	0.3807	0.0912	0.7492	0.7993	0.7774	0.0944
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5127	0.1398	0.2167	0.7326	0.2208	0.3807	0.4641	0.1865	0.6156	0.4739	0.2820
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3481	0.8692	0.9796	0.0000	0.1496	0.1777	0.5807	0.9397	0.3544	0.9288	0.5620
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3228	0.0336	1.0000	0.7326	0.1567	0.2030	0.5145	0.7307	0.4927	0.7373	0.5742
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4747	0.0709	0.2888	0.7326	0.2137	0.2335	0.5540	0.2815	0.3015	0.4291	0.3796
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3228	0.0268	0.3357	0.7326	0.2066	0.3807	0.5119	0.1086	0.9071	0.1384	0.4244
