               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.0000000000E+00    0.0000000000E+00
                   2                 YES   -0.1807244000E-01    0.4704017500E+00
                   3                 YES   -0.3758303736E-01    0.2773076600E+00
                   4                 YES   -0.6804084524E-01    0.8932086000E+00
                   5                 YES   -0.1220293702E+00    0.6688851000E+00
                   6                 YES   -0.2595921312E-02    0.1253819000E+00
                   7                  NO   -0.5222683776E-02    0.6609658900E+00
                   8                 YES   -0.2129588286E-01    0.5649858000E+00
                   9                  NO   -0.2008606723E-01    0.9153635000E+00
                  10                 YES   -0.4312983147E-01    0.2218409400E+00
                  11                 YES   -0.2185914640E-02    0.1357261400E+00
                  12                 YES   -0.4701890214E-01    0.9178678400E+00
                  13                 YES   -0.5843811778E-01    0.8669304000E+00
                  14                 YES   -0.6092040802E-01    0.8829162000E+00
                  15                 YES   -0.3768757493E-01    0.9850937600E+00
                  16                 YES   -0.2143528867E-01    0.7098724400E+00
                  17                 YES   -0.3326084850E-01    0.7201123200E+00
                  18                 YES   -0.2718277584E-01    0.7685002000E+00
                  19                  NO   -0.1322933194E-01    0.8784534600E+00
                  20                  NO   -0.9169313980E-02    0.8112043800E+00
                  21                 YES   -0.4568591840E-01    0.9323496000E+00
                  22                 YES   -0.3837003870E-01    0.2405672100E+00
                  23                 YES   -0.3400908240E-01    0.1747040000E+00
                  24                 YES   -0.6818530947E-01    0.7089919000E-01
                  25                 YES   -0.1478932464E+00    0.0000000000E+00
                  26                 YES   -0.2788711180E-01    0.2440254300E+00
                  27                 YES   -0.2884487760E-01    0.7666521600E+00
                  28                 YES   -0.4000942257E-01    0.1227335860E+01
                  29                 YES   -0.4564273024E-01    0.1107611280E+01
                  30                  NO    0.0000000000E+00    0.5003667200E+00
                  31                 YES   -0.3083112234E-01    0.8207371400E+00
                  32                 YES    0.0000000000E+00    0.2046033000E+00
                  33                  NO    0.8647383360E-02    0.4845695200E+00
                  34                 YES   -0.5410046783E-01    0.6120975900E+00
                  35                 YES   -0.1659365588E+00    0.5342488000E+00
                  36                 YES   -0.8517715315E-01    0.8130349500E+00
                  37                 YES   -0.2371653292E-01    0.1087924830E+01
                  38                  NO   -0.2280634380E-02    0.3651693900E+00
                  39                  NO   -0.2463516903E-02    0.2490292800E+00
                  40                  NO   -0.1505866180E-02    0.4463295900E+00
                  41                  NO   -0.2541659175E-02    0.3748294000E+00
                  42                  NO   -0.2747740580E-01    0.9789170700E+00
                  43                 YES   -0.2056398462E-02    0.7111837500E+00
                  44                 YES    0.6623837792E-02    0.6318617800E+00
                  45                 YES   -0.1544422520E-01    0.1173822100E+01
                  46                 YES   -0.1214744000E-01    0.9218567600E+00
                  47                  NO   -0.1556523206E-01    0.7542165600E+00
                  48                 YES   -0.3414438720E-01    0.1296321400E+01
                  49                 YES   -0.2724849820E-02    0.8181176300E+00
                  50                 YES   -0.2262246567E-01    0.3086453640E+01
                  51                 YES   -0.1191289037E-01    0.1923702160E+01
                  52                 YES    0.9976967616E-02    0.1391463020E+01
                  53                  NO    0.2914513400E-03    0.4499485200E+00
                  54                 YES    0.1693198664E-01    0.6419838400E+00
                  55                 YES    0.2320142950E-01    0.5862172800E+00
                  56                 YES   -0.4050035392E-02    0.8263953000E+00
                  57                  NO    0.4797798480E-02    0.4935321600E+00
                  58                 YES   -0.4822634490E-02    0.1194575940E+01
                  59                 YES    0.6421789440E-02    0.8320763400E+00
                  60                 YES   -0.1784310275E-01    0.9634140000E+00
                  61                 YES    0.3325963212E-01    0.8738879100E+00
                  62                 YES    0.2475412686E-01    0.5299328000E+00
                  63                 YES    0.1665835214E-01    0.6382116000E+00
                  64                 YES    0.1337069916E-01    0.6116176000E+00
                  65                 YES    0.6801788864E-02    0.8502971400E+00
                  66                  NO    0.3654809448E-02    0.5505429600E+00
