               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.1000000000E+01    0.0000000000E+00
                   2                 YES    0.1000000000E+01    0.2030656800E-03
                   3                 YES    0.4727000000E+00   -0.5650979724E-01
                   4                 YES    0.9998000000E+00   -0.1633653424E-01
                   5                 YES    0.9999000000E+00   -0.1565587788E-01
                   6                  NO    0.2232000000E+00    0.4630853600E-03
                   7                  NO    0.8820000000E-01   -0.7667931992E-02
                   8                 YES    0.2771000000E+00   -0.9462224500E-01
                   9                  NO    0.5591000000E+00   -0.2641175760E-02
                  10                  NO    0.5713000000E+00   -0.5816350148E-02
                  11                 YES    0.3754000000E+00   -0.2378511952E-01
                  12                 YES    0.2713000000E+00   -0.1149036558E+00
                  13                 YES    0.4205000000E+00   -0.1439647827E-01
                  14                 YES    0.3759000000E+00   -0.3344441100E-01
                  15                 YES    0.5324000000E+00   -0.2804753600E-01
                  16                 YES    0.6463000000E+00   -0.8042466432E-02
                  17                  NO    0.4386000000E+00   -0.7983187148E-02
                  18                 YES    0.4085000000E+00   -0.1563865547E-01
                  19                 YES    0.3586000000E+00   -0.1324980384E-01
                  20                 YES    0.1965000000E+00   -0.1636466860E-01
                  21                 YES    0.1868000000E+00   -0.2140109678E-01
                  22                 YES    0.1638300000E+01    0.2037511630E-03
                  23                 YES    0.4879000000E+00   -0.1156449293E-01
                  24                 YES    0.4767000000E+00   -0.5243211561E-01
                  25                 YES    0.5543000000E+00   -0.1065409916E+00
                  26                 YES    0.7520000000E+00   -0.1128193807E+00
                  27                  NO    0.2541000000E+00    0.7726656528E-02
                  28                  NO    0.3798000000E+00    0.0000000000E+00
                  29                 YES    0.7325000000E+00   -0.5511095486E-01
                  30                 YES    0.1426500000E+01   -0.3547972890E-03
                  31                  NO    0.4747000000E+00   -0.2753042880E-03
                  32                 YES    0.7094000000E+00    0.9716705946E-02
                  33                 YES    0.3607000000E+00   -0.4552705000E-01
                  34                 YES    0.5457000000E+00   -0.9802326976E-02
                  35                 YES    0.4964000000E+00   -0.1218619205E+00
                  36                 YES    0.5703000000E+00   -0.3085948800E-01
                  37                  NO    0.2361000000E+00   -0.1137269256E-02
                  38                 YES    0.1079000000E+00   -0.9007168000E-04
                  39                 YES    0.1279000000E+00    0.3065969340E-03
                  40                 YES    0.1079000000E+00   -0.1519470080E-03
                  41                 YES    0.2240000000E-01   -0.1502583012E-02
                  42                 YES    0.7630000000E-01   -0.1125493704E-01
                  43                 YES   -0.5814000000E+00   -0.1346341954E-01
                  44                 YES    0.2000000000E+00    0.1836227686E+00
                  45                 YES   -0.1046000000E+00   -0.9919541280E-02
                  46                  NO    0.6315000000E+00   -0.3957514090E-02
                  47                  NO    0.2897000000E+00   -0.2881497864E-02
                  48                 YES    0.5284000000E+00    0.1873388187E-01
                  49                  NO    0.5680000000E+00   -0.8369176088E-02
                  50                  NO    0.4139000000E+00   -0.2050865454E-02
                  51                 YES   -0.7852000000E+00   -0.3136948000E-01
                  52                 YES   -0.1053000000E+00    0.2456785855E-01
                  53                 YES    0.0000000000E+00    0.5773499721E-01
                  54                 YES    0.3939000000E+00    0.1844851882E-01
                  55                 YES    0.7700000000E-01   -0.7303275552E-02
                  56                 YES    0.1104000000E+00    0.7183496026E-01
                  57                 YES    0.7680000000E-01   -0.9527774256E-02
                  58                  NO    0.5238000000E+00    0.9604494360E-03
                  59                  NO    0.3730000000E+00   -0.4803216600E-02
                  60                 YES    0.5573000000E+00    0.1733487860E-01
                  61                 YES   -0.1764000000E+00   -0.9911287680E-02
                  62                 YES    0.5296000000E+00    0.2417297825E-01
                  63                 YES    0.4233000000E+00    0.8510526555E-01
                  64                 YES    0.4000000000E+00    0.1025119656E-01
                  65                 YES    0.6610000000E-01    0.3497431018E-01
                  66                 YES    0.7650000000E-01   -0.5565830274E-02
