Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2979	0.0000	0.0000	0.0000	0.3515	0.0000	0.5243	0.9425	0.5608	0.9410	1.0000
sample3	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9645	0.4218	0.0000	0.7326	0.7526	0.0000	0.7114	0.1967	0.3635	0.3956	0.4762
sample4	4.6600	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4823	0.0000	0.0131	0.3605	0.8634	0.0000	0.4731	0.9480	0.8039	1.0000	0.9998
sample5	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2340	0.3605	0.3083	0.7326	0.1878	0.7538	0.1878	0.7253	0.7336	0.7804	0.0944
sample6	23.0900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6879	0.6032	0.2167	0.7326	0.5638	0.7538	0.5418	0.1806	0.5650	0.4810	0.2820
sample7	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	0.1451	1.0000	0.7326	0.4510	0.4020	0.5896	0.7075	0.4522	0.7409	0.5742
sample8	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6454	0.3061	0.2888	0.7326	0.5513	0.4623	0.6272	0.2725	0.2768	0.4368	0.3796
sample9	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8085	0.2494	0.9532	0.7326	0.6515	0.4020	0.6673	0.1622	0.5501	0.4810	0.2762
sample10	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	0.1156	0.3357	0.7326	0.5387	0.7538	0.5871	0.1051	0.8326	0.1500	0.4244
sample11	14.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6738	0.4195	0.2697	1.0000	0.5387	0.4372	0.6951	0.5524	0.3850	0.7115	0.3801
sample12	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4468	0.5805	0.3291	0.6395	0.5463	0.7789	0.5563	0.7416	0.5008	0.8684	0.4564
sample13	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6099	0.5374	0.3081	0.6395	0.7393	0.8995	0.5876	0.7365	0.4973	0.8506	0.5356
sample14	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7447	1.0000	0.2549	0.6395	0.9348	0.7789	0.6296	0.7952	0.4939	0.8632	0.5005
sample15	6.1400	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3688	0.3447	0.2325	0.3605	0.4786	0.5126	0.5030	0.8432	0.6468	0.8848	0.6486
sample16	5.9800	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4184	0.2336	0.2190	0.3605	0.6064	0.5930	0.5020	0.8468	0.6613	0.8824	0.4424
sample17	6.9700	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4397	0.2608	0.1691	0.3605	0.7343	0.5126	0.4825	0.8784	0.6923	0.9418	0.4125
sample18	4.3900	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.5390	0.3311	0.4680	0.3605	0.5663	0.8643	0.6182	0.8098	0.4610	0.8756	0.3630
sample19	3.6000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.7660	0.5011	0.4911	0.3605	0.7844	1.0000	0.7477	0.8193	0.4759	0.8747	0.2019
sample20	7.3500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9929	0.5374	0.2705	0.3605	1.0000	0.8643	0.8452	0.8137	0.4297	0.8756	0.1923
sample21	4.0600	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3688	0.2177	0.2178	0.4070	0.4635	0.4523	0.5614	0.8617	0.6197	0.8606	0.6407
sample22	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4752	0.2766	0.2146	0.6395	0.4385	0.3518	0.5241	0.8190	0.5910	0.8863	0.5900
sample23	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.5941	0.0180	0.7326	0.7393	0.0503	0.7914	0.1619	0.0688	0.3723	0.4913
sample24	23.0500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.2585	0.2489	0.7326	0.9674	0.8643	0.8391	0.0463	0.4129	0.3740	0.5573
sample25	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.3900	0.2464	0.7326	0.8396	0.3518	0.7324	0.0000	0.3249	0.4410	0.7536
sample26	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.2313	0.1566	1.0000	0.6591	0.3769	0.6261	0.2647	0.0466	0.0000	0.2591
sample27	24.9200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9787	0.2494	0.0087	1.0000	0.7468	0.0251	0.7561	0.1419	0.3788	0.4230	0.2326
sample28	26.3800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.3764	0.0059	1.0000	0.7393	0.0302	0.7809	0.3782	0.0000	0.5924	0.3840
sample29	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9504	0.3605	0.2027	0.7326	0.8471	0.3769	0.6937	0.5504	0.4083	0.6227	0.5640
sample30	12.6200	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9362	0.2857	0.0227	0.7326	0.7769	0.0553	0.6600	0.3458	0.2324	0.6584	0.7343
sample31	1.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4894	0.3175	0.3589	0.7326	0.4510	0.8141	0.4563	0.4288	0.8701	0.1743	0.0000
sample32	7.9800	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3688	0.3855	0.2511	0.4070	0.5513	0.4724	0.6748	0.8460	0.3597	0.8493	0.4304
sample33	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.7092	0.3832	0.2721	0.0000	0.7042	0.9950	1.0000	0.8623	0.0096	0.9122	0.4783
sample34	38.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8014	0.0635	0.2540	0.7326	0.7393	0.6181	0.6692	0.1494	0.1101	0.0135	0.7114
sample35	15.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6170	0.6417	0.3252	0.7326	0.6465	0.7487	0.6086	0.4400	0.5218	0.6145	0.3650
sample36	15.4600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4823	0.4331	0.2256	1.0000	0.4510	0.3719	0.5661	0.6464	0.3112	0.7270	0.5488
