Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9783	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3000	0.0000	0.0000	0.0000	0.1777	0.0000	0.5243	0.9425	0.5566	0.9410	1.0000
sample3	1.5600	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1500	0.1088	0.0141	0.4535	0.2280	0.0000	0.1011	0.9682	0.9170	0.9819	0.9998
sample4	4.6600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4857	0.0000	0.0131	0.3605	0.4366	0.0000	0.4731	0.9480	0.8020	1.0000	0.9998
sample5	6.6500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.6071	0.1950	0.0046	0.3372	1.0000	0.0000	0.6843	0.9036	0.6480	0.9528	0.9999
sample6	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0786	0.2766	0.3947	0.0000	0.1330	0.2160	0.1360	0.9682	0.7773	0.9588	0.2284
sample7	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2357	0.3605	0.3083	0.7326	0.0949	0.4630	0.1878	0.7253	0.7310	0.7804	0.0944
sample8	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4786	0.1451	1.0000	0.7326	0.2280	0.2469	0.5896	0.7075	0.4469	0.7409	0.5742
sample9	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6500	0.3061	0.2888	0.7326	0.2787	0.2840	0.6272	0.2725	0.2698	0.4368	0.3796
sample10	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8143	0.2494	0.9532	0.7326	0.3294	0.2469	0.6673	0.1622	0.5458	0.4810	0.2762
sample11	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4786	0.1156	0.3357	0.7326	0.2724	0.4630	0.5871	0.1051	0.8310	0.1500	0.4244
sample12	14.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6786	0.4195	0.2697	1.0000	0.2724	0.2685	0.6951	0.5524	0.3790	0.7115	0.3801
sample13	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4500	0.5805	0.3291	0.6395	0.2762	0.4784	0.5563	0.7416	0.4960	0.8684	0.4564
sample14	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6143	0.5374	0.3081	0.6395	0.3738	0.5525	0.5876	0.7365	0.4925	0.8506	0.5356
sample15	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	1.0000	0.2549	0.6395	0.4727	0.4784	0.6296	0.7952	0.4890	0.8632	0.5005
sample16	6.1400	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.3714	0.3447	0.2325	0.3605	0.2420	0.3148	0.5030	0.8432	0.6434	0.8848	0.6486
sample17	6.9700	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.4429	0.2608	0.1691	0.3605	0.3713	0.3148	0.4825	0.8784	0.6893	0.9418	0.4125
sample18	4.3900	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.5429	0.3311	0.4680	0.3605	0.2863	0.5309	0.6182	0.8098	0.4558	0.8756	0.3630
sample19	7.3500	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.5374	0.2705	0.3605	0.5056	0.5309	0.8452	0.8137	0.4242	0.8756	0.1923
sample20	19.2500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.4082	0.1450	0.7326	0.4372	0.2778	0.7348	0.1220	0.3049	0.3357	0.4803
sample21	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.3900	0.2464	0.7326	0.4245	0.2160	0.7324	0.0000	0.3184	0.4410	0.7536
sample22	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7786	0.2313	0.1566	1.0000	0.3332	0.2315	0.6261	0.2647	0.0374	0.0000	0.2591
sample23	24.9200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9857	0.2494	0.0087	1.0000	0.3776	0.0154	0.7561	0.1419	0.3728	0.4230	0.2326
