Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22
sample1	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2385	0.0000	0.0000	0.0000	0.1696	0.0000	0.4708	0.9735	0.6110	0.9402	1.0000
sample2	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9615	0.0000	0.0000	0.7326	0.5852	0.0000	0.6790	0.2032	0.3961	0.3873	0.4762
sample3	1.5600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0769	0.0141	0.0000	0.4535	0.2727	0.0000	0.0000	1.0000	1.0000	0.9816	0.9998
sample4	4.6600	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4385	0.0131	0.0000	0.3605	0.7000	0.0000	0.4138	0.9791	0.8759	1.0000	0.9998
sample5	13.1600	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9000	0.0022	0.0000	0.4535	0.6369	0.0000	0.5578	0.6727	0.5864	0.8831	0.5369
sample6	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3947	0.0000	0.0000	0.0779	0.3043	0.0388	1.0000	0.8492	0.9583	0.2284
sample7	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1692	0.3083	0.6344	0.7326	0.0000	0.6522	0.0964	0.7492	0.7993	0.7774	0.0944
sample8	23.0900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6615	0.2167	0.6344	0.7326	0.3896	0.6522	0.4902	0.1865	0.6156	0.4739	0.2820
sample9	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4615	0.9796	0.0000	0.0000	0.2597	0.3043	0.6134	0.9397	0.3544	0.9288	0.5620
sample10	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4308	1.0000	0.6344	0.7326	0.2727	0.3478	0.5435	0.7307	0.4927	0.7373	0.5742
sample11	14.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6462	0.2697	1.0000	1.0000	0.3636	0.3783	0.6608	0.5706	0.4194	0.7075	0.3801
sample12	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.3291	0.5539	0.6395	0.3714	0.6739	0.5064	0.7659	0.5456	0.8666	0.4564
sample13	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5769	0.3081	0.6395	0.6395	0.5714	0.7783	0.5412	0.7607	0.5419	0.8485	0.5356
sample14	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7231	0.2549	0.5539	0.6395	0.7740	0.6739	0.5879	0.8214	0.5381	0.8614	0.5005
sample15	6.1400	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3154	0.2325	0.3122	0.3605	0.3013	0.4435	0.4471	0.8709	0.7047	0.8832	0.6486
sample16	5.9800	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3692	0.2190	0.3605	0.3605	0.4338	0.5130	0.4459	0.8746	0.7205	0.8808	0.4424
sample17	6.9700	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3923	0.1691	0.3122	0.3605	0.5662	0.4435	0.4243	0.9073	0.7543	0.9410	0.4125
sample18	4.3900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.5000	0.4680	0.3122	0.3605	0.3922	0.7478	0.5753	0.8364	0.5023	0.8739	0.3630
sample19	3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.7462	0.4911	0.3605	0.3605	0.6182	0.8652	0.7193	0.8462	0.5185	0.8730	0.2019
sample20	7.3500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9923	0.2705	0.3122	0.3605	0.8416	0.7478	0.8278	0.8405	0.4681	0.8739	0.1923
sample21	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3154	0.2178	0.3525	0.4070	0.2857	0.3913	0.5121	0.8900	0.6751	0.8587	0.6407
sample22	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4308	0.2146	0.5539	0.6395	0.2597	0.3043	0.4706	0.8459	0.6439	0.8847	0.5900
sample23	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9846	0.0180	0.6344	0.7326	0.5714	0.0435	0.7679	0.1672	0.0750	0.3637	0.4913
sample24	19.2500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9692	0.1450	0.0000	0.7326	0.7013	0.3913	0.7050	0.1261	0.3394	0.3266	0.4803
sample25	23.0500	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9692	0.2489	0.0000	0.7326	0.8078	0.7478	0.8210	0.0478	0.4498	0.3654	0.5573
sample26	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9692	0.2464	0.0000	0.7326	0.6753	0.3043	0.7023	0.0000	0.3540	0.4333	0.7536
sample27	24.9200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9769	0.0087	0.2316	1.0000	0.5792	0.0217	0.7287	0.1465	0.4127	0.4151	0.2326
sample28	26.3800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0059	0.2674	1.0000	0.5714	0.0261	0.7563	0.3906	0.0000	0.5868	0.3840
sample29	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9462	0.2027	0.0806	0.7326	0.6831	0.3261	0.6593	0.5685	0.4448	0.6175	0.5640
sample30	12.6200	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9308	0.0227	0.2791	0.7326	0.6104	0.0478	0.6217	0.3572	0.2532	0.6537	0.7343
sample31	1.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4462	0.3589	0.6344	0.7326	0.2727	0.7043	0.3951	0.4429	0.9479	0.1630	0.0000
sample32	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.6846	0.2721	0.0000	0.0000	0.5351	0.8609	1.0000	0.8906	0.0104	0.9110	0.4783
sample33	38.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7846	0.2540	0.6344	0.7326	0.5714	0.5348	0.6320	0.1543	0.1200	0.0000	0.7114
