               index         classified?        descriptor_1        descriptor_2
                   1                  NO   -0.2200000000E-01    0.0000000000E+00
                   2                 YES   -0.2300000000E-02    0.5750000000E-01
                   3                 YES    0.9076372000E-01    0.2795000000E+00
                   4                 YES    0.1339732000E-01    0.3160000000E-01
                   5                 YES    0.5198960000E-01    0.5180000000E-01
                   6                 YES    0.4849515000E-01    0.9630000000E-01
                   7                  NO    0.4918240000E-02   -0.6309000000E+00
                   8                  NO    0.1067800000E-01   -0.3478000000E+00
                   9                 YES    0.5944536000E-01    0.1071000000E+00
                  10                 YES    0.8609154000E-01    0.1140000000E+00
                  11                 YES    0.1413252000E-01    0.3193000000E+00
                  12                 YES    0.5895351000E-01   -0.1723000000E+00
                  13                 YES    0.5705000000E-01   -0.2852000000E+00
                  14                 YES    0.5998720000E-01   -0.2009000000E+00
                  15                 YES    0.3313310000E-01   -0.2947000000E+00
                  16                 YES    0.2594400000E-01   -0.1946000000E+00
                  17                  NO    0.2326830000E-01   -0.4468000000E+00
                  18                  NO    0.1084203000E-01   -0.6174000000E+00
                  19                 YES    0.9914434000E-01    0.3294000000E+00
                  20                 YES    0.9826938000E-01    0.3583000000E+00
                  21                 YES    0.1778344300E+00    0.5110000000E+00
                  22                 YES    0.3265348800E+00    0.7536000000E+00
                  23                 YES    0.6354632000E-01    0.9070000000E-01
                  24                 YES    0.8010240000E-01    0.5800000000E-02
                  25                 YES    0.3784440000E-01    0.1360000000E-01
                  26                 YES    0.2801820000E-01   -0.2235000000E+00
                  27                 YES    0.2260909700E+00    0.3885000000E+00
                  28                  NO    0.1493488000E-01   -0.4457000000E+00
                  29                 YES    0.3897616000E-01   -0.1130000000E+00
                  30                  NO    0.0000000000E+00   -0.4288000000E+00
                  31                  NO    0.5164800000E-03   -0.4156000000E+00
                  32                  NO    0.2329321000E-01   -0.3840000000E+00
                  33                 YES   -0.1062831600E+00    0.5620000000E+00
                  34                  NO   -0.5736632000E-01    0.4600000000E-01
                  35                 YES    0.4220272000E-01   -0.9760000000E-01
                  36                 YES    0.8643856000E-01   -0.1303000000E+00
                  37                 YES    0.1150524000E-01   -0.6230000000E+00
                  38                  NO    0.1308690000E-01   -0.1393000000E+00
                  39                 YES    0.1025100000E-03   -0.8337000000E+00
                  40                 YES   -0.4683000000E-03   -0.8115000000E+00
                  41                 YES    0.1025100000E-03   -0.8337000000E+00
                  42                 YES    0.1009200000E-02   -0.8529000000E+00
                  43                  NO    0.5280000000E-02   -0.2645000000E+00
                  44                 YES   -0.3776850000E-01   -0.2812000000E+00
                  45                 YES   -0.5724498000E-01   -0.1875000000E+00
                  46                 YES    0.1216280000E-01   -0.1109800000E+01
                  47                  NO    0.1304326000E-01   -0.4889000000E+00
                  48                  NO    0.1060200000E-01   -0.5827000000E+00
                  49                 YES   -0.7213812000E-01    0.6450000000E-01
                  50                  NO    0.2717484000E-01   -0.2519000000E+00
                  51                 YES    0.8356000000E-04   -0.1109100000E+01
                  52                 YES    0.1609020000E-01   -0.1395200000E+01
                  53                 YES   -0.2252712000E-01   -0.8522000000E+00
                  54                  NO   -0.1786220000E-02   -0.4217000000E+00
                  55                 YES   -0.5663540000E-01   -0.5160000000E-01
                  56                 YES   -0.1704531400E+00    0.1999000000E+00
                  57                 YES   -0.3175392000E-01   -0.3060000000E+00
                  58                 YES    0.3859500000E-02   -0.7328000000E+00
                  59                 YES   -0.1561824000E-01   -0.1262600000E+01
                  60                  NO   -0.1349120000E-01    0.8940000000E-01
                  61                  NO    0.1765296000E-01   -0.3068000000E+00
                  62                 YES   -0.7945054000E-01   -0.2140000000E-01
                  63                 YES    0.7902360000E-02   -0.9535000000E+00
                  64                 YES   -0.8308296000E-01    0.3830000000E-01
                  65                 YES   -0.2161140000E-01   -0.5414000000E+00
                  66                 YES    0.3779390000E-02   -0.6355000000E+00
