               index         classified?        descriptor_1
                   1                 YES    0.2170000000E-01
                   2                 YES   -0.5600000000E-01
                   3                 YES   -0.4784000000E+00
                   4                 YES   -0.4530000000E-01
                   5                 YES   -0.1038000000E+00
                   6                 YES   -0.1455000000E+00
                   7                 YES   -0.1190000000E+00
                   8                  NO    0.5758000000E+00
                   9                 YES   -0.4018000000E+00
                  10                  NO    0.3279000000E+00
                  11                  NO    0.9990000000E-01
                  12                 YES   -0.2714000000E+00
                  13                 YES   -0.3642000000E+00
                  14                 YES    0.1320000000E-01
                  15                  NO    0.8680000000E-01
                  16                  NO    0.2267000000E+00
                  17                  NO    0.1530000000E+00
                  18                  NO    0.3688000000E+00
                  19                  NO    0.5620000000E+00
                  20                  NO    0.5595000000E+00
                  21                  NO    0.2221000000E+00
                  22                  NO    0.1617000000E+00
                  23                 YES   -0.5398000000E+00
                  24                 YES   -0.5720000000E+00
                  25                 YES   -0.8387000000E+00
                  26                 YES   -0.1194600000E+01
                  27                  NO    0.2703000000E+00
                  28                 YES   -0.2200000000E+00
                  29                 YES   -0.8590000000E-01
                  30                  NO    0.1806000000E+00
                  31                 YES   -0.7011000000E+00
                  32                  NO    0.6833000000E+00
                  33                 YES   -0.4261000000E+00
                  34                  NO    0.1031000000E+00
                  35                 YES   -0.1657000000E+00
                  36                 YES    0.1700000000E-01
                  37                  NO    0.5741000000E+00
                  38                  NO    0.1190000000E+00
                  39                 YES    0.8142000000E+00
                  40                 YES    0.8321000000E+00
                  41                 YES    0.8170000000E+00
                  42                  NO    0.1925000000E+00
                  43                  NO    0.2126000000E+00
                  44                  NO    0.4542000000E+00
                  45                  NO    0.9590000000E-01
                  46                  NO    0.4553000000E+00
                  47                  NO    0.5455000000E+00
                  48                  NO    0.6210000000E-01
                  49                  NO    0.2025000000E+00
                  50                  NO    0.1025000000E+00
                  51                  NO    0.4646000000E+00
                  52                  NO    0.2645000000E+00
                  53                  NO    0.4419000000E+00
                  54                  NO    0.6770000000E+00
                  55                  NO    0.1845000000E+00
                  56                  NO    0.6660000000E-01
                  57                  NO    0.5673000000E+00
                  58                 YES    0.6844000000E+00
                  59                  NO    0.2563000000E+00
                  60                  NO    0.1557000000E+00
                  61                  NO    0.4003000000E+00
                  62                  NO    0.1458000000E+00
                  63                  NO    0.2644000000E+00
                  64                  NO    0.1559000000E+00
                  65                 YES    0.8307000000E+00
                  66                  NO    0.5866000000E+00
