               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.2200000000E-01   -0.1000000000E+01
                   2                 YES    0.2300000000E-02   -0.6183000000E+00
                   3                 YES   -0.5200000000E-01   -0.4952000000E+00
                   4                 YES   -0.4850000000E-01   -0.4105000000E+00
                   5                 YES   -0.2318000000E+00    0.2970000000E-01
                   6                  NO    0.9900000000E-02   -0.3970000000E-01
                   7                 YES   -0.5210000000E-01    0.6299000000E+00
                   8                  NO   -0.1900000000E-01    0.2250000000E-01
                   9                  NO   -0.2980000000E-01    0.4137000000E+00
                  10                 YES   -0.3330000000E-01   -0.4193000000E+00
                  11                 YES   -0.1551000000E+00    0.7873000000E+00
                  12                 YES   -0.1250000000E+00    0.4239000000E+00
                  13                 YES   -0.1120000000E+00    0.3431000000E+00
                  14                 YES   -0.6620000000E-01    0.4403000000E+00
                  15                 YES   -0.4000000000E-01   -0.9170000000E-01
                  16                 YES   -0.3400000000E-01    0.1036000000E+00
                  17                 YES   -0.5370000000E-01    0.5020000000E+00
                  18                  NO    0.3000000000E-02    0.8300000000E-02
                  19                 YES   -0.6570000000E-01    0.2775000000E+00
                  20                 YES   -0.2018000000E+00    0.3344000000E+00
                  21                 YES   -0.2046000000E+00    0.6270000000E-01
                  22                 YES   -0.3191000000E+00   -0.1913000000E+00
                  23                 YES   -0.4333000000E+00   -0.3459000000E+00
                  24                 YES   -0.2732000000E+00    0.5305000000E+00
                  25                 YES   -0.2086000000E+00    0.9942000000E+00
                  26                 YES   -0.6710000000E-01    0.3107000000E+00
                  27                 YES   -0.4200000000E-01    0.3674000000E+00
                  28                 YES   -0.3079000000E+00    0.1117000000E+00
                  29                 YES   -0.3470000000E-01    0.1808000000E+00
                  30                 YES   -0.5680000000E-01    0.3999000000E+00
                  31                  NO    0.2658000000E+00    0.2913000000E+00
                  32                 YES   -0.4870000000E-01    0.3744000000E+00
                  33                  NO    0.1494000000E+00    0.6050000000E-01
                  34                 YES   -0.1692000000E+00    0.2858000000E+00
                  35                 YES   -0.1789000000E+00    0.1407000000E+00
                  36                 YES   -0.3972000000E+00    0.1769000000E+00
                  37                  NO   -0.1850000000E-01   -0.3470000000E-01
                  38                  NO    0.3500000000E-02    0.2129000000E+00
                  39                  NO   -0.9000000000E-03    0.2218000000E+00
                  40                 YES   -0.3480000000E-01    0.7458000000E+00
                  41                 YES    0.9346000000E+00    0.5116000000E+00
                  42                 YES   -0.1100000000E-02    0.7018000000E+00
                  43                 YES    0.2787000000E+00    0.1472000000E+00
                  44                 YES    0.2813000000E+00    0.5430000000E+00
                  45                  NO   -0.8100000000E-02    0.1438000000E+00
                  46                  NO   -0.3260000000E-01    0.2863000000E+00
                  47                  NO   -0.3600000000E-01    0.4740000000E+00
                  48                  NO    0.1357000000E+00    0.3788000000E+00
                  49                  NO   -0.4760000000E-01    0.6851000000E+00
                  50                  NO   -0.2000000000E-03    0.2673000000E+00
                  51                 YES    0.9050000000E+00    0.9695000000E+00
                  52                 YES    0.5407000000E+00    0.1056000000E+01
                  53                 YES    0.4299000000E+00    0.7671000000E+00
                  54                 YES    0.2666000000E+00    0.2798000000E+00
                  55                 YES    0.1423000000E+00    0.7338000000E+00
                  56                 YES    0.2782000000E+00   -0.2716000000E+00
                  57                 YES   -0.4590000000E-01    0.8908000000E+00
                  58                 YES    0.2728000000E+00    0.1843000000E+00
                  59                  NO    0.2560000000E-01    0.5625000000E+00
                  60                 YES   -0.4680000000E-01    0.8652000000E+00
                  61                 YES    0.1418000000E+00    0.6811000000E+00
                  62                 YES    0.2847000000E+00    0.8714000000E+00
                  63                 YES    0.2538000000E+00    0.3649000000E+00
                  64                 YES    0.2056000000E+00    0.8585000000E+00
                  65                 YES    0.1527000000E+00    0.7232000000E+00
                  66                 YES   -0.4570000000E-01    0.1281800000E+01
