               index         classified?        descriptor_1
                   1                  NO    0.2200000000E-01
                   2                  NO    0.2300000000E-02
                   3                 YES   -0.5200000000E-01
                   4                  NO   -0.4850000000E-01
                   5                 YES   -0.2318000000E+00
                   6                  NO    0.9900000000E-02
                   7                 YES   -0.5210000000E-01
                   8                  NO   -0.1900000000E-01
                   9                  NO   -0.2980000000E-01
                  10                  NO   -0.3330000000E-01
                  11                 YES   -0.1551000000E+00
                  12                 YES   -0.1250000000E+00
                  13                 YES   -0.1120000000E+00
                  14                 YES   -0.6620000000E-01
                  15                  NO   -0.4000000000E-01
                  16                  NO   -0.3400000000E-01
                  17                 YES   -0.5370000000E-01
                  18                  NO    0.3000000000E-02
                  19                 YES   -0.6570000000E-01
                  20                 YES   -0.2018000000E+00
                  21                 YES   -0.2046000000E+00
                  22                 YES   -0.3191000000E+00
                  23                 YES   -0.4333000000E+00
                  24                 YES   -0.2732000000E+00
                  25                 YES   -0.2086000000E+00
                  26                 YES   -0.6710000000E-01
                  27                  NO   -0.4200000000E-01
                  28                 YES   -0.3079000000E+00
                  29                  NO   -0.3470000000E-01
                  30                 YES   -0.5680000000E-01
                  31                  NO    0.2658000000E+00
                  32                 YES   -0.4870000000E-01
                  33                  NO    0.1494000000E+00
                  34                 YES   -0.1692000000E+00
                  35                 YES   -0.1789000000E+00
                  36                 YES   -0.3972000000E+00
                  37                  NO   -0.1850000000E-01
                  38                  NO    0.3500000000E-02
                  39                  NO   -0.9000000000E-03
                  40                  NO   -0.3480000000E-01
                  41                 YES    0.9346000000E+00
                  42                  NO   -0.1100000000E-02
                  43                 YES    0.2787000000E+00
                  44                 YES    0.2813000000E+00
                  45                  NO   -0.8100000000E-02
                  46                  NO   -0.3260000000E-01
                  47                  NO   -0.3600000000E-01
                  48                  NO    0.1357000000E+00
                  49                  NO   -0.4760000000E-01
                  50                  NO   -0.2000000000E-03
                  51                 YES    0.9050000000E+00
                  52                 YES    0.5407000000E+00
                  53                 YES    0.4299000000E+00
                  54                  NO    0.2666000000E+00
                  55                  NO    0.1423000000E+00
                  56                 YES    0.2782000000E+00
                  57                  NO   -0.4590000000E-01
                  58                 YES    0.2728000000E+00
                  59                  NO    0.2560000000E-01
                  60                  NO   -0.4680000000E-01
                  61                  NO    0.1418000000E+00
                  62                 YES    0.2847000000E+00
                  63                  NO    0.2538000000E+00
                  64                  NO    0.2056000000E+00
                  65                  NO    0.1527000000E+00
                  66                  NO   -0.4570000000E-01
