Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9780	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2442	0.0000	0.0000	0.1777	0.0000	0.5116	0.9425	0.5608	0.9402	1.0000
sample3_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7907	0.0000	0.7326	0.3805	0.0000	0.6942	0.1967	0.3635	0.3873	0.4762
sample4_group1	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1221	0.0144	0.4535	0.2280	0.0000	0.0987	0.9682	0.9178	0.9816	0.9998
sample5_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3953	0.0133	0.3605	0.4366	0.0000	0.4617	0.9480	0.8039	1.0000	0.9998
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4942	0.0047	0.3372	1.0000	0.0000	0.6677	0.9036	0.6514	0.9521	0.9999
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1919	0.3148	0.7326	0.0949	0.3807	0.1832	0.7253	0.7336	0.7774	0.0944
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4128	1.0000	0.0000	0.2217	0.1777	0.6367	0.9098	0.3253	0.9288	0.5620
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5291	0.2949	0.7326	0.2787	0.2335	0.6120	0.2725	0.2768	0.4291	0.3796
sample10_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6628	0.9731	0.7326	0.3294	0.2030	0.6511	0.1622	0.5501	0.4739	0.2762
sample11_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3895	0.3427	0.7326	0.2724	0.3807	0.5729	0.1051	0.8326	0.1384	0.4244
sample12_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5523	0.2753	1.0000	0.2724	0.2208	0.6783	0.5524	0.3850	0.7075	0.3801
sample13_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3663	0.3360	0.6395	0.2762	0.3934	0.5428	0.7416	0.5008	0.8666	0.4564
sample14_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.3146	0.6395	0.3738	0.4543	0.5734	0.7365	0.4973	0.8485	0.5356
sample15_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6105	0.2602	0.6395	0.4727	0.3934	0.6143	0.7952	0.4939	0.8614	0.5005
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3023	0.2373	0.3605	0.2420	0.2589	0.4908	0.8432	0.6468	0.8832	0.6486
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4419	0.4777	0.3605	0.2863	0.4365	0.6033	0.8098	0.4610	0.8739	0.3630
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6279	0.5013	0.3605	0.3966	0.5051	0.7296	0.8193	0.4759	0.8730	0.2019
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8081	0.0184	0.7326	0.3738	0.0254	0.7722	0.1619	0.0688	0.3637	0.4913
sample20_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7965	0.1480	0.7326	0.4372	0.2284	0.7170	0.1220	0.3116	0.3266	0.4803
sample21_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7965	0.2540	0.7326	0.4892	0.4365	0.8188	0.0463	0.4129	0.3654	0.5573
sample22_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7965	0.2515	0.7326	0.4245	0.1777	0.7146	0.0000	0.3249	0.4333	0.7536
sample23_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8023	0.0089	1.0000	0.3776	0.0127	0.7378	0.1419	0.3788	0.4151	0.2326
sample24_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8198	0.0060	1.0000	0.3738	0.0152	0.7620	0.3782	0.0000	0.5868	0.3840
sample25_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7791	0.2070	0.7326	0.4283	0.1904	0.6769	0.5504	0.4083	0.6175	0.5640
sample26_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7267	0.1367	0.7326	0.5234	0.1904	0.6617	0.8906	0.5887	0.9326	0.6671
sample27_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7674	0.0232	0.7326	0.3928	0.0279	0.6440	0.3458	0.2324	0.6537	0.7343
sample28_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3198	0.5270	0.3372	0.3840	0.8223	0.5440	0.8761	0.6021	0.9108	0.4304
sample29_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7558	0.0965	0.7326	0.4752	0.2208	0.6697	0.7992	0.4457	0.8560	0.6862
sample30_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4012	0.3664	0.7326	0.2280	0.4112	0.4453	0.4288	0.8701	0.1630	0.0000
