               index         classified?        descriptor_1
                   1                  NO   -0.3587040000E-02
                   2                  NO    0.1523856000E-01
                   3                 YES    0.8307798000E-01
                   4                  NO    0.3180000000E-01
                   5                  NO    0.6482272000E-01
                   6                 YES    0.2249797000E+00
                   7                  NO    0.8104950000E-02
                   8                  NO    0.5532504000E-01
                   9                 YES    0.1515260700E+00
                  10                  NO    0.3512999000E-01
                  11                  NO    0.3546150000E-01
                  12                 YES    0.7670076000E-01
                  13                 YES    0.1605402300E+00
                  14                 YES    0.1247761200E+00
                  15                 YES    0.1124457400E+00
                  16                  NO    0.4664253000E-01
                  17                 YES    0.7750336000E-01
                  18                 YES    0.7312760000E-01
                  19                  NO    0.6378844000E-01
                  20                 YES    0.6964958000E-01
                  21                  NO    0.1297220000E-01
                  22                 YES    0.7545736000E-01
                  23                 YES    0.8240016000E-01
                  24                 YES    0.7518381000E-01
                  25                 YES    0.1274491400E+00
                  26                 YES    0.2016908100E+00
                  27                  NO    0.0000000000E+00
                  28                 YES    0.1244581200E+00
                  29                 YES    0.1358856800E+00
                  30                  NO    0.5314596000E-01
                  31                  NO    0.5713707000E-01
                  32                  NO    0.1643500000E-01
                  33                  NO    0.6196430000E-01
                  34                  NO   -0.1871280000E-02
                  35                 YES    0.6968105000E-01
                  36                 YES    0.3318844100E+00
                  37                  NO    0.6119400000E-01
                  38                  NO    0.3205290000E-01
                  39                  NO    0.1856256000E-01
                  40                  NO    0.4945092000E-01
                  41                  NO    0.3400799000E-01
                  42                  NO    0.6512220000E-01
                  43                  NO    0.8115660000E-02
                  44                 YES   -0.3397540000E-01
                  45                  NO    0.2891064000E-01
                  46                  NO    0.1947672000E-01
                  47                  NO    0.4764279000E-01
                  48                  NO    0.5038333000E-01
                  49                  NO    0.5818365000E-01
                  50                 YES   -0.4773804000E-01
                  51                  NO   -0.3944500000E-03
                  52                 YES   -0.4444523000E-01
                  53                 YES   -0.4097020000E-01
                  54                 YES   -0.3930620000E-01
                  55                  NO    0.4892944000E-01
                  56                 YES   -0.4238703000E-01
                  57                  NO    0.5659043000E-01
                  58                 YES   -0.1808253000E-01
                  59                  NO    0.4787200000E-01
                  60                 YES   -0.5741820000E-01
                  61                 YES   -0.4703097000E-01
                  62                 YES   -0.4048768000E-01
                  63                 YES   -0.3338517000E-01
                  64                 YES   -0.9363065000E-01
                  65                 YES   -0.5084219000E-01
                  66                  NO    0.4930003000E-01
