Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	1.0000	0.9780	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3000	0.0000	0.0000	0.1777	0.0000	0.5243	0.9425	0.5566	0.9402	1.0000
sample3	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9714	0.0000	0.7326	0.3805	0.0000	0.7114	0.1967	0.3574	0.3873	0.3516
sample4	4.6600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4857	0.0131	0.3605	0.4366	0.0000	0.4731	0.9480	0.8020	1.0000	0.9997
sample5	6.6500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6071	0.0046	0.3372	1.0000	0.0000	0.6843	0.9036	0.6480	0.9521	0.9999
sample6	13.1600	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9143	0.0022	0.4535	0.4058	0.0000	0.6025	0.6513	0.5338	0.8831	0.4267
sample7	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0786	0.3947	0.0000	0.1330	0.2160	0.1360	0.9682	0.7773	0.9583	0.0447
sample8	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5071	0.9796	0.0000	0.2217	0.2160	0.6525	0.9098	0.3188	0.9288	0.4578
sample9	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4786	1.0000	0.7326	0.2280	0.2469	0.5896	0.7075	0.4469	0.7373	0.4728
sample10	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6500	0.2888	0.7326	0.2787	0.2840	0.6272	0.2725	0.2698	0.4291	0.2319
sample11	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4786	0.3357	0.7326	0.2724	0.4630	0.5871	0.1051	0.8310	0.1384	0.2873
sample12	14.7000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6786	0.2697	1.0000	0.2724	0.2685	0.6951	0.5524	0.3790	0.7075	0.2325
sample13	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4500	0.3291	0.6395	0.2762	0.4784	0.5563	0.7416	0.4960	0.8666	0.3270
sample14	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6143	0.3081	0.6395	0.3738	0.5525	0.5876	0.7365	0.4925	0.8485	0.4250
sample15	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.2549	0.6395	0.4727	0.4784	0.6296	0.7952	0.4890	0.8614	0.3816
sample16	6.1400	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3714	0.2325	0.3605	0.2420	0.3148	0.5030	0.8432	0.6434	0.8832	0.5650
sample17	5.9800	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4214	0.2190	0.3605	0.3066	0.3642	0.5020	0.8468	0.6581	0.8808	0.3097
sample18	4.3900	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.5429	0.4680	0.3605	0.2863	0.5309	0.6182	0.8098	0.4558	0.8739	0.2113
sample19	7.3500	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.2705	0.3605	0.5056	0.5309	0.8452	0.8137	0.4242	0.8739	0.0000
sample20	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3714	0.2178	0.4070	0.2344	0.2778	0.5614	0.8617	0.6160	0.8587	0.5552
sample21	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4786	0.2146	0.6395	0.2217	0.2160	0.5241	0.8190	0.5871	0.8847	0.4924
sample22	19.2500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.1450	0.7326	0.4372	0.2778	0.7348	0.1220	0.3049	0.3266	0.3565
sample23	23.0500	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.2489	0.7326	0.4892	0.5309	0.8391	0.0463	0.4072	0.3654	0.4519
sample24	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.2464	0.7326	0.4245	0.2160	0.7324	0.0000	0.3184	0.4333	0.6950
sample25	24.9200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9857	0.0087	1.0000	0.3776	0.0154	0.7561	0.1419	0.3728	0.4151	0.0500
sample26	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9571	0.2027	0.7326	0.4283	0.2315	0.6937	0.5504	0.4026	0.6175	0.4602
sample27	17.9900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8929	0.1339	0.7326	0.5234	0.2315	0.6782	0.8906	0.5847	0.9326	0.5878
sample28	12.6200	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9429	0.0227	0.7326	0.3928	0.0340	0.6600	0.3458	0.2250	0.6537	0.6710
sample29	5.6500	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3929	0.5163	0.3372	0.3840	1.0000	0.5575	0.8761	0.5982	0.9108	0.2949
sample30	7.9800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3714	0.2511	0.4070	0.2787	0.2901	0.6748	0.8460	0.3535	0.8472	0.2948
sample31	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.7143	0.2721	0.0000	0.3561	0.6111	1.0000	0.8623	0.0000	0.9110	0.3541
sample32	38.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8071	0.2540	0.7326	0.3738	0.3796	0.6692	0.1494	0.1015	0.0000	0.6427
sample33	26.1300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7786	0.0913	0.7326	0.3776	0.3889	0.6521	0.4523	0.6063	0.6312	0.2993
sample34	15.4600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4857	0.2256	1.0000	0.2280	0.2284	0.5661	0.6464	0.3045	0.7233	0.4413
sample35	22.1300	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8571	0.3127	0.7326	0.5830	0.7099	0.6859	0.3856	0.4361	0.7828	0.3807
sample36	9.5400	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5071	0.2932	0.6395	0.3409	0.4753	0.5423	0.7035	0.4902	0.8543	0.4716
