               index         classified?        descriptor_1
                   1                  NO    0.0000000000E+00
                   2                  NO    0.2125578000E-01
                   3                 YES    0.9976548000E-01
                   4                 YES    0.7304250000E-01
                   5                 YES    0.2441610000E+00
                   6                  NO    0.6845124000E-01
                   7                  NO    0.4846720000E-01
                   8                 YES    0.9345245000E-01
                   9                 YES    0.1819781700E+00
                  10                  NO    0.1404228000E-01
                  11                 YES    0.1429871800E+00
                  12                 YES    0.1408779900E+00
                  13                 YES    0.1266715800E+00
                  14                 YES    0.8568104000E-01
                  15                  NO    0.6222272000E-01
                  16                  NO    0.5645894000E-01
                  17                 YES    0.8683554000E-01
                  18                 YES    0.8457750000E-01
                  19                 YES    0.7474676000E-01
                  20                 YES    0.8081850000E-01
                  21                  NO    0.2172859000E-01
                  22                 YES    0.9872764000E-01
                  23                 YES    0.9053616000E-01
                  24                 YES    0.1461532900E+00
                  25                  NO    0.0000000000E+00
                  26                 YES    0.1436432800E+00
                  27                 YES    0.1560025600E+00
                  28                  NO    0.6574438000E-01
                  29                  NO    0.5798906000E-01
                  30                  NO    0.2569576000E-01
                  31                  NO   -0.1301340000E-02
                  32                  NO   -0.1855840000E-01
                  33                 YES    0.1352299300E+00
                  34                 YES    0.1460573800E+00
                  35                 YES    0.8472480000E-01
                  36                 YES    0.3593516800E+00
                  37                  NO    0.7075172000E-01
                  38                  NO    0.4165140000E-01
                  39                  NO    0.2004080000E-01
                  40                  NO    0.2445156000E-01
                  41                  NO    0.5816840000E-01
                  42                  NO    0.4839790000E-01
                  43                 YES   -0.3025050000E-01
                  44                  NO    0.4722133000E-01
                  45                 YES   -0.3246840000E-01
                  46                  NO    0.6891295000E-01
                  47                  NO    0.2257956000E-01
                  48                  NO   -0.1298675000E-01
                  49                  NO    0.2357600000E-03
                  50                  NO   -0.1014390000E-01
                  51                 YES   -0.3959490000E-01
                  52                 YES   -0.3211104000E-01
                  53                 YES   -0.3510260000E-01
                  54                  NO    0.6216000000E-01
                  55                 YES   -0.3783159000E-01
                  56                  NO    0.6748412000E-01
                  57                  NO   -0.5811980000E-02
                  58                  NO    0.8111880000E-02
                  59                 YES   -0.4756960000E-01
                  60                  NO    0.3041436000E-01
                  61                 YES   -0.4165140000E-01
                  62                 YES   -0.3629145000E-01
                  63                 YES   -0.2799384000E-01
                  64                 YES   -0.8733661000E-01
                  65                 YES   -0.4163040000E-01
                  66                  NO    0.6241436000E-01
