               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.3700000000E-02    0.0000000000E+00
                   2                 YES   -0.1810000000E-01   -0.6030000000E-01
                   3                 YES   -0.3339332000E-01   -0.3320000000E-01
                   4                 YES   -0.7109289000E-01   -0.1010000000E+00
                   5                 YES   -0.1424395700E+00    0.9740000000E-01
                   6                  NO   -0.7552000000E-02    0.6176000000E+00
                   7                 YES   -0.9644400000E-01   -0.1412000000E+00
                   8                  NO   -0.2292960000E-01    0.3434000000E+00
                   9                 YES   -0.3318876000E-01    0.1191000000E+00
                  10                 YES   -0.7588204000E-01   -0.1424000000E+00
                  11                 YES   -0.3361248000E-01   -0.3627000000E+00
                  12                 YES   -0.7225701000E-01    0.1506000000E+00
                  13                 YES   -0.7019432000E-01   -0.6070000000E-01
                  14                 YES   -0.7535892000E-01   -0.4786000000E+00
                  15                 YES   -0.4164012000E-01    0.1870000000E+00
                  16                 YES   -0.3555750000E-01    0.4600000000E+00
                  17                 YES   -0.3259740000E-01    0.4375000000E+00
                  18                  NO   -0.1592991000E-01    0.6086000000E+00
                  19                  NO   -0.1646088000E-01    0.6124000000E+00
                  20                 YES   -0.1268586000E-01   -0.7857000000E+00
                  21                 YES   -0.1224810900E+00   -0.3701000000E+00
                  22                 YES   -0.2074827900E+00   -0.5573000000E+00
                  23                 YES   -0.7503676000E-01   -0.1324000000E+00
                  24                 YES   -0.9592320000E-01   -0.3600000000E-01
                  25                 YES   -0.4316137000E-01   -0.7818000000E+00
                  26                  NO   -0.2487712000E-01    0.4397000000E+00
                  27                 YES   -0.5661150000E-01   -0.5634000000E+00
                  28                  NO    0.0000000000E+00    0.4010000000E+00
                  29                 YES   -0.1058784000E-01   -0.5919000000E+00
                  30                 YES   -0.3462892000E-01    0.3773000000E+00
                  31                 YES    0.7690234000E-01   -0.6033000000E+00
                  32                 YES    0.4439996000E-01   -0.7950000000E-01
                  33                 YES   -0.7584700000E-01   -0.2855000000E+00
                  34                 YES   -0.5905088000E-01    0.8040000000E-01
                  35                 YES   -0.2207616600E+00   -0.4773000000E+00
                  36                 YES   -0.1039211600E+00   -0.2174000000E+00
                  37                 YES   -0.1722168000E-01    0.6164000000E+00
                  38                  NO   -0.2985228000E-01    0.1318000000E+00
                  39                 YES   -0.2414680000E-02    0.8312000000E+00
                  40                 YES   -0.2234460000E-02    0.8089000000E+00
                  41                 YES   -0.1673300000E-02    0.8472000000E+00
                  42                  NO   -0.8530500000E-02    0.2328000000E+00
                  43                  NO   -0.3984175000E-01    0.2668000000E+00
                  44                  NO   -0.1388767000E-01    0.4640000000E-01
                  45                 YES    0.5075434000E-01    0.1581000000E+00
                  46                 YES    0.7584220000E-02    0.6022000000E+00
                  47                  NO   -0.2206320000E-01    0.9480000000E-01
                  48                  NO   -0.2208552000E-01    0.4835000000E+00
                  49                  NO   -0.1737550000E-01    0.5768000000E+00
                  50                 YES    0.5512692000E-01   -0.9030000000E-01
                  51                 YES    0.9514780000E-01    0.5507000000E+00
                  52                 YES    0.8694070000E-01    0.3720000000E+00
                  53                 YES    0.4370040000E-01    0.2490000000E-01
                  54                 YES    0.1514594400E+00   -0.2284000000E+00
                  55                 YES   -0.6165120000E-02    0.6138000000E+00
                  56                 YES    0.2816880000E-01    0.2780000000E+00
                  57                 YES   -0.5942800000E-02    0.7239000000E+00
                  58                  NO    0.5987520000E-02    0.2421000000E+00
                  59                  NO   -0.2862948000E-01    0.2914000000E+00
                  60                 YES    0.6348199000E-01    0.1100000000E-02
                  61                 YES    0.1362186000E-01    0.4348000000E+00
                  62                 YES    0.1187388300E+00   -0.1243000000E+00
                  63                 YES    0.1080135900E+00   -0.3570000000E-01
                  64                 YES    0.6942438000E-01   -0.6910000000E-01
                  65                  NO    0.8505120000E-02    0.4141000000E+00
                  66                 YES   -0.6094990000E-02    0.6218000000E+00
