               index         classified?        descriptor_1
                   1                  NO   -0.3700000000E-02
                   2                  NO    0.1810000000E-01
                   3                 YES    0.3339332000E-01
                   4                 YES    0.7109289000E-01
                   5                 YES    0.1424395700E+00
                   6                  NO    0.7552000000E-02
                   7                 YES    0.9644400000E-01
                   8                  NO    0.2292960000E-01
                   9                 YES    0.3318876000E-01
                  10                 YES    0.7588204000E-01
                  11                 YES    0.3361248000E-01
                  12                 YES    0.7225701000E-01
                  13                 YES    0.7019432000E-01
                  14                 YES    0.7535892000E-01
                  15                 YES    0.4164012000E-01
                  16                 YES    0.3555750000E-01
                  17                 YES    0.3259740000E-01
                  18                  NO    0.1592991000E-01
                  19                  NO    0.1646088000E-01
                  20                  NO    0.1268586000E-01
                  21                 YES    0.1224810900E+00
                  22                 YES    0.2074827900E+00
                  23                 YES    0.7503676000E-01
                  24                 YES    0.9592320000E-01
                  25                 YES    0.4316137000E-01
                  26                  NO    0.2487712000E-01
                  27                 YES    0.5661150000E-01
                  28                  NO    0.0000000000E+00
                  29                  NO    0.1058784000E-01
                  30                 YES    0.3462892000E-01
                  31                  NO   -0.7690234000E-01
                  32                  NO   -0.4439996000E-01
                  33                 YES    0.7584700000E-01
                  34                 YES    0.5905088000E-01
                  35                 YES    0.2207616600E+00
                  36                 YES    0.1039211600E+00
                  37                  NO    0.1722168000E-01
                  38                  NO    0.2985228000E-01
                  39                  NO    0.2414680000E-02
                  40                  NO    0.2234460000E-02
                  41                  NO    0.1673300000E-02
                  42                  NO    0.8530500000E-02
                  43                  NO   -0.5445825000E-01
                  44                  NO    0.1388767000E-01
                  45                  NO   -0.5075434000E-01
                  46                  NO    0.1784657000E-01
                  47                  NO    0.2206320000E-01
                  48                  NO    0.2208552000E-01
                  49                  NO    0.1737550000E-01
                  50                  NO   -0.5512692000E-01
                  51                  NO    0.2685220000E-01
                  52                  NO    0.2059801000E-01
                  53                  NO   -0.4370040000E-01
                  54                 YES   -0.1514594400E+00
                  55                  NO    0.6165120000E-02
                  56                  NO   -0.2816880000E-01
                  57                  NO    0.5942800000E-02
                  58                  NO   -0.5987520000E-02
                  59                  NO    0.2862948000E-01
                  60                  NO   -0.6348199000E-01
                  61                  NO    0.1297548000E-01
                  62                 YES   -0.1187388300E+00
                  63                 YES   -0.1080135900E+00
                  64                  NO   -0.6942438000E-01
                  65                  NO   -0.8505120000E-02
                  66                  NO    0.6094990000E-02
