               index         classified?        descriptor_1        descriptor_2
                   1                 YES   -0.9783000000E+00    0.1000000000E+01
                   2                 YES   -0.7594000000E+00    0.9425000000E+00
                   3                 YES   -0.3190540000E-02    0.1967000000E+00
                   4                 YES   -0.7486502400E+00    0.9682000000E+00
                   5                 YES   -0.5536892400E+00    0.9480000000E+00
                   6                 YES   -0.2523430000E+00    0.6513000000E+00
                   7                  NO   -0.6451296000E-01    0.7253000000E+00
                   8                 YES   -0.5346720000E-01    0.1806000000E+00
                   9                 YES   -0.3951422000E+00    0.9098000000E+00
                  10                 YES   -0.3985566000E-01    0.1622000000E+00
                  11                 YES    0.5449296000E-01    0.1051000000E+00
                  12                 YES    0.2684786900E+00    0.5524000000E+00
                  13                 YES   -0.2674960400E+00    0.7416000000E+00
                  14                 YES   -0.2509821600E+00    0.7365000000E+00
                  15                 YES   -0.4134825000E+00    0.8432000000E+00
                  16                 YES   -0.2517256000E+00    0.8468000000E+00
                  17                 YES   -0.2319487500E+00    0.8784000000E+00
                  18                 YES   -0.2115927000E+00    0.8098000000E+00
                  19                  NO   -0.9475167000E-01    0.8193000000E+00
                  20                  NO   -0.6899724000E-01    0.8137000000E+00
                  21                 YES   -0.3979387700E+00    0.8617000000E+00
                  22                 YES    0.7016407000E-01    0.4630000000E-01
                  23                 YES   -0.5350560000E-02    0.0000000000E+00
                  24                 YES    0.8824946000E-01    0.2647000000E+00
                  25                 YES    0.9920540000E-02    0.1419000000E+00
                  26                 YES    0.1296064000E+00    0.3782000000E+00
                  27                 YES   -0.2659060600E+00    0.8906000000E+00
                  28                 YES   -0.2236358400E+00    0.8761000000E+00
                  29                  NO    0.0000000000E+00    0.4288000000E+00
                  30                 YES   -0.2429177600E+00    0.8460000000E+00
                  31                 YES   -0.2622518900E+00    0.8623000000E+00
                  32                 YES    0.2621509000E+00    0.1494000000E+00
                  33                 YES    0.4525724000E-01    0.3112000000E+00
                  34                 YES   -0.1023460000E+00    0.4400000000E+00
                  35                  NO   -0.2410232000E-01    0.6464000000E+00
                  36                 YES   -0.2911282800E+00    0.7035000000E+00
                  37                  NO   -0.1691393400E+00    0.8467000000E+00
                  38                 YES   -0.9779454000E-01    0.9476000000E+00
                  39                 YES   -0.1079364600E+00    0.9453000000E+00
                  40                 YES   -0.9779454000E-01    0.9476000000E+00
                  41                 YES   -0.2136140000E-01    0.8819000000E+00
                  42                  NO   -0.1854600000E-01    0.3470000000E+00
                  43                 YES   -0.2086305000E+00    0.1703700000E+01
                  44                  NO    0.1001325000E+00    0.3929000000E+00
                  45                 YES   -0.1074302700E+00    0.1177000000E+01
                  46                  NO   -0.2038944000E+00    0.7414000000E+00
                  47                 YES   -0.1754631000E+00    0.8772000000E+00
                  48                  NO    0.1865916000E-01    0.4671000000E+00
                  49                 YES   -0.4549653000E-01    0.8228000000E+00
                  50                 YES   -0.1076670600E+00    0.1526900000E+01
                  51                 YES    0.2683019000E-01    0.1781400000E+01
                  52                 YES    0.1826110000E-01    0.1189600000E+01
                  53                 YES    0.2243384000E-01    0.9187000000E+00
                  54                  NO    0.9983000000E-04    0.4284000000E+00
                  55                  NO    0.1089380600E+00    0.4128000000E+00
                  56                  NO   -0.4760704000E-01    0.7110000000E+00
                  57                  NO    0.8404080000E-02    0.4224000000E+00
                  58                 YES    0.2832681000E+00    0.8158000000E+00
                  59                 YES   -0.9690912000E-01    0.1579400000E+01
                  60                  NO   -0.4727190000E-01    0.4376000000E+00
                  61                  NO   -0.1720409200E+00    0.6840000000E+00
                  62                 YES   -0.2943060000E-01    0.9494000000E+00
                  63                  NO    0.2471728000E-01    0.4358000000E+00
                  64                  NO    0.3758480000E-01    0.4196000000E+00
                  65                  NO    0.6566625000E-01    0.3658000000E+00
                  66                  NO   -0.9621960000E-02    0.6138000000E+00
