               index         classified?        descriptor_1
                   1                  NO   -0.2170000000E-01
                   2                 YES    0.5200000000E-01
                   3                  NO    0.4920000000E-01
                   4                  NO   -0.9400000000E-02
                   5                 YES    0.5510000000E-01
                   6                 YES    0.3004000000E+00
                   7                  NO    0.4490000000E-01
                   8                 YES    0.1591000000E+00
                   9                 YES    0.1268000000E+00
                  10                 YES    0.1141000000E+00
                  11                 YES    0.6800000000E-01
                  12                  NO    0.4160000000E-01
                  13                  NO    0.3560000000E-01
                  14                 YES    0.6340000000E-01
                  15                 YES    0.5540000000E-01
                  16                 YES    0.6190000000E-01
                  17                  NO   -0.1100000000E-02
                  18                 YES    0.6730000000E-01
                  19                 YES    0.2104000000E+00
                  20                 YES    0.2137000000E+00
                  21                 YES    0.3277000000E+00
                  22                 YES    0.4410000000E+00
                  23                  NO   -0.2647000000E+00
                  24                 YES    0.2811000000E+00
                  25                 YES    0.2142000000E+00
                  26                 YES    0.7230000000E-01
                  27                 YES    0.3126000000E+00
                  28                  NO    0.3590000000E-01
                  29                  NO    0.4990000000E-01
                  30                  NO   -0.1359000000E+00
                  31                  NO   -0.1491000000E+00
                  32                 YES    0.1745000000E+00
                  33                 YES    0.1839000000E+00
                  34                 YES    0.8060000000E-01
                  35                 YES    0.4002000000E+00
                  36                 YES    0.1528000000E+00
                  37                  NO    0.4890000000E-01
                  38                  NO    0.2030000000E-01
                  39                  NO    0.1600000000E-02
                  40                  NO    0.1600000000E-02
                  41                  NO    0.3590000000E-01
                  42                 YES   -0.9314000000E+00
                  43                  NO    0.8500000000E-02
                  44                 YES   -0.2667000000E+00
                  45                 YES   -0.2799000000E+00
                  46                  NO    0.1150000000E-01
                  47                  NO    0.3720000000E-01
                  48                  NO   -0.1266000000E+00
                  49                  NO    0.4940000000E-01
                  50                  NO    0.6600000000E-02
                  51                 YES   -0.9033000000E+00
                  52                 YES   -0.5360000000E+00
                  53                 YES   -0.4230000000E+00
                  54                  NO   -0.2553000000E+00
                  55                 YES   -0.2665000000E+00
                  56                  NO    0.4920000000E-01
                  57                  NO   -0.2613000000E+00
                  58                  NO    0.4840000000E-01
                  59                  NO   -0.4300000000E-01
                  60                  NO   -0.1770000000E-01
                  61                  NO    0.5050000000E-01
                  62                  NO   -0.1343000000E+00
                  63                 YES   -0.2801000000E+00
                  64                  NO   -0.2427000000E+00
                  65                  NO   -0.1942000000E+00
                  66                  NO    0.4890000000E-01
