               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.1000000000E+01   -0.9928129600E+00
                   2                 YES    0.7011000000E+00   -0.4401931200E+00
                   3                 YES   -0.5849000000E+00    0.5262746681E-01
                   4                 YES    0.8475000000E+00   -0.9035192600E+00
                   5                 YES    0.4151000000E+00   -0.3096236745E+00
                   6                 YES   -0.8430000000E-01   -0.1584271098E+00
                   7                 YES    0.9050000000E+00   -0.1889086122E+00
                   8                  NO    0.5356000000E+00   -0.4623876067E-01
                   9                 YES   -0.3769000000E+00    0.3564316440E-02
                  10                 YES   -0.2505000000E+00    0.2567037408E-01
                  11                 YES   -0.4930000000E+00    0.1964706718E-01
                  12                 YES   -0.2800000000E+00    0.2632841792E-01
                  13                 YES   -0.4245000000E+00   -0.1424450160E+00
                  14                 YES   -0.8082000000E+00   -0.1231670840E+00
                  15                 YES    0.5221000000E+00   -0.1977954330E+00
                  16                  NO    0.3730000000E+00   -0.9818530722E-01
                  17                  NO    0.9100000000E-02   -0.1497135112E-01
                  18                 YES    0.5628000000E+00   -0.1921143115E+00
                  19                 YES    0.4339000000E+00   -0.2149839758E+00
                  20                 YES   -0.6370000000E+00    0.6969518914E-01
                  21                 YES   -0.6654000000E+00    0.5870670878E-01
                  22                 YES   -0.7411000000E+00    0.8868873315E-01
                  23                 YES   -0.7874000000E+00    0.8393355648E-01
                  24                 YES   -0.3617000000E+00    0.0000000000E+00
                  25                 YES   -0.6512000000E+00    0.2894895871E-01
                  26                 YES   -0.4321000000E+00    0.3241561344E-01
                  27                 YES   -0.5530000000E+00    0.9335677680E-02
                  28                 YES   -0.8278000000E+00   -0.1935614932E+00
                  29                 YES    0.5600000000E+00   -0.1591997866E+00
                  30                  NO    0.3220000000E-01    0.0000000000E+00
                  31                  NO    0.5471000000E+00   -0.8294754880E-01
                  32                 YES   -0.5000000000E+00    0.6117172092E-02
                  33                 YES   -0.3933000000E+00   -0.1062139050E-01
                  34                 YES   -0.5074000000E+00   -0.7650092208E-02
                  35                  NO    0.2556000000E+00   -0.8196813688E-01
                  36                 YES   -0.6374000000E+00   -0.5895851716E-01
                  37                  NO   -0.3600000000E-02    0.1020637800E-01
                  38                  NO   -0.1418000000E+00    0.2585985588E-01
                  39                 YES    0.8556000000E+00   -0.7752343808E-01
                  40                 YES    0.7556000000E+00   -0.7369061760E-01
                  41                 YES    0.7924000000E+00   -0.7752343808E-01
                  42                 YES    0.4911000000E+00   -0.1162171404E-01
                  43                  NO   -0.1510000000E-01   -0.2784537525E-02
                  44                  NO    0.3129000000E+00   -0.4253392000E-01
                  45                 YES   -0.3414000000E+00    0.6340955473E-01
                  46                 YES    0.7172000000E+00   -0.5417067864E-01
                  47                  NO    0.2471000000E+00   -0.1244547072E+00
                  48                  NO    0.3258000000E+00   -0.7579635235E-01
                  49                 YES   -0.4440000000E-01    0.4876292376E-01
                  50                  NO    0.5239000000E+00   -0.1586304110E+00
                  51                 YES    0.1418000000E+00    0.1003483738E-01
                  52                 YES    0.7814000000E+00    0.2080550495E-01
                  53                 YES    0.2586000000E+00    0.1860016393E-01
                  54                 YES    0.5660000000E-01    0.3262649663E-01
                  55                 YES    0.1280000000E-01    0.1351997244E-01
                  56                 YES   -0.1274000000E+00    0.4916090355E-01
                  57                 YES    0.3949000000E+00   -0.2219043008E-01
                  58                 YES    0.1006000000E+00    0.5189806908E-02
                  59                 YES    0.4882000000E+00   -0.3037348314E-01
                  60                 YES   -0.2348000000E+00    0.6275077536E-01
                  61                  NO    0.1380000000E+00   -0.2034269776E-01
                  62                 YES    0.3574000000E+00    0.3092559318E-02
                  63                 YES    0.6800000000E-01    0.3004102520E-01
                  64                 YES    0.4600000000E-01    0.2380580230E-01
                  65                 YES   -0.1457000000E+00    0.3510752507E-01
                  66                 YES    0.2087000000E+00   -0.4716437040E-03
