               index         classified?        descriptor_1        descriptor_2
                   1                  NO    0.3600000000E-02    0.0000000000E+00
                   2                 YES   -0.1870000000E-01    0.0000000000E+00
                   3                 YES   -0.1167642400E+00    0.0000000000E+00
                   4                 YES   -0.3339332000E-01    0.0000000000E+00
                   5                 YES   -0.7149285000E-01    0.0000000000E+00
                   6                  NO   -0.2261160000E-02    0.0000000000E+00
                   7                  NO   -0.7825760000E-02   -0.2789008200E+00
                   8                 YES   -0.9844620000E-01   -0.2789008200E+00
                   9                 YES   -0.2332300000E-01    0.0000000000E+00
                  10                 YES   -0.3514104000E-01   -0.1487178000E+00
                  11                 YES   -0.7884292000E-01   -0.1710621000E+00
                  12                 YES   -0.1017244600E+00   -0.1487178000E+00
                  13                 YES   -0.3866284000E-01   -0.2789008200E+00
                  14                 YES   -0.7370139000E-01   -0.2208000000E+00
                  15                 YES   -0.4699695000E-01   -0.2515793000E+00
                  16                 YES   -0.4254816000E-01   -0.9333345000E-01
                  17                 YES   -0.3576375000E-01   -0.9333345000E-01
                  18                 YES   -0.1623276000E-01    0.1546616200E+00
                  19                 YES   -0.1674933000E-01    0.2791417500E+00
                  20                 YES   -0.5451600000E-01   -0.1136391500E+00
                  21                 YES   -0.1267554000E+00   -0.1860804000E-01
                  22                 YES   -0.1260787500E+00   -0.1673258400E+00
                  23                 YES   -0.2122755700E+00   -0.3197799000E+00
                  24                  NO    0.5933390000E-01   -0.1904000000E+00
                  25                 YES   -0.7689756000E-01   -0.1270000000E-01
                  26                 YES   -0.9807360000E-01   -0.1520000000E-01
                  27                 YES   -0.4362834000E-01   -0.1394870400E+00
                  28                 YES   -0.2617779500E+00   -0.2043954000E-01
                  29                  NO   -0.2530752000E-01   -0.2772795600E+00
                  30                  NO    0.0000000000E+00   -0.3012451200E+00
                  31                  NO   -0.1140560000E-01   -0.9711020000E-01
                  32                 YES   -0.3510722000E-01    0.0000000000E+00
                  33                  NO    0.4022072000E-01   -0.2284000000E+00
                  34                 YES   -0.9645702000E-01   -0.2342854800E+00
                  35                 YES   -0.2221611000E+00   -0.4276918800E+00
                  36                 YES   -0.1048956000E+00   -0.2499805500E+00
                  37                  NO   -0.2471630000E-02    0.0000000000E+00
                  38                  NO   -0.2314740000E-02    0.0000000000E+00
                  39                  NO   -0.2471630000E-02    0.0000000000E+00
                  40                  NO   -0.1699400000E-02    0.0000000000E+00
                  41                 YES   -0.9190500000E-02   -0.3220509600E+00
                  42                 YES   -0.4106700000E-01   -0.1012086900E+01
                  43                  NO   -0.1673445000E-01   -0.2043954000E-01
                  44                 YES    0.4826900000E-01    0.1526854000E-01
                  45                 YES   -0.1812725000E-01   -0.3372000000E+00
                  46                  NO   -0.1767000000E-01    0.0000000000E+00
                  47                 YES   -0.4230369000E-01   -0.4772000000E+00
                  48                 YES   -0.1646132000E-01   -0.3551568000E+00
                  49                 YES   -0.2718235000E-01   -0.5838822000E+00
                  50                 YES   -0.2119820000E-01   -0.6749443800E+00
                  51                 YES    0.1406196000E-01   -0.5857137000E+00
                  52                 YES    0.1503480000E-02   -0.3857871600E+00
                  53                  NO    0.3991940000E-01   -0.2198000000E+00
                  54                 YES    0.1441683100E+00   -0.1513551600E+00
                  55                  NO   -0.6423040000E-02   -0.2279851200E+00
                  56                 YES    0.2680692000E-01   -0.3449080800E+00
                  57                  NO   -0.6075600000E-02   -0.3010000000E+00
                  58                 YES    0.3991680000E-02   -0.4433669400E+00
                  59                  NO   -0.9169800000E-02   -0.2043954000E-01
                  60                  NO   -0.2994968000E-01   -0.1617580800E+00
                  61                 YES    0.5922371000E-01   -0.1980000000E+00
                  62                 YES    0.3244725900E+00   -0.1431500400E+00
                  63                 YES    0.1029311000E+00   -0.4645000000E+00
                  64                 YES    0.6477723000E-01   -0.1832000000E+00
                  65                 YES    0.1914980000E-01   -0.3122000000E+00
                  66                 YES    0.1212926400E+00   -0.2287177200E+00
