               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.0000000000E+00    0.0000000000E+00
                   2                 YES   -0.1856274000E-01   -0.4800343800E+00
                   3                 YES   -0.3999788566E-01   -0.6420639000E+00
                   4                 YES   -0.6845832348E-01   -0.7857422300E+00
                   5                 YES   -0.1228362235E+00   -0.7277808000E+00
                   6                 YES   -0.2663872596E-02   -0.5459157000E-01
                   7                 YES   -0.5460143200E-02   -0.1264110400E+00
                   8                 YES   -0.4313693934E-01   -0.4345040700E+00
                   9                 YES   -0.2168546688E-01    0.3602016000E+00
                  10                  NO   -0.2165511467E-01   -0.7784727500E+00
                  11                 YES   -0.2949150360E-01   -0.6075902300E+00
                  12                 YES   -0.4474858443E-01   -0.6961369800E+00
                  13                 YES   -0.5919187151E-01   -0.5722418400E+00
                  14                 YES   -0.6188497006E-01   -0.6277024000E+00
                  15                 YES   -0.3851111264E-01   -0.5063361300E+00
                  16                 YES   -0.3589954301E-01   -0.4893898100E+00
                  17                 YES   -0.2198493086E-01   -0.5245272000E+00
                  18                 YES   -0.3347668913E-01   -0.5157833600E+00
                  19                 YES   -0.2768020200E-01   -0.6280011000E+00
                  20                  NO   -0.1350280549E-01   -0.7252842600E+00
                  21                  NO   -0.1399242105E-01   -0.8301366000E+00
                  22                  NO   -0.1014522822E-01   -0.6129838800E+00
                  23                 YES   -0.4644639890E-01   -0.6569495400E+00
                  24                 YES   -0.4089444619E-01   -0.6622426800E+00
                  25                 YES   -0.3646237795E-01   -0.6353674800E+00
                  26                 YES   -0.7158674544E-01   -0.8136540200E+00
                  27                 YES   -0.1531470743E+00   -0.7018745400E+00
                  28                  NO    0.0000000000E+00   -0.5343000000E+00
                  29                 YES   -0.3090869460E-01   -0.7724462200E+00
                  30                 YES   -0.1616969721E+00   -0.7758912000E+00
                  31                 YES   -0.2255091990E-01   -0.5316666000E+00
                  32                 YES   -0.4675432621E-01   -0.3470082000E+00
                  33                  NO    0.0000000000E+00   -0.3185067600E+00
                  34                 YES   -0.4312314765E-01   -0.5554377400E+00
                  35                 YES   -0.3948163789E-01   -0.7378965600E+00
                  36                 YES   -0.8619583273E-01   -0.5071550400E+00
                  37                 YES   -0.1557941674E-01   -0.9105317000E+00
                  38                 YES   -0.2476246626E-01   -0.9587123000E+00
                  39                  NO   -0.2508739759E-02   -0.1594202900E+00
                  40                  NO   -0.2346276660E-02   -0.3005156500E+00
                  41                  NO   -0.2872715175E-02   -0.2470395200E+00
                  42                 YES   -0.2858279255E-01   -0.8503414000E+00
                  43                 YES   -0.3444773068E-02   -0.8247115800E+00
                  44                 YES    0.6992452740E-02   -0.6075141600E+00
                  45                  NO   -0.1572184579E-01   -0.6792747200E+00
                  46                  NO   -0.1375952448E-01   -0.6874067200E+00
                  47                  NO   -0.2041378617E-01   -0.5768942700E+00
                  48                  NO   -0.1582797612E-01   -0.6770966800E+00
                  49                 YES   -0.3496536994E-01   -0.9421561500E+00
                  50                 YES   -0.4215560220E-02   -0.6995125500E+00
                  51                 YES   -0.2293436497E-01   -0.1396506670E+01
                  52                 YES   -0.1238793692E-01   -0.1035677580E+01
                  53                 YES    0.9299384028E-02   -0.7772889600E+00
                  54                  NO    0.2981352600E-03   -0.2169396000E+00
                  55                 YES    0.1622002434E-01   -0.4671337300E+00
                  56                 YES    0.4940387316E-02   -0.3178236600E+00
                  57                 YES    0.5402114784E-02   -0.5178854800E+00
                  58                 YES    0.1899982560E-02   -0.6826736800E+00
                  59                 YES   -0.1891787757E-01   -0.8501365400E+00
                  60                 YES    0.3185575565E-01   -0.6105048600E+00
                  61                 YES   -0.7563956880E-02   -0.8871375400E+00
                  62                 YES    0.2506894723E-01   -0.3522840000E+00
                  63                 YES    0.1349538826E-01   -0.6058011600E+00
                  64                 YES    0.6774654068E-02   -0.4012412100E+00
                  65                 YES    0.3515776488E-02   -0.2839155300E+00
                  66                  NO   -0.4273290113E-02   -0.5566392000E+00
