               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.2200000000E-01   -0.1000000000E+01
                   2                 YES    0.1289840000E-02   -0.1000000000E+01
                   3                 YES   -0.8790472000E-01   -0.4606000000E+00
                   4                 YES   -0.1263620000E-01   -0.9998000000E+00
                   5                 YES   -0.4180280000E-01   -0.9998000000E+00
                   6                 YES   -0.1323114400E+00   -0.5231000000E+00
                   7                  NO    0.8351640000E-02   -0.2054000000E+00
                   8                 YES   -0.4257612000E-01   -0.6730000000E-01
                   9                 YES   -0.2067178400E+00   -0.2606000000E+00
                  10                  NO   -0.1447684000E-01   -0.5615000000E+00
                  11                 YES   -0.5444982000E-01   -0.3611000000E+00
                  12                 YES   -0.1894824300E+00   -0.2546000000E+00
                  13                 YES   -0.2861802000E-01   -0.4072000000E+00
                  14                 YES   -0.7478922000E-01   -0.3616000000E+00
                  15                 YES   -0.4803472000E-01   -0.4856000000E+00
                  16                 YES   -0.2432360000E-01   -0.4258000000E+00
                  17                 YES   -0.3336284000E-01   -0.1682000000E+00
                  18                 YES    0.2010300000E-02   -0.1630000000E+01
                  19                 YES   -0.4304007000E-01   -0.5778000000E+00
                  20                 YES   -0.8310852000E-01   -0.4648000000E+00
                  21                 YES   -0.1508704800E+00   -0.5441000000E+00
                  22                 YES   -0.1799494900E+00   -0.7463000000E+00
                  23                 YES   -0.1192791200E+00   -0.2097000000E+00
                  24                  NO   -0.1818992000E-01   -0.3656000000E+00
                  25                 YES   -0.3300649000E-01   -0.5510000000E+00
                  26                 YES   -0.3161340000E-01   -0.6572000000E+00
                  27                 YES   -0.9193894000E-01   -0.7263000000E+00
                  28                 YES   -0.2426571000E-01   -0.4134000000E+00
                  29                 YES   -0.4692816000E-01   -0.6768000000E+00
                  30                 YES   -0.5388000000E-03   -0.1413400000E+01
                  31                 YES    0.1864512000E-01   -0.7028000000E+00
                  32                  NO    0.3764464000E-01   -0.3380000000E+00
                  33                 YES   -0.1134486000E+00   -0.3460000000E+00
                  34                 YES   -0.1379140100E+00   -0.4172000000E+00
                  35                 YES   -0.3165204000E-01   -0.5353000000E+00
                  36                 YES   -0.9841208000E-01   -0.5605000000E+00
                  37                  NO   -0.1238575000E-01   -0.6987000000E+00
                  38                 YES   -0.6278400000E-03   -0.8750000000E-01
                  39                 YES    0.2321200000E-02   -0.1080000000E+00
                  40                 YES   -0.1450710000E-02   -0.8750000000E-01
                  41                 YES   -0.7548120000E-02    0.0000000000E+00
                  42                 YES   -0.3512960000E-01   -0.5510000000E-01
                  43                 YES   -0.3851406000E-01    0.5947000000E+00
                  44                  NO   -0.2475000000E-03   -0.3663000000E+00
                  45                 YES    0.2567105700E+00   -0.1817000000E+00
                  46                  NO   -0.6013440000E-02   -0.6231000000E+00
                  47                  NO   -0.1018424000E-01   -0.3821000000E+00
                  48                 YES    0.5295014000E-01   -0.5176000000E+00
                  49                  NO   -0.1830400000E-03   -0.4004000000E+00
                  50                 YES   -0.4264550000E-01    0.8031000000E+00
                  51                 YES   -0.2493540000E-01    0.5651000000E+00
                  52                 YES    0.4368252000E-01    0.1230000000E+00
                  53                 YES    0.2483213200E+00   -0.6012000000E+00
                  54                 YES   -0.2514861000E-01   -0.5580000000E-01
                  55                 YES    0.2523945600E+00   -0.9000000000E-01
                  56                 YES   -0.3214545000E-01   -0.5560000000E-01
                  57                 YES    0.4655399000E-01   -0.2965000000E+00
                  58                  NO    0.4702720000E-02   -0.5129000000E+00
                  59                  NO   -0.1233180000E-01   -0.3586000000E+00
                  60                 YES    0.5853504000E-01   -0.5472000000E+00
                  61                 YES   -0.1881792000E-01    0.1957000000E+00
                  62                 YES    0.9179946000E-01   -0.5188000000E+00
                  63                 YES    0.4920008000E-01   -0.3863000000E+00
                  64                 YES    0.1380861000E+00   -0.4470000000E-01
                  65                 YES    0.8091573000E-01   -0.4180000000E-01
                  66                 YES   -0.2053301000E-01   -0.5530000000E-01
