               index         classified?        descriptor_1
                   1                  NO    0.2200000000E-01
                   2                  NO    0.1289840000E-02
                   3                 YES   -0.6928310000E-01
                   4                  NO   -0.1229852000E-01
                   5                 YES   -0.4180280000E-01
                   6                 YES   -0.1247547600E+00
                   7                  NO    0.7717050000E-02
                   8                 YES   -0.3822056000E-01
                   9                 YES   -0.1657145000E+00
                  10                  NO   -0.1347556000E-01
                  11                 YES   -0.4334688000E-01
                  12                 YES   -0.1714661700E+00
                  13                  NO   -0.2772558000E-01
                  14                 YES   -0.5971350000E-01
                  15                 YES   -0.9889618000E-01
                  16                  NO   -0.2248420000E-01
                  17                  NO   -0.2586794000E-01
                  18                  NO    0.1859100000E-02
                  19                 YES   -0.3882870000E-01
                  20                 YES   -0.6375336000E-01
                  21                 YES   -0.1317563900E+00
                  22                 YES   -0.1407791700E+00
                  23                 YES   -0.1034881600E+00
                  24                  NO    0.0000000000E+00
                  25                 YES   -0.4976136000E-01
                  26                 YES   -0.6672540000E-01
                  27                 YES   -0.7155596000E-01
                  28                  NO   -0.2089287000E-01
                  29                 YES   -0.6318432000E-01
                  30                  NO   -0.4316400000E-03
                  31                  NO    0.1644894000E-01
                  32                  NO    0.2068528000E-01
                  33                 YES   -0.1446829200E+00
                  34                 YES   -0.1687742600E+00
                  35                  NO   -0.2393128000E-01
                  36                 YES   -0.1249076400E+00
                  37                  NO   -0.9888250000E-02
                  38                  NO   -0.5507100000E-03
                  39                  NO    0.2095100000E-02
                  40                  NO   -0.5507100000E-03
                  41                  NO   -0.3727080000E-02
                  42                  NO   -0.2762880000E-01
                  43                  NO   -0.3284388000E-01
                  44                  NO   -0.1139600000E-03
                  45                 YES    0.2154072300E+00
                  46                  NO   -0.5639220000E-02
                  47                  NO   -0.6604760000E-02
                  48                 YES    0.3925801000E-01
                  49                  NO   -0.1613800000E-03
                  50                  NO   -0.3081800000E-01
                  51                  NO   -0.9046800000E-02
                  52                 YES    0.3068982000E-01
                  53                 YES    0.2237562600E+00
                  54                  NO   -0.2155464000E-01
                  55                 YES    0.2330530400E+00
                  56                  NO   -0.2794185000E-01
                  57                 YES    0.4103732000E-01
                  58                  NO    0.2065920000E-02
                  59                  NO   -0.8152560000E-02
                  60                 YES    0.4825454000E-01
                  61                  NO   -0.1529442000E-01
                  62                 YES    0.6872904000E-01
                  63                  NO    0.2121792000E-01
                  64                 YES    0.1162956000E+00
                  65                 YES    0.6831798000E-01
                  66                  NO   -0.1616409000E-01
