               index         classified?        descriptor_1        descriptor_2
                   1                 YES   -0.2200000000E-01   -0.1000000000E+01
                   2                 YES    0.4400000000E-02   -0.1000000000E+01
                   3                 YES    0.2849000000E+00   -0.4727000000E+00
                   4                 YES    0.5820000000E-01   -0.9998000000E+00
                   5                 YES    0.5980000000E-01   -0.1999900000E+01
                   6                 YES    0.2728000000E+00   -0.5338000000E+00
                   7                  NO    0.8430000000E-01   -0.8820000000E-01
                   8                 YES    0.3896000000E+00   -0.2771000000E+00
                   9                  NO    0.6420000000E-01   -0.5713000000E+00
                  10                 YES    0.2420000000E+00   -0.3754000000E+00
                  11                 YES    0.1384000000E+00   -0.4205000000E+00
                  12                 YES    0.1554000000E+00   -0.4528000000E+00
                  13                 YES    0.1430000000E+00   -0.5324000000E+00
                  14                 YES    0.5840000000E-01   -0.6463000000E+00
                  15                  NO    0.5210000000E-01   -0.4386000000E+00
                  16                  NO    0.7690000000E-01   -0.4085000000E+00
                  17                  NO    0.8650000000E-01   -0.3586000000E+00
                  18                  NO    0.7490000000E-01   -0.1965000000E+00
                  19                  NO    0.8200000000E-01   -0.1868000000E+00
                  20                 YES    0.1013300000E+01   -0.6383000000E+00
                  21                 YES    0.3003000000E+00   -0.4879000000E+00
                  22                 YES    0.3077000000E+00   -0.4767000000E+00
                  23                 YES    0.3740000000E+00   -0.2274000000E+00
                  24                 YES    0.2817000000E+00   -0.3798000000E+00
                  25                 YES    0.1199000000E+00   -0.5611000000E+00
                  26                 YES    0.5480000000E-01   -0.6648000000E+00
                  27                 YES    0.3848000000E+00   -0.7325000000E+00
                  28                 YES    0.4930000000E-01   -0.6766000000E+00
                  29                 YES    0.8040000000E-01   -0.6841000000E+00
                  30                 YES    0.1019300000E+01   -0.4265000000E+00
                  31                  NO    0.6490000000E-01   -0.4747000000E+00
                  32                 YES   -0.4950000000E-01   -0.7094000000E+00
                  33                  NO   -0.7960000000E-01   -0.3529000000E+00
                  34                 YES    0.2433000000E+00   -0.4302000000E+00
                  35                 YES    0.4694000000E+00   -0.7464000000E+00
                  36                 YES    0.1856000000E+00   -0.5703000000E+00
                  37                  NO    0.3650000000E-01   -0.7055000000E+00
                  38                 YES    0.7000000000E-02   -0.1079000000E+00
                  39                 YES    0.2900000000E-02   -0.1279000000E+00
                  40                 YES    0.4870000000E-01   -0.2240000000E-01
                  41                 YES    0.1408000000E+00   -0.7630000000E-01
                  42                 YES    0.1003000000E+00    0.5814000000E+00
                  43                  NO    0.6490000000E-01   -0.3805000000E+00
                  44                 YES   -0.2074000000E+00   -0.2000000000E+00
                  45                 YES    0.7040000000E-01    0.1046000000E+00
                  46                  NO    0.3850000000E-01   -0.6315000000E+00
                  47                  NO    0.4570000000E-01   -0.3960000000E+00
                  48                  NO    0.5040000000E-01   -0.2897000000E+00
                  49                 YES   -0.7310000000E-01   -0.5284000000E+00
                  50                  NO    0.6840000000E-01   -0.5680000000E+00
                  51                 YES   -0.9443000000E+00   -0.4139000000E+00
                  52                 YES    0.1206000000E+00    0.7852000000E+00
                  53                 YES    0.1821000000E+00    0.5449000000E+00
                  54                 YES   -0.4780000000E-01    0.1053000000E+00
                  55                 YES   -0.1994000000E+00    0.0000000000E+00
                  56                 YES   -0.7760000000E-01   -0.3939000000E+00
                  57                 YES    0.6810000000E-01   -0.7680000000E-01
                  58                 YES   -0.9998000000E+00   -0.3122000000E+00
                  59                  NO    0.4050000000E-01   -0.5238000000E+00
                  60                  NO    0.8390000000E-01   -0.3730000000E+00
                  61                 YES   -0.9270000000E-01   -0.5573000000E+00
                  62                 YES   -0.1875000000E+00   -0.5296000000E+00
                  63                 YES   -0.2154000000E+00   -0.4233000000E+00
                  64                 YES   -0.2531000000E+00   -0.6610000000E-01
                  65                 YES   -0.9480000000E-01   -0.6320000000E-01
                  66                 YES    0.7880000000E-01   -0.7650000000E-01
