               index         classified?        descriptor_1        descriptor_2
                   1                  NO    0.2170000000E-01    0.0000000000E+00
                   2                 YES   -0.9471618000E-01   -0.5904756000E-01
                   3                 YES   -0.1039896000E+00    0.7210000000E-04
                   4                 YES   -0.4919508000E-01   -0.1588212000E-01
                   5                 YES   -0.1253124600E+00    0.1577273000E+00
                   6                  NO    0.2146960000E-02    0.0000000000E+00
                   7                 YES   -0.8471280000E-01    0.1457874000E+00
                   8                  NO   -0.1118380000E-01    0.0000000000E+00
                   9                 YES   -0.8805256000E-01    0.1500364800E+00
                  10                 YES   -0.1905556000E-01   -0.2010254400E+00
                  11                 YES   -0.6047391000E-01    0.3314000000E+00
                  12                 YES   -0.6111196000E-01    0.2014425000E+00
                  13                 YES   -0.3738176000E-01    0.8515010000E-01
                  14                 YES   -0.3354944000E-01    0.1586200000E+00
                  15                 YES   -0.7370250000E-01    0.1908126500E+00
                  16                 YES   -0.2388540000E-01    0.5664230000E-01
                  17                  NO   -0.1118526000E-01   -0.9385560000E-01
                  18                 YES   -0.1190337000E-01   -0.2661453500E+00
                  19                  NO    0.7047700000E-03    0.8949930000E-01
                  20                 YES   -0.3970700000E-01    0.1894838500E+00
                  21                 YES   -0.1033695200E+00   -0.8717940000E-01
                  22                 YES   -0.1026401100E+00   -0.1059339600E+00
                  23                 YES   -0.3323376000E+00   -0.2290107600E+00
                  24                 YES    0.6858377000E-01   -0.2591000000E+00
                  25                 YES   -0.8225280000E-01    0.2084000000E+00
                  26                 YES   -0.4077720000E-01    0.4300362000E-01
                  27                 YES   -0.2861859000E-01    0.1951646400E+00
                  28                 YES   -0.2295421800E+00   -0.5560434000E-01
                  29                  NO    0.0000000000E+00    0.1276921800E+00
                  30                  NO   -0.1420320000E-02    0.1704923000E+00
                  31                 YES   -0.2386717000E-01    0.0000000000E+00
                  32                 YES    0.9667926000E-01   -0.5112815400E+00
                  33                  NO    0.5325852000E-01   -0.1951000000E+00
                  34                 YES   -0.7983099000E-01    0.1480584600E+00
                  35                 YES   -0.4423328000E-01    0.1782000000E+00
                  36                 YES   -0.1257849600E+00    0.1810424500E+00
                  37                  NO   -0.1436022000E-01   -0.1020642000E+00
                  38                  NO   -0.1822400000E-03    0.0000000000E+00
                  39                  NO    0.3612600000E-03    0.0000000000E+00
                  40                  NO   -0.1822400000E-03    0.0000000000E+00
                  41                  NO   -0.1041100000E-02    0.0000000000E+00
                  42                 YES   -0.5940000000E-02    0.2465199000E+00
                  43                 YES   -0.2898350000E-01    0.2562634800E+00
                  44                  NO   -0.3269950000E-02    0.5956038000E-01
                  45                 YES    0.5478018000E-01    0.1378080000E-02
                  46                  NO   -0.1344336000E-01    0.0000000000E+00
                  47                  NO   -0.1095540000E-01    0.0000000000E+00
                  48                 YES   -0.2820246000E-01    0.3013000000E+00
                  49                  NO   -0.2757480000E-02    0.1116620700E+00
                  50                 YES   -0.2128367000E-01    0.4820508000E+00
                  51                 YES   -0.1669039000E-01    0.3852743400E+00
                  52                 YES    0.2091804000E-01    0.1923075000E+00
                  53                 YES    0.5289420000E-01   -0.8130000000E-01
                  54                 YES   -0.4093440000E-02    0.4959702000E+00
                  55                 YES    0.3041532000E-01    0.3274722000E-01
                  56                 YES   -0.4017200000E-02    0.7812000000E+00
                  57                 YES    0.1362240000E-01    0.2119359600E+00
                  58                  NO    0.9327900000E-02   -0.7846146000E-01
                  59                 YES   -0.1904860000E-01    0.2617579800E+00
                  60                 YES    0.7524829000E-01   -0.1129000000E+00
                  61                 YES   -0.8650320000E-02    0.3712084200E+00
                  62                 YES    0.1292862900E+00   -0.2487909600E+00
                  63                 YES    0.1161284900E+00   -0.2794000000E+00
                  64                 YES    0.7847622000E-01   -0.2325000000E+00
                  65                 YES    0.2094532000E-01    0.2521000000E+00
                  66                 YES    0.1002240000E-01    0.2153844000E+00
