               index         classified?        descriptor_1
                   1                  NO    0.0000000000E+00
                   2                 YES   -0.3595259999E-01
                   3                 YES   -0.4578884066E-01
                   4                 YES   -0.7310677374E-01
                   5                  NO   -0.2118649820E-02
                   6                  NO   -0.5020758400E-02
                   7                 YES   -0.4956756300E-01
                   8                  NO   -0.7422435160E-02
                   9                  NO   -0.1293073135E-01
                  10                  NO   -0.1828275072E-01
                  11                 YES   -0.2559460365E-01
                  12                 YES   -0.3339336403E-01
                  13                 YES   -0.2155557404E-01
                  14                 YES   -0.2567428618E-01
                  15                  NO   -0.1612000751E-01
                  16                  NO   -0.6717925503E-02
                  17                  NO   -0.7146752220E-02
                  18                 YES   -0.3030116100E-01
                  19                  NO   -0.7392374928E-02
                  20                 YES   -0.7731668112E-01
                  21                 YES   -0.1103759637E+00
                  22                  NO    0.3196003682E-02
                  23                 YES   -0.2559562964E-01
                  24                  NO    0.0000000000E+00
                  25                 YES   -0.2497710457E-01
                  26                  NO   -0.1456388381E-01
                  27                 YES   -0.2376371672E-01
                  28                  NO    0.0000000000E+00
                  29                  NO   -0.3421408848E-02
                  30                  NO   -0.3218767680E-03
                  31                  NO    0.6694070880E-02
                  32                 YES   -0.3582496170E-01
                  33                 YES   -0.5243919318E-01
                  34                  NO   -0.1653213901E-01
                  35                 YES   -0.9214832592E-01
                  36                 YES   -0.4874550120E-01
                  37                  NO   -0.4473198720E-03
                  38                  NO   -0.1493515935E-01
                  39                  NO   -0.1582085807E-02
                  40                  NO   -0.1457686776E-02
                  41                  NO   -0.1582085807E-02
                  42                  NO   -0.1748621700E-03
                  43                  NO   -0.2895519825E-02
                  44                  NO   -0.1818378315E-01
                  45                 YES    0.4189509087E-01
                  46                  NO   -0.6926527480E-02
                  47                  NO   -0.1244722056E-01
                  48                  NO   -0.4385360066E-02
                  49                 YES    0.1831661291E-01
                  50                  NO   -0.6236772170E-02
                  51                  NO   -0.8289591084E-02
                  52                  NO   -0.1331318472E-02
                  53                  NO    0.5830697268E-02
                  54                 YES    0.1592438596E-01
                  55                 YES    0.1297528208E+00
                  56                 YES    0.2562582200E-01
                  57                  NO   -0.3366542250E-02
                  58                 YES    0.8201204352E-02
                  59                  NO    0.3572427600E-03
                  60                  NO   -0.4389310432E-02
                  61                 YES    0.2370029219E-01
                  62                  NO   -0.3479574960E-02
                  63                 YES    0.3439043014E-01
                  64                 YES    0.7957205984E-02
                  65                  NO    0.4231795536E-02
                  66                  NO   -0.1927640241E-02
