               index         classified?        descriptor_1
                   1                 YES    0.6800000000E-02
                   2                 YES   -0.4571000000E+00
                   3                 YES    0.1860000000E-01
                   4                 YES   -0.4160000000E-01
                   5                 YES   -0.8540000000E-01
                   6                 YES   -0.7460000000E-01
                   7                  NO    0.8133000000E+00
                   8                  NO    0.6266000000E+00
                   9                 YES   -0.3829000000E+00
                  10                 YES   -0.2457000000E+00
                  11                 YES   -0.4149000000E+00
                  12                 YES   -0.3456000000E+00
                  13                 YES    0.5360000000E-01
                  14                  NO    0.1373000000E+00
                  15                  NO    0.2809000000E+00
                  16                  NO    0.2100000000E+00
                  17                  NO    0.4260000000E+00
                  18                  NO    0.6175000000E+00
                  19                  NO    0.6148000000E+00
                  20                  NO    0.2171000000E+00
                  21                 YES   -0.5206000000E+00
                  22                 YES   -0.5547000000E+00
                  23                 YES   -0.1186900000E+01
                  24                 YES   -0.1896000000E+00
                  25                 YES   -0.4450000000E-01
                  26                  NO    0.2401000000E+00
                  27                 YES   -0.6736000000E+00
                  28                  NO    0.4685000000E+00
                  29                  NO    0.7228000000E+00
                  30                  NO    0.4700000000E+00
                  31                  NO    0.3919000000E+00
                  32                 YES   -0.4028000000E+00
                  33                  NO    0.1350000000E+00
                  34                 YES   -0.6520000000E-01
                  35                 YES   -0.1309000000E+00
                  36                 YES    0.6330000000E-01
                  37                  NO    0.6321000000E+00
                  38                 YES    0.8952000000E+00
                  39                 YES    0.8772000000E+00
                  40                 YES    0.8952000000E+00
                  41                 YES    0.8761000000E+00
                  42                  NO    0.2233000000E+00
                  43                  NO    0.2620000000E+00
                  44                  NO    0.1017000000E+00
                  45                  NO    0.4920000000E+00
                  46                  NO    0.1479000000E+00
                  47                  NO    0.5147000000E+00
                  48                  NO    0.6045000000E+00
                  49                  NO    0.2585000000E+00
                  50                  NO    0.1437000000E+00
                  51                  NO    0.5177000000E+00
                  52                  NO    0.3036000000E+00
                  53                  NO    0.4872000000E+00
                  54                  NO    0.7165000000E+00
                  55                  NO    0.2235000000E+00
                  56                  NO    0.6066000000E+00
                  57                  NO    0.7401000000E+00
                  58                  NO    0.3499000000E+00
                  59                  NO    0.3050000000E+00
                  60                  NO    0.2014000000E+00
                  61                  NO    0.4453000000E+00
                  62                  NO    0.1855000000E+00
                  63                  NO    0.1913000000E+00
                  64                 YES    0.8803000000E+00
                  65                  NO    0.6241000000E+00
                  66                  NO    0.6370000000E+00
