               index         classified?        descriptor_1
                   1                  NO   -0.7753060000E-02
                   2                 YES   -0.4114293713E-01
                   3                 YES   -0.6001347805E-01
                   4                 YES   -0.1238494075E+00
                   5                  NO    0.0000000000E+00
                   6                 YES   -0.4459430688E-01
                   7                  NO   -0.1634914200E-01
                   8                  NO   -0.1863474228E-01
                   9                  NO   -0.3181450940E-02
                  10                 YES   -0.4834066188E-01
                  11                 YES   -0.3555235183E-01
                  12                  NO   -0.3106360735E-01
                  13                  NO   -0.1860633090E-01
                  14                  NO   -0.2545855488E-01
                  15                  NO   -0.1217518176E-01
                  16                  NO   -0.1276672777E-01
                  17                  NO   -0.4370701632E-02
                  18                 YES   -0.4275442080E-01
                  19                 YES   -0.4217964277E-01
                  20                 YES   -0.3769385755E-01
                  21                 YES   -0.1593924363E+00
                  22                  NO    0.0000000000E+00
                  23                  NO   -0.2963056344E-01
                  24                 YES   -0.3487753567E-01
                  25                 YES   -0.1660737232E+00
                  26                  NO   -0.1895946108E-01
                  27                 YES   -0.4248486529E-01
                  28                  NO    0.0000000000E+00
                  29                  NO   -0.2766732090E-01
                  30                  NO    0.1406309748E-02
                  31                  NO    0.9199303796E-02
                  32                 YES   -0.4357407960E-01
                  33                 YES   -0.5653937620E-01
                  34                 YES   -0.3770364662E-01
                  35                 YES   -0.1725176653E+00
                  36                 YES   -0.8523549918E-01
                  37                  NO   -0.1371277717E-01
                  38                  NO   -0.1906311424E-01
                  39                  NO   -0.1262923200E-02
                  40                  NO   -0.8813098260E-03
                  41                  NO   -0.1262923200E-02
                  42                  NO   -0.1285232440E-02
                  43                  NO   -0.2833726500E-02
                  44                  NO   -0.2524016700E-02
                  45                  NO    0.7411801488E-02
                  46                  NO   -0.1404932513E-01
                  47                  NO   -0.9758451920E-02
                  48                  NO   -0.1693895368E-01
                  49                  NO   -0.1336915734E-01
                  50                 YES    0.2404944578E-01
                  51                  NO   -0.3100165121E-01
                  52                  NO   -0.2836569540E-02
                  53                  NO   -0.2191039595E-01
                  54                  NO   -0.1232671754E-01
                  55                 YES    0.1056144144E-01
                  56                 YES    0.1762870554E-01
                  57                 YES    0.2559975788E-01
                  58                  NO    0.5246660160E-02
                  59                  NO   -0.4383742940E-02
                  60                  NO    0.3231564000E-02
                  61                  NO   -0.1719164440E-01
                  62                 YES    0.3506607854E-01
                  63                 YES    0.1837481184E-01
                  64                 YES    0.1437917516E-01
                  65                  NO    0.7241936700E-02
                  66                  NO   -0.3857610141E-02
