Materials	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23	feature24
sample1_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1902	1.0000	0.0000	0.0000	0.0978	0.0000	0.4246	0.9735	0.6406	0.9814	1.0000
sample2_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7669	1.0000	0.0000	0.7326	0.3203	0.0000	0.6291	0.2032	0.4114	0.4126	0.4762
sample3_group1	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4540	0.9997	0.0046	0.3372	1.0000	0.0000	0.5995	0.9333	0.7459	0.9937	0.9999
sample4_group1	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7178	0.9998	0.0022	0.4535	0.3480	0.0000	0.5101	0.6727	0.6144	0.9227	0.5369
sample5_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9996	0.3947	0.0000	0.0487	0.1777	0.0000	1.0000	0.8947	1.0000	0.2284
sample6_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5276	0.9991	0.2167	0.7326	0.2156	0.3807	0.4437	0.1865	0.6455	0.5017	0.2820
sample7_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3681	0.9955	0.9796	0.0000	0.1460	0.1777	0.5647	0.9397	0.3669	0.9697	0.5620
sample8_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3436	0.9998	1.0000	0.7326	0.1530	0.2030	0.4960	0.7307	0.5144	0.7727	0.5742
sample9_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3436	0.9997	0.3357	0.7326	0.2017	0.3807	0.4932	0.1086	0.9565	0.1565	0.4244
sample10_group1	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5153	0.9996	0.2697	1.0000	0.2017	0.2208	0.6113	0.5706	0.4363	0.7420	0.3801
sample11_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5767	0.9985	0.2549	0.6395	0.4214	0.3934	0.5397	0.8214	0.5629	0.9003	0.5005
sample12_group1	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2515	0.9995	0.2325	0.3605	0.1683	0.2589	0.4013	0.8709	0.7406	0.9228	0.6486
sample13_group1	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2945	0.9997	0.2190	0.3605	0.2392	0.2995	0.4001	0.8746	0.7574	0.9203	0.4424
sample14_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3988	0.9996	0.4680	0.3605	0.2170	0.4365	0.5273	0.8364	0.5247	0.9132	0.3630
sample15_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5951	0.9995	0.4911	0.3605	0.3380	0.5051	0.6688	0.8462	0.5420	0.9123	0.2019
sample16_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7914	0.9996	0.2705	0.3605	0.4576	0.4365	0.7754	0.8405	0.4882	0.9132	0.1923
sample17_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.2515	0.9996	0.2178	0.4070	0.1599	0.2284	0.4651	0.8900	0.7090	0.8976	0.6407
sample18_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3436	0.9997	0.2146	0.6395	0.1460	0.1777	0.4244	0.8459	0.6757	0.9243	0.5900
sample19_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7853	0.9998	0.0180	0.7326	0.3129	0.0254	0.7166	0.1672	0.0689	0.3883	0.4913
sample20_group1	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.9998	0.1450	0.7326	0.3825	0.2284	0.6547	0.1261	0.3510	0.3502	0.4803
sample21_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.9996	0.2464	0.7326	0.3686	0.1777	0.6521	0.0000	0.3665	0.4599	0.7536
sample22_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6012	0.9995	0.1566	1.0000	0.2684	0.1904	0.5359	0.2734	0.0431	0.0000	0.2592
sample23_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7546	0.9997	0.2027	0.7326	0.3727	0.1904	0.6098	0.5685	0.4633	0.6494	0.5640
sample24_group1	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6994	0.9993	0.1339	0.7326	0.4771	0.1904	0.5928	0.9199	0.6730	0.9736	0.6671
sample25_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7423	0.9997	0.0227	0.7326	0.3338	0.0279	0.5729	0.3572	0.2590	0.6866	0.7343
sample26_group1	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2699	0.9994	0.5163	0.3372	0.3241	0.8223	0.4609	0.9049	0.6886	0.9512	0.4305
sample27_group1	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7301	0.9961	0.0945	0.7326	0.4242	0.2208	0.6018	0.8255	0.5069	0.8947	0.6862
sample28_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3558	0.9996	0.3589	0.7326	0.1530	0.4112	0.3502	0.4429	1.0000	0.1818	0.0000
sample29_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.5460	0.9995	0.2721	0.0000	0.2935	0.5025	0.9447	0.8906	0.0000	0.9514	0.4783
sample30_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6258	0.9997	0.2540	0.7326	0.3129	0.3122	0.5830	0.1543	0.1168	0.0141	0.7114
sample31_group1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4663	0.9998	0.2758	1.0000	0.2128	0.2284	0.4912	0.3214	0.1386	0.1691	0.3572
sample32_group1	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4663	0.9992	0.3252	0.7326	0.2615	0.3782	0.5167	0.4545	0.5953	0.6408	0.3650
