Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21	feature22	feature23
sample1	18.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1750	0.0000	0.0000	0.0000	0.0000	0.0915	0.0000	0.4708	0.9735	0.9410	1.0000
sample2	88.7200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9583	0.2569	0.0000	0.0000	0.7326	0.3155	0.0000	0.6790	0.2032	0.3956	0.4217
sample3	20.4500	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0663	0.0141	0.0000	0.4535	0.1471	0.0000	0.0000	1.0000	0.9819	0.9998
sample4	20.6700	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3917	0.0000	0.0131	0.0000	0.3605	0.3775	0.0000	0.4138	0.9791	1.0000	0.9998
sample5	20.7800	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5333	0.1188	0.0046	0.0000	0.3372	1.0000	0.0000	0.6488	0.9333	0.9528	0.9999
sample6	53.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8917	0.0856	0.0022	0.0000	0.4535	0.3434	0.0000	0.5578	0.6727	0.8847	0.4887
sample7	28.1700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1000	0.2196	0.3083	0.6344	0.7326	0.0000	0.4630	0.0964	0.7492	0.7804	0.0000
sample8	65.2400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6333	0.3674	0.2167	0.6344	0.7326	0.2101	0.4630	0.4902	0.1865	0.4810	0.2072
sample9	18.4500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3833	0.0884	1.0000	0.6344	0.7326	0.1471	0.2469	0.5435	0.7307	0.7409	0.5298
sample10	42.6300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5833	0.1865	0.2888	0.7326	0.7326	0.2031	0.2840	0.5852	0.2815	0.4368	0.3149
sample11	50.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6167	0.2555	0.2697	1.0000	1.0000	0.1961	0.2685	0.6608	0.5706	0.7115	0.3155
sample12	17.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3500	0.3536	0.3291	0.5539	0.6395	0.2003	0.4784	0.5064	0.7659	0.8684	0.3998
sample13	14.6400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7000	0.6091	0.2549	0.5539	0.6395	0.4174	0.4784	0.5879	0.8214	0.8632	0.4485
sample14	31.2000	0.0000	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3417	0.1588	0.1691	0.3122	0.3605	0.3053	0.3148	0.4243	0.9073	0.9418	0.3513
sample15	25.5100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.4583	0.2017	0.4680	0.3122	0.3605	0.2115	0.5309	0.5753	0.8364	0.8756	0.2966
sample16	17.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.7250	0.3052	0.4911	0.3605	0.3605	0.3333	0.6142	0.7193	0.8462	0.8747	0.1187
sample17	30.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9917	0.3273	0.2705	0.3122	0.3605	0.4538	0.5309	0.8278	0.8405	0.8756	0.1081
sample18	26.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.2583	0.1326	0.2178	0.3525	0.4070	0.1541	0.2778	0.5121	0.8900	0.8606	0.6033
