               index         classified?        descriptor_1
                   1                 YES    0.0000000000E+00
                   2                 YES   -0.6030000000E-01
                   3                 YES    0.4141000000E+00
                   4                 YES    0.3061000000E+00
                   5                 YES    0.2362000000E+00
                   6                  NO    0.5914000000E+00
                   7                 YES    0.3434000000E+00
                   8                  NO    0.8517000000E+00
                   9                  NO    0.5902000000E+00
                  10                  NO    0.5780000000E+00
                  11                 YES    0.3699000000E+00
                  12                  NO    0.5788000000E+00
                  13                 YES    0.1609000000E+00
                  14                 YES   -0.7570000000E-01
                  15                  NO    0.7574000000E+00
                  16                  NO    0.8205000000E+00
                  17                  NO    0.7980000000E+00
                  18                  NO    0.9729000000E+00
                  19                  NO    0.6213000000E+00
                  20                 YES    0.3317000000E+00
                  21                 YES    0.1753000000E+00
                  22                  NO    0.9699000000E+00
                  23                  NO    0.8676000000E+00
                  24                  NO    0.9640000000E+00
                  25                 YES    0.3639000000E+00
                  26                 YES   -0.4920000000E-01
                  27                 YES    0.3123000000E+00
                  28                  NO    0.7769000000E+00
                  29                 YES    0.1692000000E+00
                  30                  NO    0.1133600000E+01
                  31                  NO    0.8151000000E+00
                  32                 YES    0.1293000000E+00
                  33                  NO    0.9205000000E+00
                  34                 YES    0.4471000000E+00
                  35                 YES    0.3909000000E+00
                  36                 YES    0.4221000000E+00
                  37                  NO    0.6164000000E+00
                  38                  NO    0.4923000000E+00
                  39                  NO    0.8312000000E+00
                  40                  NO    0.8089000000E+00
                  41                  NO    0.8312000000E+00
                  42                  NO    0.8472000000E+00
                  43                  NO    0.9654000000E+00
                  44                  NO    0.7790000000E+00
                  45                  NO    0.8907000000E+00
                  46                  NO    0.8274000000E+00
                  47                  NO    0.4835000000E+00
                  48                  NO    0.5768000000E+00
                  49                  NO    0.6423000000E+00
                  50                 YES    0.1243300000E+01
                  51                  NO    0.1051300000E+01
                  52                 YES    0.1283300000E+01
                  53                  NO    0.5042000000E+00
                  54                 YES    0.1346400000E+01
                  55                  NO    0.1010600000E+01
                  56                 YES    0.1723900000E+01
                  57                 YES    0.1207200000E+01
                  58                  NO    0.6159000000E+00
                  59                  NO    0.1024000000E+01
                  60                  NO    0.1001100000E+01
                  61                  NO    0.6083000000E+00
                  62                  NO    0.9643000000E+00
                  63                  NO    0.9309000000E+00
                  64                 YES    0.1522600000E+01
                  65                 YES    0.1146700000E+01
                  66                 YES    0.1621800000E+01
