               index         classified?        descriptor_1
                   1                  NO    0.2170000000E-01
                   2                  NO    0.8230500000E-03
                   3                 YES   -0.6881940000E-01
                   4                 YES   -0.4152200000E-01
                   5                  NO   -0.3157656000E-01
                   6                 YES   -0.1226517000E+00
                   7                  NO    0.7269960000E-02
                   8                 YES   -0.4001913000E-01
                   9                 YES   -0.1661212000E+00
                  10                  NO   -0.1460248000E-01
                  11                 YES   -0.1714187600E+00
                  12                 YES   -0.3717720000E-01
                  13                 YES   -0.1312378200E+00
                  14                  NO   -0.2650336000E-01
                  15                 YES   -0.4335292000E-01
                  16                  NO   -0.2935996000E-01
                  17                  NO   -0.2556710000E-01
                  18                  NO    0.6701200000E-03
                  19                  NO   -0.9089280000E-02
                  20                 YES   -0.6252862000E-01
                  21                 YES   -0.1299985900E+00
                  22                 YES   -0.1351224000E+00
                  23                  NO    0.5399880000E-02
                  24                 YES   -0.1016738700E+00
                  25                 YES   -0.5243919000E-01
                  26                 YES   -0.6767046000E-01
                  27                 YES   -0.6605238000E-01
                  28                 YES   -0.6440564000E-01
                  29                  NO   -0.1128930000E-02
                  30                  NO    0.1163304000E-01
                  31                  NO    0.1562568000E-01
                  32                 YES   -0.1469115500E+00
                  33                 YES   -0.1715235300E+00
                  34                  NO   -0.2355132000E-01
                  35                 YES   -0.3039519000E+00
                  36                 YES   -0.1244403200E+00
                  37                  NO    0.0000000000E+00
                  38                  NO   -0.1059051000E-01
                  39                  NO   -0.9619200000E-03
                  40                  NO    0.1586520000E-02
                  41                  NO   -0.9619200000E-03
                  42                  NO   -0.2965340000E-02
                  43                  NO   -0.2995200000E-01
                  44                  NO   -0.3351110000E-01
                  45                  NO   -0.6706500000E-03
                  46                 YES    0.2044522200E+00
                  47                  NO   -0.2069784000E-01
                  48                  NO   -0.7910850000E-02
                  49                 YES    0.3414402000E-01
                  50                  NO   -0.2741206000E-01
                  51                  NO   -0.2957086000E-01
                  52                  NO   -0.6051410000E-02
                  53                 YES    0.2681133000E-01
                  54                 YES    0.2223663000E+00
                  55                 YES    0.3973710000E-01
                  56                 YES    0.2129068500E+00
                  57                  NO   -0.2238600000E-01
                  58                 YES    0.2221833900E+00
                  59                  NO   -0.2855600000E-01
                  60                 YES    0.3559540000E-01
                  61                  NO    0.9788100000E-03
                  62                  NO   -0.7650750000E-02
                  63                 YES    0.4327146000E-01
                  64                  NO    0.1524470000E-01
                  65                 YES    0.1078510400E+00
                  66                  NO   -0.1642551000E-01
