,IUPAC Name,Formula,Common Name,CAS No.,H,CH3,C2H5,CH2OH,CHFOH,CHClOH,COOH,NH2,CH2NH2,NO2,F,Cl,Br,I,CH2F,CH2Cl,CH2Br,SH,OH,CH(CH3)OH],CH2I,CHO,CH2SH,CONH2,CH(CH3)NH2,C4H9,CO(CH3),COCl,Symmetry,distavg,diststdev,AngAvg,ANGSDEV,Center of Mass,avgdon,avgacc,stdevdon,stdevacc,sumdon,sumacc,Maxdon,Maxacc,moleculetotal,Ravg,Rstdev,Svib(J/mol/K),Volume(bohr**3/mol),Interaction Energy(kJ/mol),E_elec(kJ/mol),E_pauli(kJ/mol),E_dispersion(kJ/mol),E_polarization(kJ/mol),E_CT(kJ/mol),T_m,0,year
27,"2-ethyl-2-methylpropane-1,3-diol",C(CH3)(C2H5)(CH2OH)2,,77-84-9,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.48,109.46,1.96,0.28,2.3,3.15,1.8,3.15,9.2,12.6,4.1,6.3,118.17,26.5,1.1,24.210973545258263,1131.4060693069307,-92.88726689652958,-217.4369,221.3936,-27.8101,-20.0623,-38.8414,312.17,0.5407322079353323,2023.0
28,"2,2-dimethylbutan-1-ol",C(CH3)2(C2H5)(CH2OH),,1185-33-7,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04,0.57,109.46,1.7,0.52,1.4,1.58,1.56,2.73,5.6,6.3,4.1,6.3,102.17,22.5,8.7,22.348349555759615,1094.6983980582525,-53.396758687324734,-98.7425,109.0693,-25.3632,-6.5659,-16.9933,233.11,0.39532548258724853,2011.0
29,2-Amino-2-methyl-1-propanol,C(CH3)2(CH2OH)(NH2),https://pubs.acs.org/doi/pdf/10.1021/cm991178r,124-68-5,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.47,109.46,1.38,0.43,1.78,3.73,1.48,3.81,7.1,14.9,4.1,8.6,89.14,19.27,7.8,14.845979068440478,884.1120000000001,-69.78839732188972,-230.7703,234.5323,-21.0171,-19.6772,-36.9308,303.5,0.5730743361415711,2023.0
30,"3-Bromo-2,2-dimethyl-1-propanol",C(CH3)2(CH2OH)(CH2Br), ,40894-00-6,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.69,109.46,1.38,1.4,1.6,2.3,1.48,2.6,6.4,9.2,4.1,6.3,167.04,38.7,37.5,22.074206103385425,1135.5746019417475,-64.28320936321605,-119.9028,124.9057,-21.6874,-9.1031,-21.5214,269.15,0.18695775238988954,2023.0
31,"2-Methyl-1,2-propanediol",C(CH3)2(CH2OH)(OH), ,558-43-0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.73,0.47,109.45,1.73,0.42,2.3,3.15,1.8,3.15,9.2,12.6,4.1,6.3,90.12,19.5,7.7,15.410767139388351,861.185718446602,-93.17704366006349,-287.4559,312.978,-22.8366,-21.7506,-54.5966,,0.5463160533751443,2023.0
32,2-Amino-2-methylpropanoic acid,C(CH3)2(COOH)(NH2),,62-57-7,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.44,1.7,2.14,0.6,2.13,3.73,2.04,3.81,8.5,14.9,5.5,8.6,103.12,19.2,18.3,19.114802350249256,906.8409223300971,-95.77721246336152,-258.3131,272.6141,-8.0027,-39.4364,-57.7532,,0.4438084575189585,2023.0
33,"2-amino-2-ethylpropane-1,3-diol",C(C2H5)(CH2OH)2(NH2),irritant and toxic if swallowed,115-70-8,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.54,109.42,2.59,0.32,2.68,5.3,1.52,3.2,10.7,21.2,4.1,8.6,119.16,26.8,7.22,23.932299328883218,1089.961912621359,-104.39137969565189,-355.1005,359.5796,-27.2205,-29.0002,-56.094,,0.42141160730905636,2023.0
34,2-aminopropan-1-ol,C(H)(CH3)(CH2OH)(NH2),DL-Alaninol,6168-72-5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8,1.63,0.56,109.46,1.39,0.59,1.78,3.73,1.48,3.81,7.1,14.9,4.1,8.6,75.11,15.8,12.3,10.957097666385117,742.1389320388349,-64.6481200592678,-248.7079,268.6624,-19.7288,-20.3263,-45.4671,,0.0993773383250014,2023.0
35,"propane-1,2-diol",C(OH)(H)(CH3)(CH2OH),,57-55-6,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8,1.61,0.56,109.45,1.57,0.59,2.3,3.15,1.8,3.15,9.2,12.6,4.1,6.3,76.09,16.0,12.3,10.69479825626695,701.7955533980582,-81.66730160055627,-238.7448,255.0879,-18.2153,-17.8576,-42.7522,,0.09662302865211969,2023.0
36,"propane-1,2-diamine",C(H)(CH3)(CH2NH2)(NH2),propylenediamine,78-90-0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.8,1.65,0.59,109.45,1.82,0.59,1.25,4.3,0.75,4.3,5.0,17.2,2.0,8.6,74.13,15.5,11.9,12.629091874162375,786.7053883495147,-47.91432703513308,-88.3998,96.6405,-20.6668,-5.3458,-14.7252,275.09,0.10938700245386546,2023.0
