,IUPAC Name,Formula,Common Name,CAS No.,Str(cal/mol/K),Htr(kcal/mol),T_tr,T_m,H,CH3,C2H5,CH2OH,CHFOH,CHClOH,COOH,NH2,CH2NH2,NO2,F,Cl,Br,I,CH2F,CH2Cl,CH2Br,SH,OH,CH(CH3)OH,CH2I,CHO,CH2SH,CONH2,CH(CH3)NH2,C4H9,CO(CH3),COCl,Symmetry,distavg,diststdev,AngAvg,ANGSDEV,Center of Mass,avgdon,avgacc,stdevdon,stdevacc,sumdon,sumacc,Maxdon,Maxacc,moleculetotal,Ravg,Rstdev,Svib(J/mol/K),Volume(bohr**3/mol),Interaction Energy(kJ/mol),E_elec(kJ/mol),E_pauli(kJ/mol),E_dispersion(kJ/mol),E_polarization(kJ/mol),E_CT(kJ/mol),T_m,sphericity,Year
10,"2,2-Dimethylbutane",C(CH3)3(C2H5)1,neohexane,75-83-2,45.37,6.07,133.85,174.3,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.8,0.54,109.02,16.54,1.8765049999999999,0.5,0.0,0.0,0.0,2.0,0.0,0.5,0.0,86.2,18.5,7.0,19.04,1028.17,-17.21,-19.0,30.72,-21.41,-0.37,-3.43,174.3,0.5747670367205324,2019.0
11,"2,2-dimethyl-1-propanol",C(CH3)3(CH2OH)1,Neopentyl Alcohol,75-84-3,18.45,4.36,236.25,328.15,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.76,0.47,109.48,0.64,1.9155799999999998,1.4,1.575,1.558846,2.72798,5.6,6.3,4.1,6.3,88.15,19.0,8.0,17.1,955.63,-49.63,-95.07,101.52,-18.09,-6.69,-16.55,328.15,0.5865627046352118,2005.0
12,"2,2-Dimethyl-1,3-propanediol",C(CH3)2(CH2OH)2,Neopentylglycol,126-30-7,42.63,13.37,313.76,394.5,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.0,0.54,109.48,1.35,0.553313,2.3,3.15,1.8,3.15,9.2,12.6,4.1,6.3,104.15,23.0,9.2,21.2,998.94,-119.34,-208.57,209.66,-22.68,-19.21,-37.67,394.5,0.3976190582375114,2017.0
13,"2-Hydroxymethyl-2-methyl-1,3-propanediol",C(CH3)1(CH2OH)3,Pentaglycerine,77-85-0,60.56,21.41,353.5,471.15,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.23,0.47,109.48,1.1,1.8259450000000002,3.2,4.725,1.558846,2.72798,12.8,18.9,4.1,6.3,120.15,27.0,8.0,23.45,1045.28,-137.02,-217.75,208.81,-15.53,-23.85,-34.6,471.15,0.2972685955450214,2005.0
14,"2,2-Dimethylpropanoic acid",C(CH3)3(COOH),"Pivalic Acid, Trimethylacetic Acid",75-98-9,36.15,10.12,280.0,309.1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.76,0.46,109.47,0.51,0.642998,1.75,1.575,2.165064,2.72798,7.0,6.3,5.5,6.3,102.13,22.5,15.0,19.69,952.73,-146.17,-259.29,272.71,-8.14,-39.66,-57.59,309.1,0.441117316319495,2019.0
15,"2,2-dimethylpropane-1,3-diamine",C(CH3)2(CH2NH2)2,,7328-91-8,50.9,14.7,228.7,301.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.04,0.57,109.46,1.85,0.516585912,1.25,4.3,0.75,4.3,5.0,17.2,2.0,8.6,102.18,22.5,8.7,22.15,1077.44,-74.48,-119.86,115.38,-19.85,-10.47,-18.59,301.0,0.3981303097062918,1996.0
16,2-Methyl-2-nitro-propane,C(CH3)3(NO2),,594-70-7,17.9,4.66,260.6,299.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.72,0.4,109.42,2.56,0.630509,0.375,1.375,0.216506,2.38157,1.5,5.5,0.5,5.5,103.12,22.8,15.5,18.22,917.13,-44.17,-49.52,52.85,-16.82,-3.62,-7.69,299.0,0.47225083056513384,2017.0
17,"2,2-dinitropropane",C(CH3)2(NO2)2,,595-49-3,42.16,11.28,267.7,326.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1.95,0.49,109.46,2.37,0.590273498,0.25,2.75,0.25,2.75,1.0,11.0,0.5,5.5,134.088,30.5,17.9,22.94,953.27,-44.98,-59.45,56.35,-16.91,-4.62,-8.93,326.0,0.549092072134918,1969.0
18,"1,1,1-Trinitroethane",C(CH3)(NO2)3,,595-86-8,14.64,7.53,311.65,327.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,2.14,0.44,109.34,4.41,0.488213138,0.125,4.125,0.216506,2.38157,0.5,16.5,0.5,5.5,165.06,38.3,15.5,28.77,1001.76,-35.57,-49.99,55.78,-17.0,-3.86,-8.05,327.5,0.5150485065217854,1969.0
19,2-chloro-2-methyl-propane,C(CH3)3Cl,2-cholorobutane; tert-butyl chloride,507-20-0,27.96,6.14,219.574,248.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,1.61,0.13,109.45,1.52,0.445371,0.375,0.775,0.216506,1.342339,1.5,3.1,0.5,3.1,92.57,20.1,10.2,11.56,855.59,-27.88,-23.84,31.19,-13.0,-1.02,-6.55,248.0,0.658853040254106,1970.0
