               index         classified?        descriptor_1
                   1                  NO    0.2170000000E-01
                   2                  NO    0.1500000000E-02
                   3                 YES   -0.9471618000E-01
                   4                  NO   -0.1369726000E-01
                   5                 YES   -0.5198960000E-01
                   6                 YES   -0.4919508000E-01
                   7                 YES   -0.1253124600E+00
                   8                  NO    0.2146960000E-02
                   9                  NO   -0.5201440000E-02
                  10                  NO   -0.1118380000E-01
                  11                 YES   -0.6236828000E-01
                  12                 YES   -0.8805256000E-01
                  13                  NO   -0.1905556000E-01
                  14                 YES   -0.6047391000E-01
                  15                 YES   -0.5787152000E-01
                  16                 YES   -0.6111196000E-01
                  17                  NO   -0.2698176000E-01
                  18                  NO   -0.1574944000E-01
                  19                 YES   -0.4033540000E-01
                  20                 YES   -0.3888526000E-01
                  21                 YES   -0.5832837000E-01
                  22                  NO    0.7047700000E-03
                  23                 YES   -0.1033695200E+00
                  24                 YES   -0.1826272100E+00
                  25                 YES   -0.3323376000E+00
                  26                  NO    0.6858377000E-01
                  27                 YES   -0.6538386000E-01
                  28                 YES   -0.8225280000E-01
                  29                 YES   -0.4077720000E-01
                  30                  NO   -0.2861859000E-01
                  31                 YES   -0.2295421800E+00
                  32                  NO    0.0000000000E+00
                  33                  NO   -0.1420320000E-02
                  34                  NO   -0.2386717000E-01
                  35                  NO    0.5325852000E-01
                  36                 YES   -0.6369250000E-01
                  37                  NO   -0.1179468000E-01
                  38                  NO   -0.3466022000E-01
                  39                  NO   -0.1822400000E-03
                  40                  NO   -0.1041100000E-02
                  41                  NO   -0.5940000000E-02
                  42                 YES    0.2548051800E+00
                  43                  NO   -0.1249026000E-01
                  44                  NO   -0.7291000000E-02
                  45                  NO   -0.1344336000E-01
                  46                  NO   -0.1095540000E-01
                  47                  NO    0.6730056000E-01
                  48                  NO   -0.2820246000E-01
                  49                  NO   -0.2757480000E-02
                  50                  NO   -0.2128367000E-01
                  51                  NO   -0.1669039000E-01
                  52                  NO    0.2091804000E-01
                  53                  NO    0.1710510000E-02
                  54                  NO    0.5289420000E-01
                  55                 YES    0.1632845500E+00
                  56                  NO    0.3041532000E-01
                  57                  NO   -0.4017200000E-02
                  58                  NO    0.1362240000E-01
                  59                  NO    0.9327900000E-02
                  60                 YES    0.7524829000E-01
                  61                  NO   -0.8650320000E-02
                  62                 YES    0.1292862900E+00
                  63                 YES    0.7847622000E-01
                  64                  NO    0.2094532000E-01
                  65                  NO    0.1002240000E-01
                  66                  NO   -0.4044030000E-02
