Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20	feature21
sample1	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2385	0.0000	0.0000	0.0000	0.0915	0.0000	0.4708	0.9735	0.6110	0.9402	1.0000
sample2	1.5600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0769	0.0663	0.0141	0.4535	0.1471	0.0000	0.0000	1.0000	1.0000	0.9816	0.9998
sample3	4.6600	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4385	0.0000	0.0130	0.3605	0.3775	0.0000	0.4138	0.9791	0.8759	1.0000	0.9998
sample4	6.6500	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5692	0.1188	0.0046	0.3372	1.0000	0.0000	0.6488	0.9333	0.7097	0.9521	0.9999
sample5	2.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1685	0.3947	0.0000	0.0420	0.3043	0.0388	1.0000	0.8492	0.9583	0.2284
sample6	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1692	0.2196	0.3083	0.7326	0.0000	0.6522	0.0964	0.7492	0.7993	0.7774	0.0944
sample7	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4308	0.0884	1.0000	0.7326	0.1471	0.3478	0.5435	0.7307	0.4927	0.7373	0.5742
sample8	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6154	0.1865	0.2888	0.7326	0.2031	0.4000	0.5852	0.2815	0.3015	0.4291	0.3796
sample9	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7923	0.1519	0.9532	0.7326	0.2591	0.3478	0.6298	0.1676	0.5993	0.4739	0.2762
sample10	10.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4308	0.0704	0.3357	0.7326	0.1961	0.6522	0.5407	0.1086	0.9071	0.1384	0.4244
sample11	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4000	0.3536	0.3291	0.6395	0.2003	0.6739	0.5064	0.7659	0.5456	0.8666	0.4564
sample12	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5769	0.3273	0.3081	0.6395	0.3081	0.7783	0.5412	0.7607	0.5419	0.8485	0.5356
sample13	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7231	0.6091	0.2549	0.6395	0.4174	0.6739	0.5879	0.8214	0.5381	0.8614	0.5005
sample14	6.1400	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3154	0.2099	0.2325	0.3605	0.1625	0.4435	0.4471	0.8709	0.7047	0.8832	0.6486
sample15	6.9700	0.0000	0.0000	0.0000	0.7500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3923	0.1588	0.1691	0.3605	0.3053	0.4435	0.4243	0.9073	0.7543	0.9410	0.4125
sample16	4.3900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.5000	0.2017	0.4679	0.3605	0.2115	0.7478	0.5753	0.8364	0.5023	0.8739	0.3630
sample17	3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.7462	0.3052	0.4910	0.3605	0.3333	0.8652	0.7193	0.8462	0.5185	0.8730	0.2019
sample18	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4308	0.1685	0.2146	0.6395	0.1401	0.3043	0.4706	0.8459	0.6439	0.8847	0.5900
sample19	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9846	0.3619	0.0180	0.7326	0.3081	0.0435	0.7679	0.1672	0.0750	0.3637	0.4913
sample20	19.2500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9692	0.2486	0.1450	0.7326	0.3782	0.3913	0.7050	0.1261	0.3394	0.3266	0.4803
sample21	23.0500	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9692	0.1575	0.2489	0.7326	0.4356	0.7478	0.8210	0.0478	0.4498	0.3654	0.5573
sample22	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9692	0.2376	0.2464	0.7326	0.3641	0.3043	0.7023	0.0000	0.3540	0.4333	0.7536
sample23	24.9200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9769	0.1519	0.0087	1.0000	0.3123	0.0217	0.7287	0.1465	0.4127	0.4151	0.2326
sample24	26.3800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.2293	0.0059	1.0000	0.3081	0.0261	0.7563	0.3906	0.0000	0.5868	0.3840
sample25	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9462	0.2196	0.2027	0.7326	0.3683	0.3261	0.6593	0.5685	0.4448	0.6175	0.5640
sample26	17.9900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8769	0.4309	0.1339	0.7326	0.4734	0.3261	0.6419	0.9199	0.6414	0.9326	0.6671
sample27	12.6200	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9308	0.1740	0.0227	0.7326	0.3291	0.0478	0.6217	0.3572	0.2532	0.6537	0.7343
sample28	24.5500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9154	1.0000	0.0945	0.7326	0.4202	0.3783	0.6511	0.8255	0.4856	0.8560	0.6862
sample29	1.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4462	0.1934	0.3589	0.7326	0.1471	0.7043	0.3951	0.4429	0.9479	0.1630	0.0000
sample30	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.6846	0.2334	0.2721	0.0000	0.2885	0.8609	1.0000	0.8906	0.0104	0.9110	0.4783
sample31	38.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7846	0.0387	0.2540	0.7326	0.3081	0.5348	0.6320	0.1543	0.1200	0.0000	0.7114
sample32	23.4700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5846	0.2776	0.2758	1.0000	0.2073	0.3913	0.5386	0.3214	0.1404	0.1506	0.3572
sample33	15.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5846	0.3909	0.3252	0.7326	0.2563	0.6478	0.5645	0.4545	0.5685	0.6092	0.3650
sample34	15.4600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4385	0.2638	0.2256	1.0000	0.1471	0.3217	0.5172	0.6677	0.3390	0.7233	0.5488
sample35	22.1300	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.8385	0.1796	0.3127	0.7326	0.5392	1.0000	0.6506	0.3983	0.4810	0.7828	0.4998
sample36	9.5400	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4615	0.4144	0.2932	0.6395	0.2717	0.6696	0.4908	0.7266	0.5394	0.8543	0.5732
