               index         classified?        descriptor_1        descriptor_2
                   1                 YES    0.1000000000E+01   -0.9783000000E+00
                   2                 YES    0.9425000000E+00   -0.5277128000E+00
                   3                 YES    0.1967000000E+00    0.5833426190E-01
                   4                 YES    0.9480000000E+00   -0.5139912312E+00
                   5                 YES    0.9682000000E+00   -0.1707026426E+00
                   6                  NO    0.7253000000E+00   -0.3310237952E-02
                   7                 YES    0.1806000000E+00    0.4008742800E-01
                   8                 YES    0.9098000000E+00   -0.1699664524E+00
                   9                 YES    0.2725000000E+00    0.3108067622E-01
                  10                  NO    0.5524000000E+00    0.4221865725E-01
                  11                 YES    0.4083000000E+00   -0.5231855597E-01
                  12                 YES    0.6980000000E-01   -0.5622730407E-01
                  13                 YES   -0.2048000000E+00   -0.5529795771E-01
                  14                 YES    0.8432000000E+00   -0.2199514419E+00
                  15                 YES    0.8468000000E+00   -0.1526866047E+00
                  16                 YES    0.8784000000E+00   -0.1660040209E+00
                  17                 YES    0.4765000000E+00   -0.8619837930E-01
                  18                 YES    0.1526000000E+00   -0.4940650078E-01
                  19                 YES   -0.1863000000E+00   -0.4256338778E-01
                  20                 YES    0.8617000000E+00   -0.1800981559E+00
                  21                 YES    0.8190000000E+00   -0.8605669200E-01
                  22                 YES    0.1220000000E+00    0.5940064141E-01
                  23                 YES    0.4630000000E-01    0.8251714836E-01
                  24                 YES    0.0000000000E+00    0.7139669702E-01
                  25                 YES    0.2647000000E+00    0.1207406000E-01
                  26                 YES    0.1419000000E+00    0.5083882376E-01
                  27                 YES    0.3782000000E+00    0.0000000000E+00
                  28                 YES    0.2171000000E+00    0.2530790388E-01
                  29                 YES   -0.1094000000E+00   -0.7889780359E-01
                  30                 YES    0.3458000000E+00    0.1266232794E-01
                  31                 YES    0.8761000000E+00   -0.1489558792E+00
                  32                  NO    0.4288000000E+00    0.0000000000E+00
                  33                 YES    0.1494000000E+00    0.5632360817E-01
                  34                 YES    0.3112000000E+00    0.3854956694E-01
                  35                 YES    0.1190000000E+00    0.2553100112E-01
                  36                  NO    0.6464000000E+00    0.4662473088E-01
                  37                 YES    0.8642000000E+00   -0.5902424496E-02
                  38                 YES    0.9476000000E+00   -0.6615488317E-01
                  39                 YES    0.9453000000E+00   -0.7549536017E-01
                  40                 YES    0.9476000000E+00   -0.6615488317E-01
                  41                 YES    0.8819000000E+00   -0.2850595020E-02
                  42                  NO    0.3470000000E+00    0.1116894240E-01
                  43                  NO    0.4575000000E+00    0.1062532167E-01
                  44                 YES    0.7414000000E+00   -0.8960233240E-02
                  45                 YES    0.8890000000E+00   -0.7478619588E-01
                  46                 YES    0.8772000000E+00   -0.2927190996E-01
                  47                 YES    0.4671000000E+00    0.6030179615E-01
                  48                 YES    0.8228000000E+00    0.4135430614E-01
                  49                 YES    0.5269000000E+00    0.1455022091E+00
                  50                 YES    0.1781400000E+01   -0.1038876402E-01
                  51                 YES    0.1189600000E+01    0.7243399400E-03
                  52                 YES    0.9187000000E+00    0.1755136192E-01
                  53                  NO    0.4284000000E+00    0.3278194425E-02
                  54                 YES    0.4128000000E+00    0.2889254798E+00
                  55                  NO    0.7110000000E+00   -0.1078351872E-02
                  56                  NO    0.4224000000E+00    0.5683025718E-01
                  57                 YES    0.5794000000E+00    0.1130500420E+00
                  58                  NO    0.4376000000E+00    0.1329878703E-01
                  59                  NO    0.6840000000E+00   -0.1248456560E-03
                  60                 YES    0.5817000000E+00    0.1053642917E+00
                  61                 YES    0.9494000000E+00    0.3239074926E-02
                  62                 YES    0.4196000000E+00    0.3049737191E+00
                  63                  NO    0.3658000000E+00    0.3454686461E-01
                  64                  NO    0.6138000000E+00    0.1905385552E-01
                  65                  NO    0.5076000000E+00    0.1149030576E-01
                  66                 YES    0.7182000000E+00    0.6812555571E-02
