               index         classified?        descriptor_1
                   1                 YES   -0.9164012000E-01
                   2                  NO    0.1810000000E-01
                   3                 YES   -0.2090000000E-01
                   4                 YES   -0.1138440000E+00
                   5                 YES   -0.8304900000E-01
                   6                  NO    0.5621000000E-02
                   7                 YES   -0.5895188000E-01
                   8                 YES   -0.8659242000E-01
                   9                 YES   -0.4679125000E-01
                  10                 YES   -0.2092508000E-01
                  11                  NO   -0.3451500000E-02
                  12                  NO   -0.1423125000E-01
                  13                 YES   -0.2402960000E-01
                  14                  NO   -0.2000415000E-01
                  15                 YES   -0.3307473000E-01
                  16                  NO    0.1883952000E-01
                  17                 YES   -0.2384004000E-01
                  18                 YES   -0.1007861400E+00
                  19                 YES   -0.1006918400E+00
                  20                 YES   -0.1818238800E+00
                  21                 YES   -0.3324258000E+00
                  22                  NO    0.7086528000E-01
                  23                 YES   -0.6434155000E-01
                  24                 YES   -0.7749120000E-01
                  25                  NO   -0.9073920000E-02
                  26                 YES   -0.2212012800E+00
                  27                  NO   -0.3056550000E-02
                  28                 YES   -0.2223612000E-01
                  29                  NO    0.0000000000E+00
                  30                  NO    0.1054725000E-01
                  31                  NO   -0.1033344000E-01
                  32                  NO    0.5691789000E-01
                  33                 YES   -0.5840000000E-01
                  34                 YES   -0.3254384000E-01
                  35                 YES   -0.1937112500E+00
                  36                 YES   -0.7435701000E-01
                  37                  NO    0.1280700000E-01
                  38                  NO    0.3371440000E-02
                  39                  NO    0.3371440000E-02
                  40                  NO   -0.4999500000E-02
                  41                  NO   -0.1922830000E-01
                  42                  NO    0.2500550000E-02
                  43                  NO   -0.6013800000E-02
                  44                  NO    0.8116480000E-02
                  45                  NO   -0.2444350000E-02
                  46                 YES    0.7550140000E-01
                  47                  NO   -0.1273330000E-01
                  48                  NO    0.4513320000E-02
                  49                  NO   -0.1563420000E-01
                  50                  NO   -0.1449395000E-01
                  51                  NO    0.1804980000E-02
                  52                  NO    0.5879937000E-01
                  53                 YES    0.1716452800E+00
                  54                  NO   -0.2146560000E-02
                  55                  NO    0.3203328000E-01
                  56                  NO   -0.1784500000E-02
                  57                  NO    0.1964780000E-01
                  58                  NO   -0.1056440000E-01
                  59                 YES    0.8596536000E-01
                  60                  NO   -0.5365800000E-02
                  61                 YES    0.1369296000E+00
                  62                 YES    0.1220083200E+00
                  63                 YES    0.8332542000E-01
                  64                  NO    0.2240780000E-01
                  65                  NO    0.1118472000E-01
                  66                  NO   -0.2092310000E-02
