Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19
sample1	0.1000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.9783	1.0000
sample2	2.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2979	0.0000	0.0000	0.0000	0.1777	0.0000	0.5243	0.9425	0.9410	1.0000
sample3	40.9000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9645	0.0000	0.0000	0.7326	0.3805	0.0000	0.7114	0.1967	0.3956	0.4762
sample4	4.6600	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4823	0.0131	0.0000	0.3605	0.4366	0.0000	0.4731	0.9480	1.0000	0.9998
sample5	6.6500	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6028	0.0046	0.0000	0.3372	1.0000	0.0000	0.6843	0.9036	0.9528	0.9999
sample6	13.1600	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9078	0.0022	0.0000	0.4535	0.4058	0.0000	0.6025	0.6513	0.8847	0.5369
sample7	3.1400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2340	0.3083	0.8523	0.7326	0.0949	0.6522	0.1878	0.7253	0.7804	0.0944
sample8	6.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5035	0.9796	0.0000	0.0000	0.2217	0.3043	0.6525	0.9098	0.9297	0.5620
sample9	4.3600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4752	1.0000	0.8523	0.7326	0.2280	0.3478	0.5896	0.7075	0.7409	0.5742
sample10	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6454	0.2888	0.9841	0.7326	0.2787	0.4000	0.6272	0.2725	0.4368	0.3796
sample11	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4468	0.3291	0.7441	0.6395	0.2762	0.6739	0.5563	0.7416	0.8684	0.4564
sample12	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6099	0.3081	0.8592	0.6395	0.3738	0.7783	0.5876	0.7365	0.8506	0.5356
sample13	6.1400	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3688	0.2325	0.4194	0.3605	0.2420	0.4435	0.5030	0.8432	0.8848	0.6486
sample14	5.9800	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4184	0.2190	0.4843	0.3605	0.3066	0.5130	0.5020	0.8468	0.8824	0.4424
sample15	4.3900	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.5390	0.4680	0.4194	0.3605	0.2863	0.7478	0.6182	0.8098	0.8756	0.3630
sample16	3.6000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.7660	0.4911	0.4843	0.3605	0.3966	0.8652	0.7477	0.8193	0.8747	0.2019
sample17	7.3500	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.9929	0.2705	0.4194	0.3605	0.5056	0.7478	0.8452	0.8137	0.8756	0.1923
sample18	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.3688	0.2178	0.4735	0.4070	0.2344	0.3913	0.5614	0.8617	0.8606	0.6407
sample19	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.4752	0.2146	0.7441	0.6395	0.2217	0.3043	0.5241	0.8190	0.8863	0.5900
sample20	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9858	0.0180	0.8523	0.7326	0.3738	0.0435	0.7914	0.1619	0.3723	0.4913
sample21	23.0500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.2489	0.0000	0.7326	0.4892	0.7478	0.8391	0.0463	0.3740	0.5573
sample22	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9716	0.2464	0.0000	0.7326	0.4245	0.3043	0.7324	0.0000	0.4410	0.7536
sample23	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.1566	0.3112	1.0000	0.3332	0.3261	0.6261	0.2647	0.0000	0.2591
sample24	24.9200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9787	0.0087	0.3112	1.0000	0.3776	0.0217	0.7561	0.1419	0.4230	0.2326
sample25	26.3800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0059	0.3593	1.0000	0.3738	0.0261	0.7809	0.3782	0.5924	0.3840
sample26	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9504	0.2027	0.1082	0.7326	0.4283	0.3261	0.6937	0.5504	0.6227	0.5640
sample27	12.6200	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9362	0.0227	0.3749	0.7326	0.3928	0.0478	0.6600	0.3458	0.6584	0.7343
sample28	24.5500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9220	0.0945	0.1250	0.7326	0.4752	0.3783	0.6864	0.7992	0.8579	0.6862
sample29	1.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4894	0.3589	0.8523	0.7326	0.2280	0.7043	0.4563	0.4288	0.1743	0.0000
sample30	0.4200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.7092	0.2721	0.0000	0.0000	0.3561	0.8609	1.0000	0.8623	0.9122	0.4783
sample31	38.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8014	0.2540	0.8523	0.7326	0.3738	0.5348	0.6692	0.1494	0.0135	0.7114
sample32	23.4700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6170	0.2758	1.0000	1.0000	0.2825	0.3913	0.5852	0.3112	0.1621	0.3572
sample33	15.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6170	0.3252	0.9259	0.7326	0.3269	0.6478	0.6086	0.4400	0.6145	0.3650
sample34	26.1300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7730	0.0913	0.8226	0.7326	0.3776	0.5478	0.6521	0.4523	0.6362	0.4341
sample35	22.1300	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8511	0.3127	0.4360	0.7326	0.5830	1.0000	0.6859	0.3856	0.7858	0.4998
sample36	9.5400	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5035	0.2932	0.7221	0.6395	0.3409	0.6696	0.5423	0.7035	0.8563	0.5732
